iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1.1)	lnkDCVCC(1.1.1)	lnkElimDCVCC(1.1.1)	lnkElimNDCVCC(1.1.1)	lnISkDCVG(1.1.1.1)	lnISkDCVC(1.1.1.1)	lnISkNDCVC(1.1.1.1)	lnISkDCVG(1.1.1.2)	lnISkDCVC(1.1.1.2)	lnISkNDCVC(1.1.1.2)	lnISkDCVG(1.1.1.3)	lnISkDCVC(1.1.1.3)	lnISkNDCVC(1.1.1.3)	lnISkDCVG(1.1.1.4)	lnISkDCVC(1.1.1.4)	lnISkNDCVC(1.1.1.4)	lnISkDCVG(1.1.1.5)	lnISkDCVC(1.1.1.5)	lnISkNDCVC(1.1.1.5)	lnISkDCVG(1.1.1.6)	lnISkDCVC(1.1.1.6)	lnISkNDCVC(1.1.1.6)	lnISkDCVG(1.1.1.7)	lnISkDCVC(1.1.1.7)	lnISkNDCVC(1.1.1.7)	lnISkDCVG(1.1.1.8)	lnISkDCVC(1.1.1.8)	lnISkNDCVC(1.1.1.8)	LnPrior	LnData	LnPosterior
500	0.460276	0.998355	1.01542	0.946349	0.380461	0.784088	0.701386	0.450481	0.51755	0.774589	0.58864	1.64561	-0.861721	-1.95417	0.71775	4.56217	-2.44246	0.34138	0.119564	0.035538	0.118512	0.221622	3.38857	2.86858	1.30139	1.66419	-0.787032	-1.9002	0.640484	4.23163	-2.9097	-0.815621	3.61782	-2.62282	-0.0416038	3.57117	-2.17914	0.541565	3.69001	-1.79396	1.24219	4.11085	-3.03723	0.701116	3.71451	-2.88136	-0.741603	4.40128	-2.08372	0.589628	4.50841	-1.26204	1.5497	-5.416536e+001	-6.141630e+002	-6.683284e+002
550	0.560075	0.91777	0.889694	1.15151	0.654365	0.755588	0.813016	0.302721	0.405884	0.779365	0.621283	1.28853	-0.854382	-2.21825	-0.386535	4.42948	-3.18156	1.21709	0.199813	0.476974	0.267677	0.140472	1.51424	1.26081	1.65136	1.57199	-0.886236	-2.34551	-0.0378964	4.00397	-2.41197	1.70515	4.4248	-2.56835	0.66497	3.44879	-1.55939	1.9292	3.29393	-2.96261	-1.60342	3.27794	-2.79091	1.39572	3.95815	-2.05612	-0.0877139	4.56809	-2.23941	-1.37057	3.86804	-3.24558	0.323557	-5.825824e+001	-6.166471e+002	-6.749053e+002
600	0.592241	0.943665	0.858601	0.910055	0.504385	0.753561	0.924955	0.277337	0.546517	0.615494	0.802607	1.7896	-1.01695	-1.21653	-0.867825	4.00005	-1.32487	2.5446	0.0419379	0.064435	0.0745765	0.237077	1.28403	1.15789	6.55494	1.57209	-1.04502	-1.82244	-0.979599	3.75854	-2.63332	2.25183	4.03469	-1.67515	1.95604	3.4483	-1.63228	2.56337	3.7497	-2.53909	1.59565	3.60089	-2.66978	3.12533	3.34064	-1.74018	1.32483	3.87242	-1.91704	3.24486	4.06625	-1.40581	2.45887	-5.812581e+001	-6.165972e+002	-6.747231e+002
650	0.837139	0.950721	0.602693	0.925146	0.429923	0.875257	0.956662	0.396002	0.421484	0.61765	0.78504	0.9033	-1.47777	-2.74908	-0.149631	4.18552	-2.18843	1.34107	0.08694	0.401632	0.14185	0.140089	1.42074	1.73244	1.4516	0.679249	-1.24635	-2.83824	-0.312295	4.13169	-2.50753	1.15925	4.27084	-2.25302	1.31297	3.29903	-1.19512	2.12266	3.70278	-2.2888	1.3472	3.6928	-2.11621	3.18073	4.60466	-1.7934	-0.648384	4.56516	-1.38764	1.57106	4.30964	-1.79382	1.16701	-5.191433e+001	-6.171762e+002	-6.690905e+002
700	0.620174	0.921477	0.822911	1.01931	0.416711	0.816824	0.593356	0.66654	0.489354	0.6938	0.963634	1.26774	-1.17355	-2.15385	-1.36639	4.43799	-2.27785	1.78225	0.157577	0.0751467	0.0519593	0.0889186	4.47168	1.21218	0.930663	1.53813	-1.19521	-2.16527	-0.660798	2.78906	-2.37216	1.21745	3.21613	-2.30726	1.97931	3.04353	-1.38684	2.08756	3.38593	-1.15772	2.29327	3.18036	-3.38902	0.277416	3.2253	-1.68531	0.581714	4.40247	-2.09386	-0.689565	3.9716	-1.75234	0.79845	-5.930022e+001	-6.232049e+002	-6.825051e+002
750	0.38942	0.963188	0.917813	0.942606	0.600476	0.812852	0.644833	0.25045	0.333824	0.557481	0.778535	3.28405	-1.5497	-1.23121	-2.09827	4.22021	-2.49344	1.97586	0.219266	0.0918094	0.0766798	0.043554	1.93219	1.29609	3.58756	2.82331	-1.15033	-1.50016	-2.36227	3.12246	-2.62463	3.78815	2.96281	-2.49682	2.4245	2.27695	-1.81232	3.66078	2.50396	-2.13172	2.72019	3.13583	-3.11475	1.92137	2.72665	-2.2041	2.28044	3.53818	-1.79571	0.671877	3.45041	-2.29841	-0.776122	-5.754427e+001	-6.134850e+002	-6.710292e+002
800	0.610631	0.92652	1.06054	1.03177	0.413396	0.795884	0.726089	0.475875	0.398249	0.736581	0.763131	1.69101	-0.999308	-1.31111	-2.29963	4.41307	-3.18868	4.17043	0.492673	0.226471	0.0738506	0.201937	1.72225	1.02908	4.67197	2.04297	-0.974917	-1.48241	-2.43398	3.10251	-2.30223	3.12189	3.8407	-2.62087	3.84092	3.55086	-1.98897	2.99403	2.60215	-2.39317	4.15749	3.7729	-3.09934	3.03576	3.35058	-2.20326	2.12304	3.73312	-2.05131	0.921307	3.39168	-3.12477	3.59124	-5.692499e+001	-6.207028e+002	-6.776278e+002
850	0.616233	0.945034	0.872578	1.11963	0.509186	0.768687	0.683404	0.405403	0.397018	0.739588	0.775071	1.35936	-0.612161	-1.61657	-1.65752	4.44988	-2.81288	3.98657	0.650673	0.572351	0.104141	0.0537448	1.12513	1.10323	1.12966	1.89173	-0.435883	-1.36277	-1.94598	3.15326	-2.98135	3.39495	4.12128	-2.82841	3.64309	2.9011	-2.0521	3.36665	3.36731	-2.73447	2.31396	4.28383	-3.27109	3.84369	4.23838	-2.6036	3.20159	4.31359	-2.60427	2.82335	4.34451	-2.95807	2.77232	-5.307787e+001	-6.125698e+002	-6.656477e+002
900	0.463154	0.824991	0.923164	1.01043	0.491486	0.772908	0.660436	0.287612	0.726415	0.545265	0.79402	-0.452201	-0.355198	-0.555037	-1.04329	4.52524	-2.60788	4.16777	1.86616	0.0734815	0.151753	0.0990286	0.821442	0.72937	5.35224	1.80612	-0.443504	-0.565163	-1.06105	4.2335	-3.24958	1.60863	3.77671	-2.40892	1.94295	3.52421	-2.57248	2.32705	3.58074	-2.324	1.48507	3.46059	-3.65312	0.833774	3.6252	-2.73422	2.46764	4.56787	-3.50188	1.52442	4.2821	-1.58453	3.41323	-6.022482e+001	-6.180175e+002	-6.782424e+002
950	0.660877	0.91534	0.958971	1.1609	0.424972	0.76764	0.749276	0.539202	0.646591	0.822304	1.05246	1.58791	-1.93719	-1.44701	-0.233006	4.42794	-2.2316	2.43612	0.393705	0.2818	0.0491621	0.228741	1.504	2.00968	1.73508	1.34241	-1.25916	-1.64946	-0.835641	4.30661	-2.24665	1.83379	4.59153	-2.40138	1.26172	4.57651	-1.5767	2.31914	4.19859	-0.620577	2.10953	4.15796	-2.6222	2.72619	3.84433	-1.62058	2.35893	4.12462	-1.98493	0.692176	4.40083	-1.21832	1.68564	-5.698823e+001	-6.282131e+002	-6.852013e+002
