iter	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
1100	0.701106	0.379474	0.890104	2.65376	0.745649	2.33647	2.83537	1.03914	1.22941	0.699305	0.904558	0.677858	0.700437	0.865074	0.484958	0.51557	0.762318	0.652069	-1.88582	3.32064	-1.49821	0.0811043	0.0773183	2.52956	-2.04706	3.45623	-1.79173	-1.63117	3.41181	-1.44836	-2.63095	3.16722	-0.704509	-1.92052	3.59176	-1.73571	-3.148080e+01	-3.598403e+02	-3.913211e+02
1200	0.329078	1.04466	0.399257	1.84291	0.911225	3.21224	3.09573	0.934998	1.04196	0.64436	0.681637	0.511571	0.733402	0.711765	0.322676	0.574636	0.78631	0.462128	-1.93559	3.27719	-1.37877	0.296468	0.24647	0.889332	-2.6814	3.04996	-1.84964	-1.34644	3.71163	-1.54653	-2.58933	2.10181	-0.0326112	-1.70865	3.464	-1.72525	-3.703716e+01	-3.588634e+02	-3.959006e+02
1300	0.962176	1.03064	0.72832	2.43488	1.28029	2.47951	3.07693	1.17306	1.0512	0.730919	0.852777	0.537122	0.695724	0.919981	0.573215	0.398809	0.940237	0.556644	-2.34994	3.2431	-0.477859	0.218855	0.128171	2.81982	-2.45509	3.40636	-1.38887	-1.67252	2.90187	-1.46328	-2.55411	3.66685	-1.50809	-1.92453	2.59653	-1.49466	-3.741747e+01	-3.559812e+02	-3.933987e+02
1400	1.52374	0.367626	0.376368	3.19061	0.726293	3.27633	3.14972	1.20729	1.10046	0.78463	0.692888	0.656927	0.773881	0.655336	0.540809	0.538148	1.16029	0.410877	-2.2797	2.71423	-1.44284	0.214904	0.136555	4.22805	-2.21108	3.03253	-0.630626	-1.48835	2.58369	-0.387872	-2.85392	2.60563	-0.964969	-2.34352	2.48183	-1.22966	-3.566404e+01	-3.631137e+02	-3.987778e+02
1500	0.620841	0.467967	1.92771	1.82571	1.10483	2.33058	3.24056	1.1067	1.02623	0.741168	0.559046	0.676448	0.815102	0.910207	0.318606	0.450995	0.807664	0.438137	-2.64497	2.52838	-0.586113	0.168512	0.26416	1.89472	-2.73395	2.4654	-0.847493	-2.08198	2.6583	-1.67809	-2.45669	3.32703	-0.679578	-1.76936	2.27703	0.172125	-3.618404e+01	-3.593856e+02	-3.955696e+02
1600	1.91787	1.49024	0.806997	1.75267	1.00823	3.0967	3.12054	1.00289	1.1704	0.724941	1.03266	0.600746	0.89786	0.870733	0.501908	0.43103	0.719973	0.708468	-2.25744	2.4433	-2.64052	0.330037	0.0679842	1.93868	-2.56118	2.22339	-1.27336	-1.46809	2.69822	-0.961016	-2.83619	2.40791	-3.02202	-1.67224	2.3993	-1.74846	-3.691647e+01	-3.599475e+02	-3.968640e+02
1700	1.57541	0.768379	0.464006	2.666	1.23548	2.5029	2.93332	1.01118	1.19455	0.688022	0.857423	0.797342	0.756425	0.733525	0.272006	0.548562	0.892609	0.430842	-1.79234	2.7461	-1.41644	0.102377	0.118613	1.33181	-2.1828	2.83936	-0.603653	-1.44591	2.78409	-0.851609	-2.25239	2.73241	-0.64411	-1.52082	3.08459	-2.47679	-3.121671e+01	-3.577915e+02	-3.890082e+02
1800	0.898087	0.673672	1.12588	1.8883	1.35111	2.6634	3.21232	1.0665	1.01694	0.807466	0.493635	0.708458	0.890742	0.741075	0.320762	0.476396	0.908893	0.629855	-1.42987	3.7841	-1.34454	0.28016	0.502905	1.77508	-2.19875	3.84434	-1.50007	-1.31745	3.63556	-1.24869	-1.56097	3.52398	-0.334325	-1.39588	2.85433	-0.636674	-3.846516e+01	-3.564552e+02	-3.949204e+02
1900	0.81719	1.2155	0.989668	1.89252	0.841238	2.57839	3.29285	1.05619	0.937265	0.653456	0.646402	0.601212	0.875453	0.499228	0.38293	0.502759	0.912652	0.673091	-1.86122	2.52764	0.041725	0.15427	0.0495872	1.68918	-2.44888	2.54264	-0.403658	-1.9626	2.82494	-1.56622	-2.19216	2.63185	-0.643979	-1.08955	2.97329	-1.89935	-3.579884e+01	-3.584646e+02	-3.942634e+02
2000	0.415161	1.50788	0.607796	1.64812	1.6304	1.86487	2.84403	1.11007	1.15369	0.476494	0.916213	0.542092	0.902826	0.653627	0.378938	0.489491	0.837023	0.532851	-1.88391	2.80333	-0.832684	0.14427	0.100494	1.49951	-2.54746	2.86045	-1.75063	-1.68239	2.69701	-0.722772	-2.09157	2.82068	0.0993424	-1.5658	2.8609	-0.727927	-2.939767e+01	-3.638326e+02	-3.932303e+02
2100	1.25014	1.72624	0.664471	1.32807	0.858153	2.32754	3.29654	0.909076	1.06188	0.762668	0.806806	0.749218	0.96577	0.851853	0.348762	0.535408	0.963041	0.500443	-1.8926	2.92162	-1.24439	0.107103	0.119039	1.96327	-2.16808	3.09229	-0.824994	-2.24592	3.46285	-2.06115	-2.20938	3.00754	-0.666709	-1.75082	3.22262	-3.65333	-3.343266e+01	-3.607929e+02	-3.942255e+02
2200	0.750917	0.488431	0.693613	1.46228	1.5108	2.18567	2.89763	0.975183	0.972297	0.531008	0.598249	0.61075	0.845246	0.904248	0.608357	0.371515	0.882195	0.428097	-1.74908	2.82081	-1.28628	0.0770045	0.149501	1.41361	-2.32404	3.68048	-1.29094	-1.60709	2.7736	-0.442297	-2.04248	2.55133	0.448959	-1.83533	2.47445	-1.48379	-3.281888e+01	-3.613922e+02	-3.942111e+02
2300	0.984244	0.59577	0.460489	1.383	1.25313	1.91829	3.27849	1.01268	1.02732	0.572404	0.645282	0.476297	0.789446	0.677278	0.416729	0.519352	0.680685	0.950261	-2.28381	3.4447	-3.9392	0.15931	0.198135	4.42427	-2.83521	3.04199	-1.41906	-2.53378	3.20727	-3.82857	-2.55557	4.0532	-1.24571	-2.73924	2.64323	-3.85344	-3.647804e+01	-3.654075e+02	-4.018855e+02
2400	1.1849	0.607649	0.639485	2.01504	0.959141	3.1778	3.16803	1.13652	1.08235	0.718218	0.73521	0.67904	0.799221	0.991481	0.340212	0.480038	0.64922	0.487232	-2.42413	4.25904	-3.72947	0.147012	0.23964	6.51371	-2.36053	3.93628	-2.29343	-1.81551	4.33759	-3.16179	-2.63173	3.84127	-1.42976	-2.65945	4.32435	-3.04863	-3.514124e+01	-3.590414e+02	-3.941826e+02
2500	0.702825	0.995507	0.629317	2.0455	0.806493	1.90793	2.72441	0.985751	1.03305	0.583972	0.645003	0.559013	0.786158	0.683453	0.517382	0.371021	0.789132	0.447236	-2.21324	3.08451	-1.69901	0.0999401	0.0854109	2.56319	-2.47299	3.24699	-1.20538	-2.04173	3.54651	-2.05175	-3.16309	3.17463	-1.13099	-2.19194	3.33775	-4.11422	-3.368308e+01	-3.573041e+02	-3.909872e+02
2600	0.795213	1.21427	0.834992	2.16208	1.28115	1.98409	3.10008	1.07697	1.14142	0.813053	0.745457	0.413392	0.83157	0.473533	0.300192	0.267601	0.529054	1.09735	-1.72779	3.9287	-1.44557	0.185714	0.983786	2.37423	-2.32908	3.01497	-1.09073	-1.17803	4.55417	-2.43313	-2.20652	3.2763	-0.201288	-1.91727	4.07544	-3.34986	-4.119834e+01	-3.662470e+02	-4.074453e+02
2700	0.677139	0.69449	0.780157	2.9078	1.38223	2.2573	3.02923	1.07773	1.08593	0.729011	0.686764	0.698241	0.866197	0.81464	0.364569	0.377086	0.800267	0.491006	-2.30345	2.21624	-0.436042	0.32187	0.0963273	0.706795	-2.53617	2.09636	-0.0937465	-1.63337	2.1312	-0.485635	-2.96334	1.84562	0.564249	-1.85004	2.13021	-0.969228	-3.359448e+01	-3.531974e+02	-3.867919e+02
2800	1.09718	2.38675	0.595238	2.49148	1.5316	2.56854	3.24321	1.05251	1.03371	0.780812	0.800051	0.546948	0.980956	0.64649	0.372265	0.36329	0.850233	0.759291	-2.04614	1.54235	0.946524	0.191422	0.125916	6.85512	-2.60691	1.02955	0.838922	-1.73355	1.7269	0.188691	-2.5809	1.93671	0.880017	-1.18301	0.716001	0.292095	-4.392923e+01	-3.576833e+02	-4.016125e+02
2900	1.30187	0.656747	0.747851	2.02768	0.935985	1.65203	2.43508	1.02583	1.04533	0.809882	0.562122	0.511459	0.884232	0.710053	0.421402	0.452006	0.732716	0.672862	-1.52749	0.32053	1.97815	0.124508	0.540491	3.02252	-2.32218	0.0787851	1.87303	-1.786	0.646625	0.571567	-1.39578	-0.104629	3.37765	-1.38227	0.791585	1.06707	-3.833061e+01	-3.593994e+02	-3.977300e+02
3000	1.12004	0.808996	0.781232	2.29874	0.991205	2.35595	3.01231	1.01917	1.04028	0.640086	0.622309	0.629736	0.732083	0.698147	0.20395	0.344631	0.639761	0.703508	-2.02461	0.224374	0.177437	0.388782	0.15808	4.7492	-2.35471	0.750249	1.21119	-1.43462	0.441352	1.76508	-2.22967	0.0543888	2.97315	-1.63277	0.00250184	-1.08406	-3.827108e+01	-3.538939e+02	-3.921650e+02
3100	0.6316	1.51565	1.4181	2.31769	1.13982	2.01133	3.26691	1.14203	0.945077	0.827542	0.76417	0.504704	1.0522	0.834596	0.475548	0.370934	0.916166	0.932545	-2.00099	0.369499	3.99226	0.0827083	0.330915	10.5768	-2.14719	0.798713	1.1905	-1.88812	1.1636	0.133324	-2.22972	0.345764	2.41238	-2.38707	0.149933	1.44367	-4.132221e+01	-3.640204e+02	-4.053426e+02
3200	0.609266	1.56003	1.0316	1.73466	0.860059	1.64881	3.09921	1.07625	1.04299	0.741783	0.397427	0.612468	0.777472	0.616941	0.212805	0.702832	1.13179	0.451472	-2.6108	0.569186	3.03088	0.375082	0.210408	3.42797	-2.16049	0.864219	1.40534	-1.69951	0.371102	1.46285	-2.6588	-0.175226	2.39043	-2.37738	0.518195	2.04044	-3.774397e+01	-3.660760e+02	-4.038200e+02
3300	1.15336	0.880043	1.28367	1.99756	0.88189	2.5393	3.18055	0.970039	1.04006	0.773217	0.83767	0.560881	0.916229	0.75516	0.284587	0.353867	0.68938	0.360093	-2.23759	0.12143	0.436808	0.189745	0.133852	1.83113	-2.3374	0.464354	1.60657	-1.68745	1.08592	0.961981	-2.79405	0.27163	1.8086	-1.85627	0.659155	-1.59251	-3.822628e+01	-3.535620e+02	-3.917882e+02
3400	0.667643	0.924914	0.733728	2.84765	0.776523	2.51646	3.28193	0.873916	1.0461	0.670743	0.795991	0.53539	0.855828	0.624115	0.348478	0.433582	0.617738	0.823873	-1.7847	0.675119	3.29413	0.110999	0.196076	2.44752	-2.54536	0.93408	0.874088	-1.64973	0.0690438	1.57413	-2.24361	0.0853893	2.52736	-1.64124	0.631171	0.919673	-3.711869e+01	-3.554363e+02	-3.925550e+02
3500	0.646447	1.02759	1.51247	2.16683	1.09033	2.53144	3.2417	1.01661	1.04534	0.834384	0.783123	0.447956	0.743757	1.02363	0.366678	0.42281	0.953024	0.432534	-1.80307	-0.722271	2.96831	0.13007	0.404716	2.32242	-2.24853	-0.108614	1.96298	-1.45007	-0.671513	2.90572	-2.41935	-0.12697	2.44064	-1.53687	-0.548187	2.24171	-3.735151e+01	-3.553017e+02	-3.926532e+02
3600	1.58621	0.433322	0.664472	2.12086	1.08967	2.73034	3.07793	1.07438	1.1937	0.632939	0.579477	0.444793	0.749922	0.695697	0.485281	0.46547	0.884004	0.431441	-2.14388	-0.607018	2.46705	0.210389	0.0986046	3.0645	-2.694	-0.334548	2.4036	-1.65696	-0.961744	3.01052	-2.32365	-0.9535	2.74676	-1.7707	-1.07853	1.35642	-3.414777e+01	-3.588121e+02	-3.929599e+02
3700	1.03994	1.03294	0.965649	2.61602	1.19427	1.6775	3.07263	1.06531	1.03139	0.724964	0.643335	0.643234	0.849955	0.7995	0.549108	0.392175	0.746042	0.408004	-1.95675	-0.473893	2.80152	0.108186	0.174671	7.29265	-1.77868	-0.830179	2.93455	-1.84846	0.567288	1.32595	-2.62838	-0.650088	3.15577	-1.50284	-1.16035	0.334856	-4.167174e+01	-3.565022e+02	-3.981739e+02
3800	0.699236	1.10527	0.848687	1.61107	2.36744	2.84645	3.26672	1.00409	1.0804	0.596751	0.836717	0.520397	0.722109	0.756427	0.470738	0.641119	0.815629	0.571905	-1.88498	-0.546974	3.01821	0.199119	0.0872939	2.35599	-1.84015	-0.848227	3.18838	-2.52367	-0.76944	1.82846	-1.79859	-0.642884	2.81306	-1.06922	-0.672881	1.33446	-3.432008e+01	-3.614581e+02	-3.957781e+02
3900	1.18045	0.255949	0.658235	1.60358	0.972919	2.85797	2.51892	1.05884	1.2327	0.683924	0.659427	0.636257	0.921602	0.930178	0.288201	0.409793	0.677201	0.701415	-2.28271	-0.727801	3.32482	0.171477	0.172707	8.91068	-2.25368	-1.10383	2.99623	-1.65687	-0.769603	2.69645	-2.82489	-0.622219	2.83197	-1.50582	-1.34649	3.85304	-3.828884e+01	-3.630623e+02	-4.013512e+02
4000	0.574138	1.24797	1.18909	2.08248	2.08817	2.97491	2.62117	1.09501	1.0422	0.755103	0.660828	0.505359	0.869905	0.878372	0.243027	0.391467	0.798478	0.559453	-2.04167	-0.970245	4.22392	0.140382	0.14405	1.91657	-2.09763	-1.11832	3.1505	-1.16071	-1.10186	3.54836	-2.18574	-1.25727	4.21353	-1.4761	-0.710813	1.92102	-3.366922e+01	-3.562794e+02	-3.899486e+02
4100	0.723651	1.07823	0.363044	1.87703	1.16319	3.0569	2.80707	1.24155	1.00094	0.610535	0.563213	0.733886	0.903602	0.558325	0.295919	0.381004	0.708111	0.557215	-1.32526	-1.66422	4.59261	0.159455	0.174192	1.60879	-2.29977	-1.24663	3.0853	-1.58955	-1.32724	3.41016	-1.51247	-0.92921	3.92702	-1.42322	-1.43362	3.37203	-3.270230e+01	-3.613868e+02	-3.940891e+02
4200	0.761454	0.702316	0.747153	3.25271	0.786635	2.90097	3.13986	0.962465	1.15301	0.617733	0.869459	0.623264	0.754776	0.788838	0.501921	0.787248	0.81623	0.489021	-1.71085	0.363594	0.942381	0.138134	0.131285	3.25401	-2.43844	1.31383	0.26774	-2.13595	0.597019	0.998976	-2.13225	0.193389	2.20192	-1.32246	0.72206	0.0451797	-3.912937e+01	-3.575009e+02	-3.966302e+02
4300	1.3081	1.73877	1.77306	2.76038	1.0402	3.2068	2.85734	0.909601	1.06563	0.993074	0.715244	0.525076	0.661131	0.646245	0.283348	0.564412	0.874439	0.584815	-1.81278	1.62741	2.10953	0.108055	0.132476	5.68737	-1.96585	1.908	0.333049	-1.70985	1.24206	0.531698	-2.11631	1.64607	1.61841	-1.81221	1.77097	0.18096	-3.554807e+01	-3.642094e+02	-3.997575e+02
4400	0.804075	1.11289	0.983989	1.57959	1.36111	2.9221	2.55094	1.16366	1.15856	0.674983	0.581525	0.40646	0.768458	0.718424	0.38055	0.545688	0.815676	0.562856	-1.76747	2.09833	0.180676	0.257517	0.0670481	0.981939	-2.12599	2.15469	0.0454687	-1.79459	2.28043	-0.775976	-2.20109	2.41025	0.101244	-1.37131	1.97132	-1.36633	-3.204038e+01	-3.586868e+02	-3.907272e+02
4500	0.946678	0.589756	0.752339	1.34827	1.33246	2.83312	3.00713	0.94024	1.13195	0.741175	0.606081	0.529032	0.755733	0.858947	0.257307	0.507068	0.535636	0.59603	-2.198	0.270673	1.13296	0.118903	0.198706	0.900067	-2.60206	0.913841	0.148147	-1.63735	0.817438	1.20247	-2.38461	0.99142	1.19742	-1.74756	0.369613	-0.060329	-3.446181e+01	-3.601677e+02	-3.946295e+02
4600	0.629718	0.563276	1.6012	2.53705	1.0278	2.36204	2.84481	1.19222	1.0801	0.618482	0.662366	0.569026	0.844187	0.528696	0.363433	0.414954	1.19499	0.508285	-2.22788	1.66356	-0.504398	0.172338	0.307699	2.35251	-2.54785	1.52347	0.264121	-1.42865	2.24283	-0.219651	-1.56799	1.89813	1.30917	-1.58363	1.29577	-2.92059	-4.007290e+01	-3.585222e+02	-3.985951e+02
4700	0.774116	1.27703	1.3276	1.89569	1.30989	2.0847	3.12788	1.01729	1.03916	0.662837	1.01687	0.788626	0.813089	0.919444	0.49334	0.725436	0.626826	0.676286	-2.1874	1.17567	-1.25725	0.271158	0.315375	1.41316	-2.85264	1.41538	-0.125623	-2.67357	1.56455	-0.929887	-2.15231	1.51077	-2.82589	-1.44128	0.539184	0.479504	-4.132028e+01	-3.670850e+02	-4.084052e+02
