iter	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
0	0.0103743	0.177595	2.22801	0.239045	0.0201398	0.0151291	2.77831	0.210306	0.697067	1.57255	0.866568	0.832703	0.0436117	0.0627245	0.325841	1.45557	0.763459	0.235179	2.78074	-0.163859	-1.66107	0.0708031	0.249104	1.28927	2.71052	0.191315	-1.42403	2.70198	-0.394808	-0.380765	3.054	1.02854	-3.31334	3.01615	0.0183203	-2.27439	-1.222268e+01	-6.206087e+03	-6.218310e+03
100	1.06593	0.769346	1.46412	2.84586	0.826454	2.0203	3.28463	0.980359	1.15956	0.56898	0.83065	0.679431	0.762718	0.647267	1.14199	1.0352	0.983566	1.21982	-0.717537	-1.99911	0.321312	0.155751	0.587915	2.26907	-1.00507	-2.65835	0.275486	-1.18485	-0.342231	1.74179	-0.35021	-2.15364	-1.5827	-0.403354	0.0110498	-2.04852	-4.898566e+01	-3.776866e+02	-4.266722e+02
200	0.681108	0.902943	1.47744	1.93516	1.05611	2.19629	3.20463	0.929947	1.02151	0.737159	0.614447	0.547417	0.762209	0.556623	0.420766	0.675855	0.704482	0.463832	-2.3215	1.35389	0.378659	0.236575	0.215293	0.893366	-2.44274	0.575849	1.39966	-1.52904	1.18309	0.489214	-2.39803	0.724499	1.85078	-1.51158	0.625139	1.92231	-4.013772e+01	-3.575004e+02	-3.976382e+02
300	1.17369	0.680955	0.83024	1.6776	1.03709	1.98144	2.73047	1.13053	1.10523	0.660183	0.818391	0.657998	0.810031	0.876511	0.410026	0.553568	1.10063	0.365064	-1.98372	0.711012	1.07606	0.277729	0.200778	8.23733	-1.86673	0.252323	2.49455	-1.44971	0.659354	1.48794	-2.08808	0.0188501	3.04321	-2.10829	0.8163	-0.365929	-4.032448e+01	-3.599657e+02	-4.002902e+02
400	0.918321	0.821769	0.863615	2.03625	1.33335	2.28309	3.24359	0.973338	1.04596	0.609561	0.746783	0.787454	0.846904	0.779887	0.418849	0.505824	0.630154	0.68139	-1.71455	0.164467	1.73666	0.2112	0.0953384	1.35564	-2.29624	0.620395	0.967799	-1.11471	0.0144802	2.14599	-1.90263	-0.160218	3.2387	-1.18025	-0.241003	0.596502	-3.547177e+01	-3.533768e+02	-3.888486e+02
500	0.577241	0.6148	0.829274	2.3459	1.60679	2.01959	3.06561	1.13041	1.03976	0.60076	0.887378	0.43708	0.834385	0.642686	0.485881	0.479462	0.701948	0.73512	-1.76742	0.0840515	3.935	0.0641295	0.180793	7.73971	-2.08818	0.671364	1.18856	-1.25087	0.165013	1.57006	-1.51466	0.393585	2.95699	-1.79305	-0.304868	0.418274	-3.772690e+01	-3.568978e+02	-3.946248e+02
600	0.546832	0.976509	0.647707	2.95129	0.976222	2.76412	3.01437	0.949481	1.01024	0.614217	0.845735	0.554235	0.723509	0.792538	0.317288	0.472903	1.02178	0.596832	-2.22009	-0.391853	1.36926	0.256081	0.0739778	2.46004	-2.11193	-0.334605	2.40581	-1.79158	-0.276495	1.98707	-2.48364	-0.233668	3.00026	-2.35689	0.126776	1.06283	-3.327046e+01	-3.552559e+02	-3.885263e+02
700	0.606519	0.960101	0.562859	2.69543	1.88222	2.48647	3.11958	1.07101	1.1401	0.722175	0.821525	0.725918	0.823089	0.550746	0.294759	0.466515	1.12958	0.606525	-2.22047	1.74299	0.540482	0.0843757	0.185764	2.24373	-2.19712	1.43138	0.710176	-1.85898	2.0609	-0.0179928	-2.41826	1.75824	0.013885	-2.47506	1.97799	-1.87295	-3.287669e+01	-3.604975e+02	-3.933742e+02
800	0.505252	0.906184	0.832625	2.13052	1.37853	2.24253	3.13014	1.09082	1.10697	0.807407	0.896887	0.483641	0.749538	0.775874	0.441769	0.49293	0.690466	0.39499	-1.58197	1.37289	1.61042	0.166368	0.244018	1.99386	-2.19007	0.665243	1.34928	-1.53599	1.15019	0.644695	-1.68275	1.51758	1.57426	-1.63005	1.02572	1.47034	-3.364304e+01	-3.561692e+02	-3.898123e+02
900	0.9336	0.760292	1.09835	1.89891	1.05466	2.57152	2.98612	1.10057	1.0408	0.645005	0.637887	0.598187	1.00724	0.754729	0.250432	0.365636	0.709854	0.317777	-1.74219	1.69751	0.739764	0.0993085	0.0820145	1.40224	-2.11957	1.99273	0.0688617	-1.2447	2.02417	0.146695	-1.99802	1.51681	1.01706	-1.79739	1.32751	-0.116136	-2.978187e+01	-3.560103e+02	-3.857921e+02
1000	2.33886	1.03347	0.537416	2.57877	1.20177	2.39643	3.05393	0.931951	1.00656	0.775562	0.735664	0.538537	0.924539	0.597519	0.194667	0.415359	0.833162	0.772924	-1.63618	2.33114	-0.371134	0.0692571	0.167263	2.83037	-2.1514	2.4046	-0.270134	-1.45453	2.16941	0.0162415	-1.89717	1.86395	1.15239	-1.40151	2.77088	-3.28939	-3.565505e+01	-3.586277e+02	-3.942827e+02
1100	0.98652	0.6102	1.50702	1.83842	1.19801	1.68025	3.02264	1.09479	1.10879	0.466256	0.761061	0.595187	0.910183	0.800603	0.241751	0.804421	0.71925	0.419427	-2.44069	1.60966	-0.945887	0.0935502	0.0907454	1.67235	-2.4347	1.57974	0.292653	-2.07683	2.01593	-1.0278	-2.61277	2.19278	-2.07077	-2.75137	1.54039	-2.49099	-3.155900e+01	-3.693931e+02	-4.009521e+02
1200	0.830328	0.43614	0.468865	2.95382	1.39784	2.30726	3.03521	1.04241	1.2017	0.599204	0.65843	0.71158	0.768978	0.65177	0.44854	0.608716	0.703379	0.813291	-2.32757	3.06115	-0.939522	0.240373	0.419693	3.77168	-2.74087	2.8009	-2.2517	-1.96113	2.00779	-1.16607	-2.4395	2.59507	-4.31367	-2.22678	4.00074	-3.78381	-4.292340e+01	-3.620220e+02	-4.049454e+02
1300	0.316963	0.933058	0.733022	2.93587	1.08342	2.60494	3.14996	1.13308	1.04434	0.806094	0.584582	0.623376	0.739367	0.810816	0.406575	0.445413	1.03537	0.797867	-1.76558	3.20592	-1.46259	0.209248	0.109764	0.589999	-1.85906	3.31699	-1.25487	-1.06129	2.86984	-0.968219	-2.07276	3.23904	-0.371368	-1.85279	2.98091	-1.05893	-3.272400e+01	-3.624187e+02	-3.951427e+02
1400	0.800041	1.16546	0.783338	1.70479	1.07962	1.69376	3.29204	1.00867	1.12043	0.679348	0.583388	0.500852	0.853764	0.655702	0.380663	0.322391	0.977003	0.506072	-1.87729	2.38469	0.104253	0.0569759	0.12716	0.85387	-2.34352	3.01924	-1.07328	-1.57179	2.21206	-0.219434	-2.22302	2.5362	0.591807	-1.5716	2.78748	-1.7624	-3.489300e+01	-3.535445e+02	-3.884375e+02
1500	0.542938	0.476305	1.14009	2.49802	1.12546	1.82631	3.27268	1.05809	0.931193	0.808352	0.739059	0.693224	0.74116	0.758838	0.455977	0.414327	0.63042	0.916548	-1.76232	1.75668	0.16663	0.120719	0.275828	2.39957	-1.61857	2.4694	-0.560102	-1.32729	2.27853	-0.0602709	-2.19751	1.80722	0.914054	-1.60201	2.01805	-0.48528	-3.464756e+01	-3.624993e+02	-3.971469e+02
1600	0.534915	1.25609	0.668817	3.14321	0.890239	2.42712	3.02881	1.15332	1.16437	0.64657	0.78822	0.607997	0.857374	0.902653	0.262826	0.554587	0.931111	0.452874	-1.91509	1.44238	2.10039	0.108122	0.469971	4.41087	-2.49854	1.51358	-0.00262807	-1.70866	0.618306	1.2875	-1.97446	2.26406	0.424938	-1.52186	0.498186	-3.34626	-4.437363e+01	-3.566910e+02	-4.010646e+02
1700	0.763183	1.41082	0.699303	2.75698	0.780294	2.49387	2.76985	1.10637	1.0299	0.729186	0.608593	0.778709	0.705655	1.01711	0.561976	0.47857	0.791497	0.681158	-2.75776	1.19046	0.748066	0.169469	0.203042	1.19355	-2.73926	1.39799	-0.250957	-2.38886	1.01277	0.881813	-2.76366	1.3181	0.419559	-2.49536	0.822896	-1.08035	-3.364364e+01	-3.662590e+02	-3.999027e+02
1800	1.86491	0.687604	0.863338	1.57967	1.04353	2.58416	3.17805	1.19536	1.00147	0.719675	0.592829	0.615397	0.862466	0.611741	0.381562	0.596522	0.60735	0.593261	-2.068	0.666907	-0.637196	0.152894	0.093372	2.57656	-2.9085	0.597256	0.412143	-1.78277	1.41045	0.290789	-2.22024	0.458701	1.99128	-1.33379	0.508251	-2.30083	-3.897829e+01	-3.589361e+02	-3.979144e+02
1900	0.820489	0.952443	1.56823	2.07376	0.991498	2.28613	2.6745	1.1008	1.10611	0.567202	0.886467	0.633295	0.686638	1.15272	0.397386	0.334969	0.758113	0.468788	-1.84572	2.03355	-1.47489	0.176065	0.365421	3.30104	-2.63408	1.44082	0.411248	-2.02808	1.88916	-0.755412	-1.45377	2.12107	1.11276	-1.59295	1.63978	-0.77642	-3.983103e+01	-3.619658e+02	-4.017968e+02
2000	0.630345	0.974639	1.09498	2.36841	0.620111	2.56272	3.20691	1.04115	0.980591	0.676596	0.724277	0.502274	0.748523	0.673128	0.537826	0.362468	0.718651	0.574613	-1.97845	1.82828	-0.340507	0.439811	0.37589	1.30949	-3.01108	1.62574	-1.41646	-1.32888	2.45679	-0.639319	-2.00015	1.87938	1.33019	-1.63938	1.85777	0.35999	-3.955023e+01	-3.568346e+02	-3.963848e+02
2100	2.43938	0.545475	1.11596	2.62172	1.10484	2.66522	3.1843	1.07985	1.14799	0.632036	0.652644	0.62098	0.743363	0.986073	0.523646	0.635665	0.836654	0.504882	-2.21012	1.81065	-0.315243	0.0836377	0.359706	2.28533	-2.51023	1.76987	0.0586878	-1.77264	3.14653	-1.40843	-2.27601	0.715972	0.606547	-2.62894	1.72138	-0.434167	-4.088088e+01	-3.609173e+02	-4.017982e+02
