iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnC(1)	M_lnPKidTCAC(1)	M_lnPBrnTCAC(1)	M_lnPKidTCOHC(1)	M_lnPBrnTCOHC(1)	M_lnPKidTCOGC(1)	M_lnPBrnTCOGC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnC(1)	V_lnPKidTCAC(1)	V_lnPBrnTCAC(1)	V_lnPKidTCOHC(1)	V_lnPBrnTCOHC(1)	V_lnPKidTCOGC(1)	V_lnPBrnTCOGC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnC(1.1)	lnPKidTCAC(1.1)	lnPBrnTCAC(1.1)	lnPKidTCOHC(1.1)	lnPBrnTCOHC(1.1)	lnPKidTCOGC(1.1)	lnPBrnTCOGC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnC(1.2)	lnPKidTCAC(1.2)	lnPBrnTCAC(1.2)	lnPKidTCOHC(1.2)	lnPBrnTCOHC(1.2)	lnPKidTCOGC(1.2)	lnPBrnTCOGC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnC(1.3)	lnPKidTCAC(1.3)	lnPBrnTCAC(1.3)	lnPKidTCOHC(1.3)	lnPBrnTCOHC(1.3)	lnPKidTCOGC(1.3)	lnPBrnTCOGC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnC(1.4)	lnPKidTCAC(1.4)	lnPBrnTCAC(1.4)	lnPKidTCOHC(1.4)	lnPBrnTCOHC(1.4)	lnPKidTCOGC(1.4)	lnPBrnTCOGC(1.4)	LnPrior	LnData	LnPosterior
0	0.0347516	0.0215825	0.294717	1.81185	0.0619226	0.0597194	0.0608033	0.132677	1.30539	0.0213852	2.79147	1.66469	0.0285336	0.833796	2.63001	0.308449	0.123759	0.0297565	0.0994662	1.52151	0.0239498	0.0361569	-0.318895	0.0602004	0.0644091	-0.477199	-0.013196	-1.36795	-2.97049	1.29317	3.31527	4.15285	0.224213	0.0689782	0.194365	0.0464189	0.225366	0.282923	0.0800461	0.31996	0.126348	1.40674	0.579292	3.6034	3.45215	-0.672981	-0.351247	0.281076	-0.190901	0.271473	-2.37481	-2.61086	1.36915	3.56022	4.56261	-0.637089	0.0989572	0.304647	-0.423844	0.371886	-1.45662	-2.82497	0.944858	3.29568	3.53856	-0.169291	0.141641	0.602798	-0.525282	0.049768	-1.29284	-3.12914	2.19409	2.90006	4.36224	-0.526932	0.0674543	-0.305433	-0.571161	0.343572	-2.00397	-2.75646	-5.866642e+00	-2.030998e+04	-2.031585e+04
100	2.89597	0.755529	0.821238	2.18335	0.696301	0.563539	0.344162	3.16216	1.02341	1.84945	3.29925	1.09816	1.04673	0.793635	0.556841	0.456307	0.967934	0.631447	0.442711	0.420277	1.13741	0.595794	-0.0786062	0.418645	-0.262605	0.215494	0.065032	-1.63169	-1.08736	-0.883361	2.65253	-2.62419	0.142554	0.0807444	0.980883	0.194271	0.0654289	0.0551769	0.282764	0.3143	0.13072	1.44936	-0.426543	2.5625	0.651398	0.0208968	0.270229	-1.85593	0.577115	0.139256	-1.52326	-1.21175	-0.823468	2.87803	-0.790725	0.331149	0.306694	-0.291794	0.0920331	0.478786	-1.37419	-0.7458	-1.97453	3.32651	-0.456529	-0.538573	0.575073	-0.178572	-0.0248706	0.498155	-1.57312	-1.54003	-0.54828	1.8519	-1.24663	-0.289151	0.244395	-0.589503	-0.507086	-0.12227	-1.76505	-1.73167	-6.216099e+01	-3.443909e+02	-4.065519e+02
200	2.29894	2.41673	0.328061	1.5654	0.624046	1.27849	0.382275	2.22685	1.03224	2.53252	2.49338	1.11724	1.10125	0.612927	0.714771	0.537211	0.762479	0.569153	0.414142	0.698513	0.783715	0.502069	-0.559974	0.630544	-0.957423	-0.241174	0.320055	-0.105473	-1.81716	-2.76746	3.59714	-2.67066	0.0499141	0.0889141	0.0722545	0.0819527	0.02979	0.145027	0.161578	0.227063	0.113003	3.14701	-2.46031	3.69807	-2.0968	-0.51995	0.266264	-0.868456	-0.100853	0.0464257	0.533374	-1.84584	-1.96353	3.96973	-2.78328	-0.550753	0.96693	-1.15907	-0.394382	0.574968	-0.565291	-1.03616	-3.30884	3.59637	-1.80824	-1.14851	0.777616	-1.05921	-0.489421	-0.0897651	-0.0732091	-1.55272	-1.8796	3.85393	-2.99023	-0.530846	0.733539	-1.64529	0.0662701	0.0295227	0.332851	-2.20719	-5.162212e+01	-3.200266e+02	-3.716487e+02
300	3.14643	1.97677	0.519598	0.886693	0.613311	1.94886	0.162959	2.09019	0.69921	1.85714	3.2648	0.961436	0.993175	0.589983	0.585905	0.742601	0.746941	0.889309	0.356377	0.343672	0.898675	0.361931	-0.11652	0.453955	0.0727846	-0.360941	0.509579	0.992652	-1.43571	-2.13759	4.08654	-1.99937	0.09184	0.0799777	0.0481189	0.024986	0.057854	0.134905	0.101996	0.158539	0.0822906	1.50156	-2.34058	4.19534	-1.97194	-0.450561	0.503074	0.0972087	-0.434087	0.0400198	1.87115	-1.32456	-1.40649	4.09981	-1.88196	-0.378474	0.211381	0.278823	-0.534087	0.861548	0.986778	-1.51117	-2.3541	4.13323	-1.76239	-0.54115	0.732523	0.422972	-0.529853	0.352336	0.979665	-1.73261	-1.96217	4.10055	-1.57943	-0.0120384	0.264297	0.208582	-0.465939	0.364713	1.8937	-1.39893	-2.988531e+01	-3.183446e+02	-3.482299e+02
400	2.74839	2.58023	0.36949	3.07791	0.692839	1.07097	0.120538	1.89591	0.41191	1.49276	1.98092	0.970344	1.1308	0.696937	0.691687	0.626001	0.72296	0.506916	0.289865	0.533452	0.784736	0.563157	-0.519117	0.592014	-0.679425	-0.0308627	0.409606	1.51768	-1.32936	-1.36665	3.9533	-2.52709	0.0275739	0.149678	0.130931	0.190285	0.0200821	0.332912	0.0994045	0.264462	0.0834067	1.33112	-2.09107	4.11201	-1.88569	-0.489988	0.523698	-0.807949	0.386818	0.22858	3.16083	-1.26197	-1.97734	3.85516	-2.44519	-0.536622	0.517159	-0.160533	-0.225555	0.591953	1.56786	-0.869938	-2.00145	3.69942	-1.52436	-0.465044	0.847979	-0.886276	-0.0314344	0.325289	0.997309	-1.45601	-0.865446	4.03991	-1.6674	-0.64678	0.844285	-2.15396	-0.119212	0.265501	2.57284	-0.812747	-5.374152e+01	-3.127559e+02	-3.664974e+02
500	3.13605	2.39823	0.681352	1.95616	0.456609	0.702079	0.220356	2.80908	0.417753	1.89096	2.96404	1.07871	1.11733	0.717979	0.813562	0.482605	0.848139	0.637321	0.346067	0.697718	0.697162	0.357617	-0.282414	0.537348	-0.482654	-0.0391972	0.019619	1.78647	-1.20014	-2.69765	3.55981	-1.71866	0.134402	0.0615978	0.0613437	0.0485841	0.0682934	0.825107	0.174625	0.0928598	0.112592	1.80696	-2.79586	4.01447	-2.43538	0.76121	0.434149	-0.442081	-0.110044	0.135216	2.66698	-1.3293	-2.25985	3.08535	-2.13485	-0.257633	0.588456	-0.476049	-0.194991	-0.23186	0.147206	-0.466691	-2.30529	4.13954	-1.19631	-0.299224	0.800465	-0.583935	0.108555	0.203125	0.303307	-1.07135	-1.9887	2.72391	-3.43836	-0.488442	0.868249	-0.553108	0.149058	-0.10278	1.94472	-1.88096	-5.046229e+01	-3.166685e+02	-3.671308e+02
600	3.24575	2.04317	1.2918	0.888084	0.603095	1.22723	0.051724	1.62611	0.586805	1.01301	2.87574	1.02879	1.03204	0.700233	0.742466	0.693914	0.746149	0.846942	0.481886	0.52605	0.889134	0.616402	-1.19939	0.637726	-0.546465	-0.0363371	0.0528641	1.87248	-1.37344	-2.81015	3.38644	-4.60233	0.247968	0.0236053	0.0410522	0.0714951	0.0361578	0.0750246	0.14834	0.404181	0.101064	2.64508	-2.7303	3.82256	-2.09798	-0.683399	0.816804	-0.73368	0.0417212	0.0879342	1.78472	-1.50633	-2.0255	3.08764	-1.72666	-1.09565	0.660128	-0.553261	0.084838	0.281441	1.96818	-1.05845	-3.03914	3.62468	-2.66446	-1.09869	0.415319	-0.771008	-0.298716	0.297296	1.99692	-0.379904	-2.41466	3.11425	-3.23298	-1.17058	0.4418	-0.888113	-0.222177	0.014085	2.12965	-1.82858	-3.818645e+01	-3.179025e+02	-3.560889e+02
700	2.70151	1.00648	1.00122	0.845852	0.340851	0.650277	0.213733	2.11823	1.68232	2.09146	2.94613	1.07281	0.977817	0.662128	0.51416	0.629062	0.754025	0.808413	0.266876	0.3287	0.824917	0.474407	-0.293582	0.724613	-0.238164	0.269586	0.522696	1.51261	-1.71909	-1.85846	4.53974	-2.32213	0.257573	0.0759088	0.652213	0.130121	0.118568	0.259192	0.54197	0.353722	0.138705	2.0307	-2.20117	4.51047	-2.26262	-0.451472	0.82405	-2.27208	0.310449	0.479307	2.10906	-1.03979	-1.27062	4.26769	-1.95068	0.0265319	0.673097	-0.223276	0.404855	0.81827	0.684488	-1.66296	-1.42416	4.54755	-1.17125	-1.14199	0.73495	-1.15675	0.459709	0.508496	0.622161	-1.74177	-1.23797	4.52745	-3.54997	0.284263	0.801925	-2.41048	0.178259	0.359283	1.62771	-2.75698	-6.306862e+01	-3.099597e+02	-3.730283e+02
800	3.20373	2.56985	0.243033	0.336363	0.590234	1.45363	0.360246	1.29809	0.743173	1.38743	3.16883	0.843675	0.974791	0.790588	0.826144	0.537104	0.762434	0.844326	0.340508	0.481909	0.832659	0.695733	-0.908626	0.588987	-0.704874	-0.419482	-0.129413	2.15155	-0.538213	-2.24381	4.30855	-2.58296	0.0312298	0.0316395	0.138444	0.0884101	0.0650349	0.0646156	0.117083	0.0998319	0.102262	0.730572	-2.45121	4.26737	-2.9598	-0.856609	0.620071	-1.24683	-0.404428	0.182983	2.17314	-0.42378	-1.85396	4.60223	-3.14902	-0.955462	0.789689	-0.309153	-0.744406	0.072333	2.0605	0.201918	-2.49566	4.32291	-1.33118	-0.847034	0.756508	-0.554331	-0.813503	-0.254221	2.31877	-0.469723	-2.1681	4.48422	-2.4838	-0.923751	0.644158	-1.13962	-0.955589	0.0197248	2.57151	-0.287976	-3.013895e+01	-3.217610e+02	-3.519000e+02
900	2.75126	2.63049	0.37639	2.61487	0.509001	1.70994	0.229173	1.55069	0.762417	1.9024	3.08172	1.03744	1.04743	0.649238	0.799921	0.465417	0.732492	1.10405	0.555689	0.529533	1.00397	0.809016	-0.527285	0.348762	-0.655141	0.0832547	0.187661	1.67859	-1.07704	-1.86825	4.40572	-2.91328	0.054461	0.0429042	0.0760191	0.0523638	0.177584	0.708389	0.0849166	0.129665	0.0962744	1.3374	-1.94127	4.04187	-2.09986	-0.587488	0.609145	-0.721789	-0.0464572	0.454406	2.17903	-1.29792	-1.94087	3.7267	-2.20709	-0.875748	0.461044	-0.702443	-0.206495	0.544471	0.889301	-1.28163	-2.21371	4.40934	-3.08837	-0.584999	0.624727	-0.525865	-0.0545154	0.609277	2.02098	-1.22355	-1.90823	4.59226	-3.90151	-0.463089	0.00723362	-0.977222	0.0257236	0.315374	2.10497	-0.977998	-3.720094e+01	-3.201068e+02	-3.573078e+02
1000	2.65084	1.98679	0.739068	1.01541	0.575639	0.979142	0.194132	2.64011	0.954354	2.09543	2.56664	1.0719	1.18632	0.762055	0.826185	0.559413	0.894075	0.695878	0.620921	0.536712	0.761121	0.576644	-0.157526	0.397559	-0.465949	-0.569106	0.124933	2.02264	-0.715078	-2.08376	2.74189	-0.815218	0.0616792	0.0519367	0.909055	0.157221	0.01777	0.120528	0.0453395	0.120429	0.338014	2.30196	-2.04791	3.60479	-1.86628	-0.615463	0.291461	-0.929664	-0.0463787	0.191011	2.22432	-0.893525	-1.84584	2.60664	-0.965282	-0.486534	0.525554	-0.483904	-0.710444	0.53163	1.57295	-0.775188	-2.04015	3.11158	-1.11463	-0.143515	0.528472	-1.61824	-0.397378	0.213667	2.03594	-0.763057	-2.28475	2.46936	-1.67689	-0.104647	0.0935393	-2.06307	-0.423472	0.0739281	2.42333	-0.961923	-4.817208e+01	-3.152152e+02	-3.633872e+02
1100	3.25121	1.45574	0.584037	0.65079	1.14819	1.58191	0.774122	1.21206	0.383841	3.14185	0.903766	1.03092	1.18146	0.638597	0.839701	0.580328	0.761163	0.878504	0.312175	0.445345	0.995462	0.509851	-0.598624	0.28419	0.404874	-0.06114	-0.245344	1.74937	-0.812089	-1.97565	2.86123	-2.16446	0.0971058	0.0925012	2.93979	0.19445	0.0764254	0.0769341	0.0666179	0.310577	0.0892054	5.29586	-2.43156	2.50696	-0.539744	-0.178875	1.00178	-1.57868	0.287366	-0.178955	2.36715	-0.516309	-0.986417	3.2399	-0.938071	-0.275212	0.858954	-0.289685	-0.828171	-0.131936	2.10033	-0.68768	-2.14933	2.69151	0.295486	-0.787404	0.346988	-1.01709	-0.59982	-0.000337867	2.3853	-1.08053	-1.59092	2.74682	-2.90138	-0.828367	0.287841	-3.20529	-0.107265	-0.245922	2.00926	-1.08408	-6.731594e+01	-3.136366e+02	-3.809525e+02
