iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
1400	1.0635	1.00736	0.710603	0.95566	0.49848	0.816146	0.700104	0.502902	0.566925	0.638645	0.776602	-2.09077	-1.28285	3.63019	0.110909	0.554605	2.15104	-2.50979	-1.7767	3.03263	-1.74174	-2.19479	4.12972	-1.78828	-0.701524	3.53001	-1.90293	-1.38525	2.73094	-2.615946e+01	-3.387173e+02	-3.648767e+02
1500	0.987253	1.02125	0.587292	0.682764	0.835309	0.769086	0.774232	0.389545	0.382552	1.02457	0.596062	-1.94497	-0.759818	3.17282	0.113424	0.1627	2.26663	-2.35105	-0.831763	2.55257	-1.6892	-1.09708	3.07283	-1.53182	-0.316617	3.57448	-1.70432	-0.791636	1.64593	-2.134262e+01	-3.375666e+02	-3.589092e+02
1600	0.991924	0.97591	0.710405	0.791541	0.613577	0.746178	0.851422	0.572849	0.645712	0.770002	0.320556	-1.73009	-0.907885	3.94146	0.944692	0.844646	2.88984	-3.07026	-1.37906	3.0433	-0.955648	-1.36018	3.66466	-3.18516	-0.681997	1.68315	-1.66179	-2.27578	1.17203	-3.954799e+01	-3.383439e+02	-3.778919e+02
1700	1.04179	1.22919	0.604453	0.876918	0.522358	0.869366	0.813153	0.648472	0.468629	0.83105	0.995887	-2.67882	-0.939028	-0.982678	0.355859	0.154095	9.32075	-2.89004	-1.26626	-1.01929	-1.96147	-1.0745	2.53627	-2.32508	-0.553556	3.39171	-2.01219	-0.844532	0.906791	-3.312774e+01	-3.407474e+02	-3.738752e+02
1800	1.09126	1.1311	0.824279	0.697008	0.571131	0.832889	0.654617	0.390867	0.516466	0.891988	0.58152	-2.36835	-1.20264	3.17516	0.234705	0.112755	1.79596	-2.14445	-1.49596	3.75529	-1.6937	-1.05796	2.78491	-2.57173	-0.752356	2.73431	-1.78361	-1.38177	1.2163	-2.341895e+01	-3.350131e+02	-3.584321e+02
1900	0.961117	0.972117	0.629481	0.613592	0.521617	0.65498	0.751827	0.242533	0.46007	0.818345	0.831816	-2.37565	-1.46039	3.38049	0.493515	0.245382	3.31619	-2.4604	-1.45428	3.26508	-1.9486	-1.44349	2.45837	-2.90024	-1.34374	1.64171	-1.06944	-1.29812	1.12186	-2.839391e+01	-3.411172e+02	-3.695111e+02
2000	0.981608	0.994217	0.751591	0.796396	0.555176	0.873071	0.836109	0.447851	0.495377	0.739988	0.506594	-1.88022	-1.20153	1.83769	0.108374	0.194028	2.0248	-2.16799	-1.301	3.31655	-2.00889	-1.52321	3.17182	-2.13685	-1.74466	4.02974	-1.70859	-1.00157	2.61113	-2.296963e+01	-3.361822e+02	-3.591518e+02
2100	1.01095	1.04802	0.625514	0.732351	0.610576	0.729414	1.35571	0.260444	0.398276	0.65758	0.783426	-2.34578	-1.76082	2.29324	0.271989	0.178749	1.05233	-2.50325	-1.87892	3.35538	-1.69131	-1.49649	3.01509	-2.54545	-1.70205	3.81717	-1.61206	-2.96796	3.61448	-2.901145e+01	-3.399868e+02	-3.689982e+02
2200	1.06486	1.03373	0.677535	0.808837	0.826848	0.764076	0.791083	0.491102	0.497213	0.735046	0.875364	-3.02062	-1.60997	-0.428165	0.236923	0.0561016	3.24865	-2.71444	-1.58126	-2.40156	-2.95024	-1.65554	-0.972445	-2.8339	-1.20528	1.56181	-2.06377	-1.60111	-2.02667	-2.641998e+01	-3.481448e+02	-3.745648e+02
2300	1.13998	1.18757	0.601361	0.770978	0.811645	0.778426	0.739954	0.286901	0.537595	0.843428	0.544987	-2.19184	0.624195	0.965922	0.12867	0.238366	2.98124	-2.285	0.519608	1.78462	-1.97545	0.0613468	1.40169	-2.48861	0.935179	1.09024	-1.83157	0.572598	1.982	-2.343329e+01	-3.399211e+02	-3.633544e+02
