iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
1400	0.950782	1.07834	0.674985	0.56964	0.599654	0.828157	0.778399	0.480558	0.408693	0.632278	0.643949	-2.17325	-1.56425	2.53941	0.156548	0.20683	2.6122	-2.2604	-0.513248	2.14824	-2.16872	-1.90597	2.85582	-2.23264	-0.81677	3.7089	-2.03704	-2.10489	2.19285	-2.530239e+01	-3.376455e+02	-3.629479e+02
1500	1.41641	0.936	0.574903	0.605271	0.521524	0.755287	1.02967	0.761724	0.426476	0.658922	0.513394	-1.74867	-1.61156	4.40311	0.252763	0.151188	1.22296	-1.81714	-2.09312	4.18486	-1.49591	-1.33442	2.94762	-2.2245	-1.34331	3.45494	-0.600616	-1.7672	4.56804	-2.323067e+01	-3.516717e+02	-3.749024e+02
1600	1.01776	1.01181	0.603553	0.648122	0.514272	0.826601	0.772415	0.61101	0.393737	0.810457	1.01429	-1.87284	-0.27642	2.56847	0.0761936	0.452011	2.39365	-2.62802	-0.435798	2.13576	-1.73681	-0.863365	2.55153	-1.55583	0.103813	3.23313	-1.91354	-0.186366	0.578019	-2.805460e+01	-3.375071e+02	-3.655617e+02
1700	0.980348	1.19808	0.584025	0.722183	0.622664	1.11319	0.813695	0.499209	0.490815	1.15723	0.626894	-2.46384	-0.448033	1.14303	0.295996	0.0664144	2.53176	-2.36981	-0.275176	2.34493	-2.2191	-0.157591	1.15047	-3.4262	-0.367804	-1.11473	-2.26791	-0.634304	-1.52063	-2.677257e+01	-3.435159e+02	-3.702885e+02
1800	1.04682	1.00894	0.704134	0.654628	0.544336	0.668473	0.755145	0.23149	0.530687	0.716868	0.605523	-1.81187	-0.64964	3.07157	0.0636595	1.58559	0.829315	-2.23195	-1.02606	3.03573	-1.61437	1.63274	0.627291	-1.93331	0.128021	2.87744	-1.63223	-1.3743	1.45589	-3.452864e+01	-3.371883e+02	-3.717169e+02
1900	0.962281	1.05832	0.699521	0.614579	0.615054	0.754321	0.722457	0.397414	0.644396	0.995544	0.579017	-1.84406	-1.21686	3.89446	0.158487	0.224496	1.94695	-1.87338	-1.40598	3.23739	-1.73682	-1.38334	2.99158	-1.54181	-0.990291	4.45676	-1.80564	-1.98611	2.32936	-2.180542e+01	-3.405668e+02	-3.623722e+02
2000	0.97766	1.1244	0.752482	0.77236	0.528469	0.788198	0.711591	0.409904	0.426539	1.02184	0.506695	-1.70081	-1.56523	3.84321	0.428448	0.093901	1.07995	-1.80321	-1.51144	3.77429	-1.89406	-1.578	2.91412	-2.22797	-1.24401	3.96558	-1.42022	-0.973214	1.56189	-2.506638e+01	-3.358396e+02	-3.609060e+02
2100	1.05808	1.0366	0.655397	0.644698	0.657791	0.767108	0.833925	0.385325	0.493047	1.04425	0.679507	-1.87415	0.234378	1.65433	0.107064	0.185906	1.8778	-1.80403	-0.617884	3.33841	-1.58164	0.150388	1.95255	-2.3588	-0.00365086	2.74341	-1.9648	-0.148229	2.46049	-2.389227e+01	-3.387980e+02	-3.626902e+02
2200	1.07111	0.96937	0.647026	0.750461	0.710722	1.15261	0.756045	0.375311	0.384662	0.708938	0.819345	-1.69722	-0.096794	2.2809	0.170503	0.137495	1.61923	-2.42457	-0.0675458	1.7123	-1.58818	-0.480224	2.05167	-1.69847	-0.547787	2.93231	-2.43748	-0.132496	2.14397	-2.320997e+01	-3.463720e+02	-3.695820e+02
2300	1.07994	1.02005	0.733221	0.708845	0.661826	0.905482	0.92196	0.364135	0.515537	0.791063	0.411395	-2.31719	-1.30885	2.44806	0.0841578	0.156512	1.97318	-2.65214	-1.24874	2.84565	-2.42513	-1.59925	3.1474	-2.40654	-1.47458	3.88908	-2.39892	-1.13628	1.37278	-1.939003e+01	-3.407340e+02	-3.601240e+02
