iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1)	lnkDCVCC(1.1)	lnkElimDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkDCVG(1.1)	lnISkDCVC(1.1)	lnISkNDCVC(1.1)	lnkDCVGC(1.2)	lnkDCVCC(1.2)	lnkElimDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkDCVG(1.2)	lnISkDCVC(1.2)	lnISkNDCVC(1.2)	lnkDCVGC(1.3)	lnkDCVCC(1.3)	lnkElimDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkDCVG(1.3)	lnISkDCVC(1.3)	lnISkNDCVC(1.3)	lnkDCVGC(1.4)	lnkDCVCC(1.4)	lnkElimDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkDCVG(1.4)	lnISkDCVC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
0	0.674552	0.407648	0.0132857	0.0964499	0.691791	1.10624	0.0932747	0.328334	2.47816	2.25651	0.0895715	-6.59294	2.53185	2.66407	0.561739	-4.00997	3.20647	3.41549	0.114454	0.0407921	0.125816	0.147362	1.57087	0.871306	2.07645	-6.75401	2.45876	2.57447	0.79082	-3.15691	4.36909	3.44131	-6.25611	2.30929	2.86146	1.51467	-2.86991	3.51883	2.04073	-6.59346	2.57116	2.81714	0.792237	-1.63796	2.40632	3.99182	-6.71164	2.60089	2.60558	0.54555	-1.9537	2.60691	2.54581	-3.376849e+01	-1.573700e+05	-1.574038e+05
100	1.12336	1.36085	1.01446	1.01076	0.918576	0.995373	0.988741	0.603728	0.62334	0.762002	1.15601	-3.00696	1.34048	2.78017	0.818373	4.499	-3.85251	-4.52784	0.294791	0.350531	0.286886	0.145026	1.64373	1.68428	3.95899	-2.17792	1.95694	2.84915	1.07472	3.52635	-4.29377	-1.94727	-2.99266	1.00268	3.38967	0.455963	3.93512	-2.6398	-0.570815	-3.80077	1.68418	3.28518	0.93819	4.56183	-3.59907	1.23214	-3.05964	1.77578	3.18228	0.979676	4.4591	-1.45696	-3.61521	-5.961562e+01	-3.818047e+02	-4.414203e+02
200	0.978416	1.06956	0.560898	0.781972	0.687594	0.755975	0.695734	0.279633	0.453542	0.822054	0.373862	1.30111	1.31164	2.8323	1.81983	4.08634	-4.46491	0.0212045	0.209076	0.0692963	0.226716	0.260782	2.09154	0.907373	0.850929	0.762362	1.45425	3.11502	1.67895	3.04799	-4.49269	0.477213	1.33258	1.62745	2.9178	2.48751	1.73506	-3.84599	-0.228271	1.26525	1.12659	3.02526	2.24973	2.47505	-4.41313	-0.0250165	1.45774	1.4155	2.46806	1.28225	3.89878	-3.04524	0.857189	-4.218930e+01	-3.291692e+02	-3.713585e+02
300	0.760021	0.758247	0.705577	0.877529	0.678027	1.17524	0.702044	0.348893	0.393386	0.660483	0.378202	0.877903	0.675649	4.02516	1.64504	2.44314	-4.35234	2.29979	0.376847	0.16837	0.300683	0.114838	1.18919	1.34367	6.49023	1.51141	1.55517	4.03707	1.72621	3.56712	-4.56334	0.20762	0.584694	1.11006	4.11413	1.61097	3.52379	-3.71327	0.27024	0.473872	0.720013	4.13608	1.89079	3.52247	-4.23509	0.276487	1.48009	1.19057	3.45368	1.73893	4.14993	-4.09014	-0.77459	-5.227620e+01	-3.336498e+02	-3.859260e+02
400	1.03085	1.05179	0.623062	0.531309	0.519146	0.962591	0.561765	0.388567	0.336011	1.17433	0.488609	0.486325	1.22555	2.30888	2.19322	2.63719	-2.70173	0.0490639	0.118554	0.159854	0.364336	0.0585428	1.69891	2.42599	0.64755	0.0202576	0.99065	2.50083	2.01143	3.95975	-3.57561	0.264385	0.840719	1.5734	2.14722	2.29929	2.40048	-3.14001	0.342907	0.40137	1.53846	1.93309	2.51364	3.03564	-4.21552	0.337541	1.03305	1.45366	2.33736	2.17137	3.27531	-3.9961	-0.982079	-4.514344e+01	-3.330860e+02	-3.782294e+02
500	0.710502	0.966063	0.935885	0.873722	0.582775	0.696928	0.773603	0.442678	0.851809	0.705861	0.573244	1.12703	0.550027	0.547769	2.22725	3.101	-3.81329	-0.70886	0.0767988	0.0523467	0.0567755	0.0912399	4.95002	1.68392	0.790392	0.948534	0.712332	0.526702	2.67664	4.45983	-3.82215	-0.908545	1.41524	0.0959764	0.529394	2.17615	3.46014	-2.49072	-0.0376093	1.15368	0.0416956	0.400459	2.24316	2.64616	-4.26125	-1.62983	1.39393	0.629783	0.483267	1.74529	4.35758	-2.77116	-0.814617	-4.241142e+01	-3.349971e+02	-3.774085e+02
600	0.629126	0.884445	1.05789	1.07407	0.540092	0.797097	0.675352	0.260143	0.444387	0.799436	0.556556	2.65991	0.454884	0.205561	4.42849	3.89127	-2.98331	-1.35981	0.0907215	0.159823	0.143087	1.04486	3.04549	0.979627	1.31326	2.82177	0.645812	-0.02085	2.94739	2.19404	-3.45735	-0.888679	2.90896	0.981606	0.138276	2.70523	1.96031	-3.11958	-0.503645	2.89031	0.39116	0.0437321	3.58178	2.60832	-3.62462	-1.44269	2.48693	0.342763	-0.403384	3.68989	4.34568	-2.91732	-2.29275	-4.878161e+01	-3.285467e+02	-3.773283e+02
700	0.772246	0.802087	0.874679	0.977367	0.728691	0.837041	0.961883	0.467728	0.572411	0.745218	0.703084	2.4491	1.63053	0.569366	4.31214	3.65322	-4.48976	-2.6752	0.144962	0.133697	0.53026	0.0852615	2.14511	1.17894	2.74425	1.97155	1.50584	-0.00366117	3.86393	3.11992	-4.34688	-1.63433	2.43094	1.37236	0.725057	4.22643	2.04323	-3.90422	-2.57653	2.30181	0.877218	-0.00525506	4.15086	1.96715	-3.01804	-1.54872	2.16967	1.6306	-0.283701	4.47705	3.8252	-4.3865	-3.44208	-4.687923e+01	-3.327970e+02	-3.796762e+02
800	0.91983	1.0006	0.745892	0.804316	0.419782	0.717939	0.487492	0.406102	0.403566	0.852966	0.318878	2.71273	0.500194	1.16934	4.13314	1.57699	-2.74649	-4.38114	0.0411459	0.218318	0.148018	0.123711	0.525492	1.47893	2.76364	2.77887	0.413629	1.16202	4.19917	2.3838	-3.63024	-2.28387	2.81973	0.0673671	1.64041	3.8576	1.6119	-1.98613	-1.63603	2.81419	0.301002	1.18372	4.20544	1.19619	-3.30625	-1.37203	2.48772	0.355177	1.11937	4.1041	2.13897	-3.47341	-4.59509	-4.137801e+01	-3.322351e+02	-3.736131e+02
900	0.787532	0.838726	0.849966	0.723655	0.684537	0.783853	0.777596	0.303536	0.397581	1.05997	0.624116	3.23301	0.771042	0.389081	4.429	1.95541	-4.30834	-1.52329	0.412394	0.138893	0.321337	0.269637	0.792709	1.66781	1.09526	3.15388	1.18644	0.00527592	3.69679	1.76573	-4.32871	-1.29778	2.82179	0.762118	0.0886245	4.07765	1.92446	-2.59831	-1.84959	2.50557	0.379378	0.294217	4.48212	0.936624	-3.02183	-1.21322	4.14112	0.509698	-0.256888	3.868	2.57566	-3.81794	-4.30902	-5.205282e+01	-3.370562e+02	-3.891090e+02
