iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1)	lnkDCVCC(1.1)	lnkElimDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkDCVG(1.1)	lnISkDCVC(1.1)	lnISkNDCVC(1.1)	lnkDCVGC(1.2)	lnkDCVCC(1.2)	lnkElimDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkDCVG(1.2)	lnISkDCVC(1.2)	lnISkNDCVC(1.2)	lnkDCVGC(1.3)	lnkDCVCC(1.3)	lnkElimDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkDCVG(1.3)	lnISkDCVC(1.3)	lnISkNDCVC(1.3)	lnkDCVGC(1.4)	lnkDCVCC(1.4)	lnkElimDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkDCVG(1.4)	lnISkDCVC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
1000	0.609887	1.00621	0.86858	1.00756	0.541178	0.820373	0.900167	0.435658	0.389437	0.858106	0.621893	4.56025	0.946615	-0.349307	4.21133	1.59927	-3.35665	-1.719	0.185093	0.0891782	0.0917759	0.127999	1.43682	2.13783	4.78416	4.06344	0.789073	-0.133911	3.95664	0.608828	-3.50494	-1.70616	4.09675	0.857044	-0.756822	4.26347	0.824628	-2.7535	-1.82403	4.20983	1.0893	-0.864895	4.4713	0.598077	-4.17482	-1.45868	4.4066	0.923307	0.0400741	4.13634	1.09114	-3.01001	-2.5655	-4.125710e+01	-3.308237e+02	-3.720808e+02
1100	0.683014	0.852688	0.761418	0.837778	0.598883	1.0235	0.931063	0.411723	0.418498	0.97865	0.701205	3.13054	-0.156196	-1.1602	3.06558	-0.56064	-3.57584	-1.09472	0.629109	0.480099	0.106592	0.0888259	27.7653	1.34184	1.50618	4.07462	0.488989	-1.44814	3.38036	1.19394	-3.49051	-1.13321	2.41289	0.00431557	-1.06577	3.18858	2.3543	-2.48252	-1.99883	3.30928	0.548484	-1.80253	3.13316	1.56281	-3.71293	-0.52613	3.45315	-0.759147	-0.756783	 2.68	2.56631	-2.08961	-2.84972	-6.411445e+01	-3.321052e+02	-3.962197e+02
1200	0.555836	0.844981	1.03707	0.982401	0.49765	0.782375	0.572292	0.485867	0.344091	1.13798	0.548373	4.16368	-0.249653	-0.619221	3.29546	1.52416	-2.48694	-2.45271	0.157571	0.219227	0.173072	0.0920258	0.812766	1.76166	2.75903	3.82401	-0.169652	-0.51627	3.34969	2.10662	-2.52891	-0.935176	4.09924	-0.366361	-0.874561	3.33029	0.538944	-1.42372	-0.641841	4.04619	-0.516208	-0.61376	3.21108	0.776689	-3.64385	-3.05474	4.60013	-0.666339	-0.548447	2.97951	1.79044	-1.57303	-2.84164	-4.234663e+01	-3.342707e+02	-3.766174e+02
1300	0.914947	0.964767	1.02707	1.28436	0.527149	0.752522	0.896795	0.264981	0.40151	0.810367	0.525266	2.79303	-0.603974	-1.70533	2.96256	2.18438	-1.65591	-0.754505	0.334959	0.135121	0.501988	0.315071	1.84483	6.76449	2.15406	2.5665	-0.228171	-1.4404	3.3654	2.80097	-2.96666	-1.19901	3.48857	-1.03804	-1.34279	3.03706	1.11953	-1.10733	-0.902974	3.29291	-0.189544	-1.42375	3.52272	2.27733	-2.77827	-0.494943	3.29402	-0.995534	-0.740992	2.80835	2.16766	-2.05131	-1.47193	-5.919390e+01	-3.326335e+02	-3.918274e+02
1400	0.686109	0.904304	1.16806	1.29567	0.352599	0.838319	0.696432	0.2955	0.352259	0.877089	0.527907	1.3792	-0.258341	1.74912	3.35647	3.89037	-3.85171	-3.9617	0.0431127	0.166649	0.398392	0.0618934	2.38584	4.54078	6.59276	1.20435	-0.298512	0.868487	3.12188	4.50441	-3.5452	-3.03682	1.33561	0.275087	2.07318	3.37913	4.09481	-2.46308	-1.14838	0.989616	-0.834947	2.27256	3.35577	4.27495	-3.43961	-3.13953	1.7334	0.162288	1.68196	3.50524	4.43666	-2.57515	-3.87159	-5.040006e+01	-3.386687e+02	-3.890687e+02
1500	0.643744	1.01341	0.991413	1.00327	0.465561	0.84818	0.674842	0.44342	0.368179	0.99548	0.620971	1.56341	-0.699701	0.529251	2.79215	4.60134	-2.74297	0.235893	0.56493	0.159613	0.0987796	0.131782	1.06703	1.91568	5.96522	1.65659	-0.372381	-0.0284702	3.232	4.1689	-3.70465	-2.51874	2.1247	-0.398803	0.438156	3.56195	3.2614	-2.07883	-1.76312	1.01685	-0.736122	0.651593	3.03269	3.8393	-2.67384	-0.849821	1.96109	-0.044281	0.728631	2.96777	4.17347	-2.346	-0.247125	-5.222811e+01	-3.326813e+02	-3.849094e+02
1600	0.8415	0.971669	0.721586	0.898775	0.482936	0.726413	0.776487	0.529063	0.415243	0.890926	0.488691	1.00737	-0.72811	0.447165	3.95396	4.57209	-2.45685	-4.47246	0.118381	0.171054	0.121639	0.092044	1.81501	4.87102	3.32557	1.0879	-0.595272	0.00313824	3.85883	4.05182	-3.44803	-3.2167	1.20959	-0.709104	0.28065	3.56979	2.9086	-1.28251	-1.30291	1.37584	-1.14383	-0.360116	4.19131	3.54947	-2.98213	-3.45458	0.847015	-0.539392	0.389233	3.62256	3.66938	-1.8187	-3.8634	-4.475941e+01	-3.317101e+02	-3.764695e+02
1700	0.950804	0.95471	0.508637	0.557703	0.70722	0.904376	0.895974	0.32027	0.713783	0.836121	0.787084	0.564765	0.451049	0.441145	3.44198	3.84586	-3.03207	-3.0258	0.127353	0.103044	0.155773	0.065814	0.95226	0.766119	1.63844	0.490366	0.209314	0.13217	3.64896	3.90421	-3.91907	-1.89441	0.0550796	0.659985	0.562507	4.05178	3.03519	-3.4693	-3.59775	0.878007	0.141703	0.966159	3.12583	3.64149	-3.24667	-1.74908	1.26042	0.387493	0.875773	3.80055	3.41053	-3.89999	-3.79053	-4.477035e+01	-3.375966e+02	-3.823669e+02
1800	1.02953	1.00176	0.524675	0.798339	0.618324	0.832821	0.720188	0.366517	0.373698	0.651534	0.472429	1.31843	-0.308654	0.469621	3.88423	2.7512	-4.12343	-3.59108	0.204964	0.165167	0.242323	0.046117	1.31922	2.33843	2.46552	0.581971	-1.00611	0.325105	3.95251	3.09569	-2.57358	-2.15172	1.12169	-0.339962	0.782895	4.0211	2.18304	-1.92346	-2.00207	1.5614	-0.329915	0.525226	3.55404	3.12328	-4.08938	-4.33779	2.10002	-0.517113	0.58951	3.98818	3.26871	-1.14616	-1.47287	-4.775866e+01	-3.328407e+02	-3.805993e+02
1900	0.947588	0.961472	0.732064	0.735427	0.511821	0.720212	0.730492	0.56494	0.264941	0.902444	0.811059	0.524072	-0.829104	1.15217	3.91992	4.38008	-2.00799	-0.787467	0.519554	0.379416	0.224779	0.0739538	1.10554	11.3218	3.09616	0.585324	-0.426257	1.02791	4.20273	4.23176	-2.84968	-2.77904	0.531562	-0.308801	1.5057	3.7452	3.53069	-2.01124	-2.27978	0.979553	-0.304256	1.53992	3.91843	3.56672	-3.71873	-2.65778	1.11778	-0.480916	1.76694	4.28316	3.45883	-2.41349	-3.52769	-5.904853e+01	-3.338848e+02	-3.929334e+02
2000	0.838624	0.938455	0.777984	0.962172	0.575645	0.787437	0.794407	0.208041	0.334826	0.89106	0.318313	1.13101	0.20044	1.37154	4.18066	2.52502	-3.47341	-1.76978	0.0890498	0.212071	0.247043	0.15943	2.24384	1.43836	1.60621	0.895061	0.0175375	1.58805	4.47926	4.30906	-3.31389	-2.43634	1.24444	0.00567672	2.03716	4.08914	3.60185	-1.95879	-1.47056	1.31732	0.379281	1.05355	3.77584	2.97538	-2.66033	-0.509696	1.43848	0.144482	1.41174	3.06367	4.5686	-3.39453	-4.04817	-4.827591e+01	-3.309694e+02	-3.792453e+02
2100	1.01546	0.971466	0.689248	0.896244	0.74424	0.945003	0.819925	0.25575	0.698357	0.834201	0.405412	0.122933	-0.933327	2.7419	3.46223	4.51642	-2.39869	-2.30921	0.0761071	0.125142	0.288602	0.331439	1.76318	3.841	1.05938	0.142953	-0.514721	2.66881	3.68888	4.34047	-2.93553	-2.30056	-0.0427432	-0.786994	2.55185	3.92491	3.32069	-1.72899	-1.90785	0.239437	-0.964666	2.9114	3.95261	4.44297	-1.80548	-0.915377	0.628504	-0.767389	2.57747	3.36592	4.49798	-2.57014	-2.41666	-4.443750e+01	-3.350091e+02	-3.794466e+02
2200	0.811322	0.924488	0.53772	0.960404	0.567652	0.811734	0.578263	0.416867	0.506853	1.01696	0.538289	0.68954	-1.90777	2.34375	4.51986	4.58761	-0.13507	-1.76792	0.169176	0.318296	0.154622	0.0778743	1.53379	2.22508	2.82536	1.15841	-1.58857	2.05481	4.34253	3.89687	-2.12554	-2.87206	0.980188	-1.84034	2.98889	4.48237	2.79445	-0.0605021	-2.15084	1.09806	-2.60699	2.36065	4.50588	2.9774	-0.897523	-3.87816	0.255134	-2.03519	2.22694	4.5763	4.40618	0.0535752	-1.4672	-4.430079e+01	-3.360587e+02	-3.803595e+02
2300	0.973878	0.989619	0.771987	1.0121	0.483486	0.865101	0.790795	0.524073	0.574906	0.63048	0.644141	1.32904	-1.26874	4.33818	3.09691	2.81622	-1.16635	-1.9267	0.150538	0.106727	0.430273	0.750872	0.662377	1.261	3.7937	1.64689	-0.698909	3.86633	3.35104	2.51166	-1.89963	-1.33345	1.45271	-2.00491	4.17623	3.40249	2.6034	-0.490789	-2.41312	1.3775	-1.01144	4.4776	2.99691	2.67248	-1.9052	-0.813982	1.21274	-1.17166	3.47735	2.53409	3.0854	-0.887163	-2.84548	-5.431125e+01	-3.346091e+02	-3.889203e+02
2400	0.818065	0.822326	0.857168	0.802826	0.425632	0.880816	0.787961	0.355363	0.532296	0.914621	0.404185	1.60946	-1.36883	3.57217	4.5596	3.68497	-1.25673	-2.98256	0.252456	0.169691	0.372636	0.151321	1.81209	1.1909	1.52827	2.28679	-1.33922	4.20541	4.42375	2.92129	-1.82668	-2.22864	1.69364	-1.25126	3.86679	4.55445	2.76539	-0.938807	-2.24285	1.24596	-1.51954	3.79698	4.36981	2.97823	-1.86274	-3.38489	1.5748	-1.12626	4.1536	4.48922	4.3663	-1.9479	-2.9704	-4.163513e+01	-3.299979e+02	-3.716330e+02
2500	0.885784	0.875165	0.815417	0.643602	0.551364	0.719316	0.580806	0.440139	0.534643	0.852077	0.808647	2.57617	-0.623022	0.797814	4.31718	1.87012	-1.37323	-2.8331	0.140041	0.483052	0.0732378	0.160838	1.71396	1.12748	1.33691	2.77795	0.514355	0.913838	4.3669	1.1843	-3.72029	-2.88769	3.07702	-0.2976	0.55652	3.66638	1.01459	-2.53989	-2.3133	2.66676	-1.73229	0.948683	4.06115	0.812569	-1.46114	-1.50131	2.8169	-1.34063	0.823642	4.51987	1.4195	-0.926554	-3.69564	-4.898648e+01	-3.366567e+02	-3.856432e+02
2600	0.650648	0.88119	0.95301	1.03554	0.55948	0.843344	0.731039	0.261724	0.281131	0.777768	0.489474	4.15832	-0.591705	  1.2	3.82154	1.76603	-3.07326	-2.35227	0.272996	0.12982	0.105187	0.0478777	1.64857	1.86497	3.52832	4.36853	-0.520325	0.897976	4.23215	2.70604	-2.89472	-2.52329	3.26659	-0.771143	1.5063	3.92747	1.23297	-1.37664	-1.92528	4.26947	-0.328702	1.57617	3.75066	0.525998	-3.25081	-1.73679	3.14334	-0.855054	1.58342	3.89256	3.41759	-2.02748	-1.90756	-4.652229e+01	-3.316784e+02	-3.782007e+02
2700	1.07879	1.03084	0.590541	0.795061	0.657364	0.797304	0.834393	0.287079	0.421168	0.887073	0.31344	3.24343	-0.179694	0.711553	3.28115	1.83734	-2.84064	-1.18938	0.0497473	0.095035	0.596177	0.0769058	2.34783	0.618543	0.843286	3.08677	-0.0530364	0.499265	3.21063	0.65415	-3.01307	-1.07976	3.17857	0.129262	1.5606	3.2646	-0.154919	-2.46275	-1.51083	3.14566	-0.32761	0.327148	2.78919	0.31607	-2.68248	-0.509416	3.10202	-0.147632	1.1758	2.75585	1.76933	-2.85445	-1.46919	-4.496359e+01	-3.307706e+02	-3.757342e+02
2800	0.852802	0.892621	0.887863	1.09082	0.454458	0.755238	0.65871	0.270328	0.447214	0.944845	0.312662	3.49745	-0.396244	-0.806872	4.24722	2.40248	-4.54575	-2.84483	0.146731	0.259372	0.214095	0.154517	1.12175	1.35028	1.58849	3.31341	-0.753311	-1.25048	4.31657	1.13165	-2.68283	-2.52953	3.25517	-0.0639534	-0.321926	3.61523	1.69818	-1.99983	-1.67435	2.90855	-0.25544	-1.26478	3.6554	1.77742	-4.16687	-3.92968	2.5481	-0.623188	-0.187203	4.18108	3.9161	-1.88156	-1.28551	-5.396295e+01	-3.342105e+02	-3.881735e+02
2900	0.753037	0.847343	0.738433	0.920261	0.716968	0.785992	0.762559	0.356691	0.322015	0.85792	0.78127	2.20141	-0.539216	-3.72816	2.44322	2.77126	-3.03453	-2.75927	0.0896734	0.094891	0.782306	0.448406	1.48979	1.47208	1.96392	2.28466	-0.48	-2.1847	2.31093	1.68596	-3.05254	-2.18666	2.40925	-0.657715	-3.76204	1.55607	1.1868	-1.92079	-0.929845	1.55135	-0.348863	-5.19223	3.10885	3.13378	-2.99493	-0.599167	2.40037	-0.888286	-3.34154	1.96502	2.44976	-2.24584	-2.18754	-5.668947e+01	-3.390939e+02	-3.957834e+02
3000	0.671249	0.932495	0.999613	0.836553	0.481477	0.765189	0.501659	0.537037	0.52035	0.606214	0.970562	3.69882	-1.4047	-3.11135	0.59303	0.790174	-2.92364	0.116286	0.108811	0.105385	0.264486	0.174764	1.53402	0.826154	3.27907	3.04272	-1.35988	-2.57769	0.506273	2.71758	-2.46625	-1.72263	3.57375	-0.812911	-3.46667	0.944198	1.01361	-1.73211	0.437719	3.70969	-1.19027	-3.0472	1.03133	1.32795	-2.67403	-2.35823	3.73649	-0.941571	-3.89016	0.591458	2.13917	-1.68601	-0.497077	-5.152643e+01	-3.348614e+02	-3.863878e+02
3100	0.762255	0.78493	0.870837	1.06153	0.550573	0.95862	0.581671	0.441912	0.559146	0.908101	0.460928	2.79214	-1.14738	-4.46091	1.1968	2.95961	-2.79892	0.194004	0.0717493	0.256772	0.214696	0.217373	5.01249	2.1323	3.74566	2.6912	-1.35728	-4.73388	0.900079	2.68652	-2.33345	0.93791	3.22042	-0.62171	-4.65504	1.12554	1.36146	-2.2169	-0.341787	3.17291	-1.89207	-3.88796	1.26733	1.9069	-2.16425	-0.707143	3.06945	-2.06279	-4.69413	1.13732	2.79515	-1.43976	-4.5069	-5.677987e+01	-3.335580e+02	-3.903379e+02
3200	1.03486	1.09544	0.578101	0.693749	0.498999	0.82249	0.788636	0.294822	0.275362	0.844809	0.701639	2.92573	-1.06664	-4.70306	0.636869	0.900556	-3.51129	1.66049	0.115916	0.168711	0.0625643	0.13411	1.73408	3.27414	 1.17	2.86165	-0.275081	-4.61358	0.668634	1.29984	-2.72497	1.51944	2.48765	-0.585962	-4.58482	0.0844275	1.10626	-1.64652	2.10308	3.03843	-0.869268	-4.47832	0.566996	1.3343	-2.80532	1.66533	2.73354	-0.420561	-4.91237	0.907253	2.15607	-2.87221	0.690182	-4.276685e+01	-3.305736e+02	-3.733405e+02
3300	0.57415	0.898284	0.975585	1.04974	0.70373	0.918446	0.704777	0.314534	0.329135	0.536004	0.589549	3.1145	-0.285345	-4.80834	-0.790413	1.61372	-3.22084	1.64853	0.125293	0.215371	0.427713	0.139208	0.995315	3.17846	1.9967	3.26133	-0.691991	-4.98947	-0.728393	1.8388	-2.53296	2.34286	3.1256	-0.784371	-4.95787	-0.746966	1.95203	-1.01896	2.88727	3.34299	0.360037	-3.79943	-1.25211	1.82092	-4.4367	-0.213438	3.8898	0.0183753	-4.21292	-1.12185	2.16784	-3.09883	0.596357	-5.180734e+01	-3.328889e+02	-3.846962e+02
3400	0.778383	0.866615	0.893977	1.12139	0.477666	0.679611	0.70868	0.390405	0.311332	0.789041	0.506551	3.70444	-0.631844	-6.19954	-0.270899	2.35153	-2.50752	2.40916	0.0621585	0.170672	0.0730944	0.333371	1.36997	1.96413	3.19045	3.66961	-0.591221	-6.27379	-1.05271	1.3177	-3.10054	3.10937	3.53866	-0.578422	-6.05705	-0.434742	0.871264	-1.23328	2.62944	3.59535	-0.561097	-6.22579	0.119016	0.723961	-3.58209	1.24381	3.56436	-0.17312	-5.92513	-1.21839	2.08586	-2.00652	2.85948	-4.487283e+01	-3.342544e+02	-3.791272e+02
3500	0.812567	0.863435	0.767069	0.728038	0.568627	0.837364	0.759683	0.362456	0.361126	0.741206	0.864687	4.53411	-0.195644	-5.70876	-1.26914	-0.0988158	-4.10927	1.98128	0.132857	0.0949347	0.128739	0.0413996	1.10337	7.19758	3.04227	4.51213	-0.438637	-5.63914	-1.03035	0.0921082	-3.00696	2.69914	4.39217	-0.100359	-5.576	-1.21775	-0.501732	-2.01858	3.02779	4.49108	-0.258944	-5.54883	-1.01961	0.188204	-3.07853	3.78616	4.36035	-0.382928	-6.20396	-1.20389	0.879039	-2.24378	3.11605	-4.046568e+01	-3.274594e+02	-3.679251e+02
3600	0.857533	0.973739	0.786693	1.09643	0.545713	0.690886	0.667356	0.225852	0.264976	0.576031	0.453797	4.34746	-0.672517	-6.35555	-0.795124	0.275515	-3.29347	2.552	0.153741	0.0412035	0.222485	0.0842877	0.833573	2.47757	0.992832	4.2431	-0.449864	-6.48143	-0.574347	1.72129	-2.58865	2.76829	3.78643	-0.834811	-6.19421	-1.07469	0.779425	-1.50959	2.8799	4.14895	-0.487157	-6.20814	-1.15565	0.322702	-2.63912	3.56854	4.49485	-0.624187	-6.69367	-0.967698	1.52663	-2.56973	1.76268	-4.011706e+01	-3.349525e+02	-3.750695e+02
3700	0.88339	0.852628	0.5298	0.722952	0.501723	1.13043	0.424262	0.371212	0.415966	0.80959	0.331133	3.12559	-0.744832	-4.14602	-0.791809	0.713495	-3.96829	0.743568	0.104568	0.521924	0.279957	0.273356	1.77604	7.32356	1.93334	3.53032	-1.4085	-3.75583	-0.891812	0.463224	-2.07414	2.4171	3.23997	-0.615334	-3.35042	-1.14216	0.0380215	-1.5275	3.51511	3.39464	-1.73957	-4.18113	-0.702429	0.206509	-2.28556	1.18879	2.81519	-0.6822	-4.74529	-0.586822	2.26427	-1.80356	-0.802887	-5.812662e+01	-3.391158e+02	-3.972424e+02
3800	0.858925	1.02356	0.5815	0.976944	0.648252	0.717731	0.970995	0.472306	0.375944	0.818241	0.666345	3.63124	-0.918667	-4.60692	-1.96714	-0.016345	-0.741913	3.44143	0.127206	0.261314	0.0902909	0.213842	3.39621	2.29211	1.77769	3.54042	-1.452	-4.75896	-2.24417	0.657627	-1.89081	4.18623	3.40451	-0.877987	-4.68856	-1.90691	-0.0289108	-1.13636	3.91356	3.56281	-1.6193	-4.83073	-2.13209	0.337827	-1.58628	4.47348	4.33886	-0.469089	-4.29057	-2.90025	0.861657	-2.56399	3.9005	-4.996793e+01	-3.286980e+02	-3.786659e+02
