iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnC(1)	M_lnPKidTCAC(1)	M_lnPBrnTCAC(1)	M_lnPKidTCOHC(1)	M_lnPBrnTCOHC(1)	M_lnPKidTCOGC(1)	M_lnPBrnTCOGC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnC(1)	V_lnPKidTCAC(1)	V_lnPBrnTCAC(1)	V_lnPKidTCOHC(1)	V_lnPBrnTCOHC(1)	V_lnPKidTCOGC(1)	V_lnPBrnTCOGC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnC(1.1)	lnPKidTCAC(1.1)	lnPBrnTCAC(1.1)	lnPKidTCOHC(1.1)	lnPBrnTCOHC(1.1)	lnPKidTCOGC(1.1)	lnPBrnTCOGC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnC(1.2)	lnPKidTCAC(1.2)	lnPBrnTCAC(1.2)	lnPKidTCOHC(1.2)	lnPBrnTCOHC(1.2)	lnPKidTCOGC(1.2)	lnPBrnTCOGC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnC(1.3)	lnPKidTCAC(1.3)	lnPBrnTCAC(1.3)	lnPKidTCOHC(1.3)	lnPBrnTCOHC(1.3)	lnPKidTCOGC(1.3)	lnPBrnTCOGC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnC(1.4)	lnPKidTCAC(1.4)	lnPBrnTCAC(1.4)	lnPKidTCOHC(1.4)	lnPBrnTCOHC(1.4)	lnPKidTCOGC(1.4)	lnPBrnTCOGC(1.4)	LnPrior	LnData	LnPosterior
0	0.095125	0.216735	0.0263392	1.33599	0.0528275	2.07779	0.0392049	0.301274	0.486257	0.0176174	0.0459855	1.41489	2.21763	0.0107915	0.876507	0.943579	0.381594	0.386928	1.45934	0.0404554	0.295031	3.00993	0.115698	-0.270749	-0.733168	0.591644	0.380356	2.12589	4.16108	3.33746	3.77962	3.37353	0.200416	0.104815	0.0869065	0.0347481	0.168049	0.162562	0.0582865	0.115819	0.237876	2.08132	3.48552	3.85878	1.56924	-0.177741	-0.190924	-0.818937	0.860658	0.258733	1.64688	4.29946	2.88659	2.37542	4.49886	0.0352427	-0.16909	-0.722162	0.520433	0.759651	1.96373	3.88904	2.93047	3.21263	2.84471	-0.103007	-0.342709	-0.705254	0.35869	0.0548157	1.85197	4.26834	2.5598	3.77683	1.56541	0.157616	-0.51317	-0.68602	0.61375	0.0771185	1.66599	4.29148	-1.452151e+01	-3.617911e+04	-3.619363e+04
100	2.65701	1.34872	0.396083	2.25682	0.799876	1.62301	0.183392	1.31078	0.620967	1.40108	3.09663	1.06568	1.04835	0.646491	0.654132	0.594005	0.956094	0.770213	0.305332	0.503692	0.959353	0.477766	-0.621637	0.495102	0.0676859	0.434906	-0.113728	2.30651	-0.395204	-1.82384	2.43575	-0.578338	0.0454628	0.0872219	0.156555	0.0720141	0.0469199	0.111708	0.0567224	0.495589	0.0742876	1.75826	-1.94955	2.55671	-0.31466	-0.753856	0.594269	-0.344448	0.659094	0.0898729	2.67784	-0.155595	-1.36911	2.73484	-0.810821	-0.654796	0.851287	-0.236922	0.294824	-0.0789911	2.84098	-0.458534	-2.02061	2.54935	0.457522	-0.896447	0.595885	0.423517	0.504654	-0.214085	2.22863	-0.0523576	-1.96807	2.53493	0.182342	-0.590765	0.942289	-0.438309	0.381591	0.0150289	2.48509	-0.932004	-3.335004e+01	-3.174959e+02	-3.508459e+02
200	3.21176	1.80454	0.376875	1.18295	0.324319	0.559145	0.235722	2.96431	1.19274	1.74805	2.84603	0.998425	1.09565	0.537652	0.742818	0.617752	0.788842	0.858494	0.438513	0.370621	0.675874	0.901763	0.332943	0.526726	0.208579	-0.539441	0.000872614	1.43358	-0.713069	-1.46387	2.17889	-2.14986	0.110892	0.0264231	0.104669	0.0874677	0.197782	0.107854	0.0679011	0.623206	0.0592874	5.74998	-2.8912	2.3109	-4.28704	-0.255771	0.53243	-0.0118469	-0.205756	0.551541	1.89636	-0.726698	-1.37633	1.67998	0.0554303	1.12902	0.380886	0.268816	-0.645918	0.126055	1.18983	-0.777731	-2.53143	2.43561	-0.0270105	0.33557	0.671343	0.34902	-0.236897	0.22687	0.916109	-0.855829	-1.11116	1.90718	-4.16027	0.5334	0.401622	0.159437	-0.732714	-0.116216	1.4842	-0.658807	-4.621397e+01	-3.297025e+02	-3.759165e+02
300	2.89144	1.46998	0.313896	1.6421	0.425716	1.05406	0.456654	1.50215	0.639226	1.85527	3.17152	1.01538	1.06477	0.543378	0.583647	0.682658	0.84597	0.920144	0.257662	0.651688	1.20975	0.566267	-1.14625	0.770716	-0.719183	-0.0055826	0.0205198	1.54046	-1.87564	-1.81276	2.13118	-0.110207	0.169639	0.0814441	0.139358	0.0676133	0.0289294	0.0561856	0.0682847	0.282932	0.115891	0.885941	-1.98981	2.35943	0.0118919	-0.86515	0.562958	-0.518854	-0.0369574	0.232525	1.58679	-2.11773	-1.35175	1.54777	0.869988	-0.444486	0.94865	-0.885359	-0.081827	-0.0994314	1.2119	-2.01355	-1.98298	2.848	-0.327697	-0.888269	0.762884	-0.417643	-0.381557	0.301786	1.21796	-1.81734	-2.77735	1.65121	-0.645637	-0.765659	0.73653	-0.769293	-0.262322	-0.149963	1.43954	-1.40667	-3.927280e+01	-3.208222e+02	-3.600950e+02
400	2.11057	1.22816	0.970863	1.07485	0.303666	0.810832	0.0491999	2.26463	1.2859	2.41533	1.93676	1.07387	1.11909	0.723048	0.674184	0.535544	0.746722	0.690133	0.28771	0.533696	1.00081	0.577399	-0.59102	0.772521	-0.655822	0.104162	0.656682	1.35812	-4.17825	-2.03374	2.34508	-0.260002	0.030976	0.0468471	0.05175	0.0694758	0.096653	0.191291	0.10848	0.159461	0.190237	0.693525	-2.14553	3.23511	-1.29081	-0.975574	0.721144	-0.830953	0.185688	0.821287	1.90718	-4.14339	-1.34374	3.03231	-0.690802	-0.410496	0.73171	-0.567992	0.196864	0.868962	0.709026	-4.04169	-2.66942	2.27757	-1.42165	-0.283242	0.817207	-0.598318	0.0153652	0.867816	1.29767	-4.52696	-2.15454	2.01033	-0.835543	-0.502921	0.764816	-0.725753	0.226511	0.379638	1.91704	-3.7163	-3.686324e+01	-3.179035e+02	-3.547667e+02
500	2.86715	1.8798	0.351135	1.73847	1.19753	1.42051	0.399045	2.95818	0.721515	2.35551	2.67386	0.951395	1.24713	0.564408	0.767422	0.693388	0.867628	0.697754	0.257624	0.379909	0.70649	0.719253	-0.592787	0.830356	-0.585601	0.203208	0.620044	1.57779	-3.31641	-2.15365	3.14364	-0.718992	0.170153	0.235325	0.0806302	0.0560827	0.0752432	0.0956849	0.281401	0.105681	0.143044	2.40107	-2.17181	3.45085	-1.32424	-0.702018	0.608525	-0.620211	0.125491	0.874261	1.57216	-3.30284	-1.87858	2.93765	-1.40688	-0.54046	0.485474	-0.927491	-0.0687415	0.764714	1.21629	-2.36246	-2.42659	3.24567	-0.762133	-0.426762	0.811446	-0.850755	0.161665	0.896012	0.998942	-3.41786	-1.92019	3.72734	-3.32436	-1.1079	0.143465	-0.842139	0.306147	0.373342	1.77376	-3.42497	-4.531572e+01	-3.177613e+02	-3.630771e+02
600	3.14156	2.58405	0.282858	1.1954	0.592323	1.63768	0.183173	1.17215	0.642037	1.53927	3.03159	1.04101	1.15969	0.536463	0.606483	0.546292	0.691393	1.01967	0.411394	0.54239	0.716265	0.478407	-0.28738	0.970444	-0.226017	-0.403648	0.736338	1.57541	-4.5289	-2.34777	2.65022	-2.35853	0.140803	0.0789255	0.161058	0.200833	0.222918	0.422702	0.155473	0.458535	0.0914817	9.91949	-2.34212	3.13951	-0.867947	-0.498819	0.936916	-0.824558	-0.876475	0.438367	2.59592	-4.08265	-1.91362	2.52939	-1.13245	-0.269879	0.744399	-0.0921713	0.0120965	0.82879	0.901756	-4.27341	-3.06492	2.57506	-1.26025	-0.730856	0.732547	0.55268	0.350314	0.927815	0.737831	-4.16703	-1.81677	2.65313	-3.91316	-0.49594	0.974774	-0.476256	-0.631196	0.430605	1.84496	-4.56338	-5.865128e+01	-3.123570e+02	-3.710082e+02
700	3.12454	2.88442	0.541416	0.648149	0.62782	1.09207	0.166667	3.22115	1.11497	1.38583	2.89093	1.1484	1.01259	0.685101	0.70988	0.520177	0.739907	0.674993	0.477199	0.361036	0.817131	0.800607	-0.835574	0.922812	-0.392631	0.149692	0.486109	1.72757	-3.2307	-2.18727	1.82433	0.520211	0.0421669	0.0776183	0.61655	0.0930356	0.0726761	0.112566	0.545458	0.0888766	0.146366	1.22981	-2.24894	1.94962	-0.0724312	-1.02568	0.924951	-0.891407	0.290322	0.29461	1.96333	-3.52234	-1.81011	2.2711	-0.826462	-1.0319	0.711124	-0.651757	0.117939	0.74306	1.09086	-3.29036	-2.51503	1.4183	0.425648	-0.184051	0.909413	-0.0899107	0.165457	0.357213	1.42242	-2.92464	-1.909	1.86225	0.120338	-0.82471	0.653055	-0.801776	0.129422	0.253668	2.31367	-4.49366	-5.115464e+01	-3.125359e+02	-3.636906e+02
800	3.2717	2.14524	0.276175	1.50199	1.07259	1.69128	0.49898	1.12793	0.751542	2.24413	2.59031	0.956233	1.00677	0.673869	0.954404	0.855669	0.94343	0.817706	0.381335	0.590309	0.895602	0.745731	-0.85668	0.018136	-0.73659	0.247537	0.193978	2.34885	-3.5749	-2.34276	1.97637	0.3351	0.0642986	0.900518	0.270791	0.12246	0.0518275	0.126775	0.203343	0.114575	0.079109	1.1255	-2.31505	2.04572	-0.0650695	-0.582207	0.752334	-0.853794	0.864417	0.392888	2.96933	-3.99147	-2.29781	2.08962	-0.848144	-1.1236	0.547169	-0.837211	0.00235658	0.266135	2.17726	-3.56427	-1.92494	2.40841	0.0984516	-0.683388	0.819541	0.343857	0.22304	0.210442	2.74218	-3.43466	-1.74725	1.5591	0.52976	-0.556851	0.0942274	-0.810289	0.555617	-0.0525535	2.88668	-3.94972	-5.347600e+01	-3.253968e+02	-3.788728e+02
900	2.27183	1.5362	0.712516	2.47212	1.22572	2.27944	0.139064	2.13598	0.882456	2.7285	2.50854	0.924143	1.13513	0.583324	0.656071	0.519791	0.89967	0.481477	0.291712	0.382291	0.845436	0.607944	-0.225688	0.0516317	-0.0857592	-0.0653208	0.78195	2.13424	-4.05583	-1.64223	2.735	-0.632641	0.182591	0.0310143	0.0557854	0.0699238	0.0380935	0.0814375	0.417654	0.0862458	0.107905	2.4089	-1.8563	2.76927	-0.407326	-0.787662	-0.0419304	-0.283495	-0.131151	0.630469	2.33019	-3.76728	-1.71928	1.5504	0.736042	-0.333113	0.378564	-0.0919107	0.145761	0.969309	2.03901	-3.97934	-2.35682	2.6057	0.206733	-0.673864	0.0651205	0.483697	0.349339	0.661979	2.00181	-3.31321	-1.50529	3.38203	-0.675026	0.0772451	0.103669	-0.487156	-0.281336	0.543445	2.00567	-4.11516	-4.373579e+01	-3.279458e+02	-3.716816e+02
