iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnTCOGC(1)	M_lnPLivDCVGC(1)	M_lnPKidDCVGC(1)	M_lnPBrnDCVGC(1)	M_lnPBodDCVGC(1)	M_lnPLivDCVCC(1)	M_lnPKidDCVCC(1)	M_lnPBrnDCVCC(1)	M_lnPBodDCVCC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnTCOGC(1)	V_lnPLivDCVGC(1)	V_lnPKidDCVGC(1)	V_lnPBrnDCVGC(1)	V_lnPBodDCVGC(1)	V_lnPLivDCVCC(1)	V_lnPKidDCVCC(1)	V_lnPBrnDCVCC(1)	V_lnPBodDCVCC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnTCOGC(1.1)	lnPLivDCVGC(1.1)	lnPKidDCVGC(1.1)	lnPBrnDCVGC(1.1)	lnPBodDCVGC(1.1)	lnPLivDCVCC(1.1)	lnPKidDCVCC(1.1)	lnPBrnDCVCC(1.1)	lnPBodDCVCC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnTCOGC(1.2)	lnPLivDCVGC(1.2)	lnPKidDCVGC(1.2)	lnPBrnDCVGC(1.2)	lnPBodDCVGC(1.2)	lnPLivDCVCC(1.2)	lnPKidDCVCC(1.2)	lnPBrnDCVCC(1.2)	lnPBodDCVCC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnTCOGC(1.3)	lnPLivDCVGC(1.3)	lnPKidDCVGC(1.3)	lnPBrnDCVGC(1.3)	lnPBodDCVGC(1.3)	lnPLivDCVCC(1.3)	lnPKidDCVCC(1.3)	lnPBrnDCVCC(1.3)	lnPBodDCVCC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnTCOGC(1.4)	lnPLivDCVGC(1.4)	lnPKidDCVGC(1.4)	lnPBrnDCVGC(1.4)	lnPBodDCVGC(1.4)	lnPLivDCVCC(1.4)	lnPKidDCVCC(1.4)	lnPBrnDCVCC(1.4)	lnPBodDCVCC(1.4)	LnPrior	LnData	LnPosterior
1000	2.61544	1.01641	0.523973	0.721754	0.721019	1.13145	0.56653	2.16381	0.498403	1.77174	2.6935	0.281121	0.925406	0.576118	0.808478	0.489826	0.920189	0.0111289	0.372958	0.406819	0.963422	0.326103	-1.10926	0.864983	1.36051	0.414846	4.37347	-0.66072	0.119509	-0.229048	-2.15698	-1.0902	-0.700123	4.34627	0.0922851	0.0371566	0.207035	0.0791111	0.0608247	0.142729	0.177369	0.311497	0.107524	0.112401	0.071635	4.13735	-2.04905	-1.04342	2.92913	-1.36527	0.879516	1.75453	0.725191	4.33421	-0.654261	0.12084	0.496874	-2.24434	-0.880442	-0.666684	2.89834	-1.37644	0.74903	2.04456	0.987005	4.40935	-0.0728046	0.0316365	-1.61609	-2.56452	-1.03243	-0.817676	3.67523	-0.975044	0.813556	1.36401	0.250756	4.57695	-0.965524	0.521035	-0.447646	-1.75807	-0.695984	-1.08679	3.48692	-1.23499	0.892758	1.95128	0.621294	4.48618	-0.804452	-0.618966	0.789868	-1.9682	-5.189146e+01	-2.841109e+02	-3.360023e+02
1100	3.21651	2.82549	0.706919	1.51914	0.437821	1.14514	0.284593	1.58714	1.04395	3.29997	3.07176	0.249286	1.09808	0.677363	0.843382	0.533335	0.945393	0.0118473	0.315096	0.470941	1.08551	0.279079	-0.917357	0.907174	1.49504	0.309742	4.3618	-1.54633	-0.245227	-0.198589	-1.02767	-0.353243	-1.29824	1.82197	0.169738	0.0906851	0.120326	0.0513161	0.0497591	0.141189	0.263798	0.498808	0.490117	0.4194	0.143922	4.11156	-0.580775	-0.908766	2.77789	-1.09926	1.07347	1.81614	0.351017	4.1289	-1.70952	-1.05986	0.284483	-1.42775	-0.8158	-1.27636	3.59299	-1.21421	1.06637	1.78581	0.547795	4.36916	-0.733588	-0.390395	-1.60537	-1.6343	-0.942168	-1.32523	3.75227	-0.409348	0.932616	2.16981	0.597855	4.12336	-1.6337	-0.101366	-0.443816	-0.710103	0.808637	-0.518115	3.20115	-1.16449	0.820077	1.68391	0.12154	4.54332	-2.26604	-1.03911	0.661138	-1.02899	-7.239266e+01	-2.802218e+02	-3.526145e+02
1200	3.22968	2.79607	1.23204	0.931132	1.02211	3.08941	0.0786109	2.56195	1.04316	2.27836	2.6669	0.364393	1.11734	0.693851	0.566691	0.603512	0.651351	0.0113655	0.196052	0.417791	1.13778	0.344969	-0.408845	0.83475	1.93918	1.57348	4.58884	-1.65706	0.524899	-0.277195	-2.22894	0.0402708	0.142387	3.42356	0.587626	0.0810178	0.116088	0.0887103	0.110386	0.174971	0.0818422	0.692297	0.0592583	0.156286	0.0678702	2.47468	-0.466136	-0.162054	2.56893	-0.981833	0.914916	1.84926	1.63587	4.44579	-1.56182	0.0450686	0.372193	-1.88241	0.0711039	0.182886	2.34756	-0.525232	1.22132	1.74211	1.85077	3.83426	-1.31991	0.390458	-1.84313	-1.99187	-0.59961	0.0718411	3.02148	-1.36934	1.30059	2.11868	1.50724	4.58416	-1.17369	0.683793	-0.5447	-2.25048	-0.05976	0.196086	2.96397	-1.8038	1.06182	2.07926	1.45353	4.54253	-1.08548	0.0712435	0.457566	-1.76532	-5.950446e+01	-2.818443e+02	-3.413488e+02
1300	2.57006	3.12271	0.675007	1.28202	0.889767	0.844342	0.632015	2.42079	0.423685	2.09745	2.16098	0.277669	1.08004	0.812883	0.88461	0.495931	0.864535	0.0100487	0.195389	0.309659	0.787138	0.415418	-1.47752	1.0979	1.98891	2.73749	4.41332	-1.68546	-0.220552	-0.705665	-3.77302	0.281878	0.862137	1.38255	0.285532	0.0691605	0.46027	0.037838	0.0408382	0.189067	0.120238	0.401812	0.0613205	0.103983	0.152913	1.6441	0.0068852	0.728979	1.59367	-1.53245	1.25707	1.48584	2.71312	4.35781	-1.95238	0.0589965	0.297886	-3.53611	-0.176135	1.17549	0.213737	-2.13932	0.985677	1.66111	2.8647	4.29529	-1.62058	0.468459	-1.88601	-3.3999	-0.387659	0.44136	2.50891	-0.88781	1.11477	1.75811	2.66027	4.39892	-1.75614	-0.424498	-0.642644	-3.91572	0.267155	0.832035	1.54068	-1.89849	1.1712	2.01801	2.7161	4.31926	-1.78362	-0.447477	0.643013	-3.64572	-5.346959e+01	-2.819586e+02	-3.354281e+02
1400	3.29854	1.09215	0.462146	0.897961	0.914318	1.05266	0.192227	2.55211	0.985805	2.10082	2.43655	0.421522	0.975898	0.669164	0.741131	0.681942	0.767601	0.0113678	0.551243	0.592734	0.614396	0.771475	-1.316	1.06707	2.43455	1.63104	4.16973	-2.22809	-0.440861	-0.574236	-3.80867	0.703155	1.7397	0.50995	0.288995	0.0797582	0.117826	0.131671	0.0530716	0.0464242	0.0564706	0.311351	0.238591	0.295168	0.545689	1.9868	-0.274678	1.92045	-0.386108	-1.87986	1.4783	2.35435	1.73886	4.30938	-2.02239	-0.347716	0.245617	-4.11886	0.836957	0.67351	1.08025	-1.18385	1.54582	2.69503	2.23936	4.39139	-2.3519	-0.736478	-1.86515	-3.93505	0.0468885	2.37331	0.593418	-0.987097	1.17455	2.4833	1.0223	4.33733	-2.17169	-0.715394	-0.52635	-3.88507	0.996763	2.14739	-0.996865	-1.07285	1.25891	2.3883	1.29429	4.25121	-2.67325	-0.638402	0.56362	-3.84317	-6.435590e+01	-2.808050e+02	-3.451609e+02
1500	3.19371	2.50112	0.399475	1.49227	0.598112	1.02635	0.226807	2.03045	0.633346	2.49877	3.09311	0.421232	1.00662	0.844628	0.665342	0.533721	0.9301	0.0119543	0.270494	0.309781	0.727934	0.915235	-0.735381	1.18714	1.16302	1.71476	4.53933	-2.67906	0.454846	0.0257237	-4.26024	-0.0370544	3.09659	-3.1716	0.11027	0.0521697	0.210961	0.10219	0.293582	0.137434	0.0605148	0.947198	0.0954798	0.226039	0.375425	2.00107	0.289529	3.36581	-1.79473	-0.528325	1.28022	1.08668	1.6858	3.17564	-2.78203	0.604307	0.263363	-4.01436	0.487333	2.50032	-0.740924	-0.379178	1.13046	1.56874	1.33586	4.1418	-2.06334	0.214702	-1.88857	-3.88864	-0.443947	3.34548	-2.99363	-1.18174	1.45864	1.27144	1.8671	4.53199	-2.65264	0.726381	-0.677697	-3.97196	0.292009	2.95145	-4.40815	-0.92032	1.07671	0.885628	1.58474	4.51909	-2.06456	0.591804	0.60863	-4.36274	-6.166874e+01	-2.760179e+02	-3.376866e+02
1600	3.02128	1.75073	0.676437	1.09185	0.976073	1.19293	0.285917	1.85229	1.62412	2.87704	2.6642	0.381446	1.04388	0.721352	0.735796	0.483803	0.839183	0.0112516	0.232264	0.430533	0.731767	0.262125	-0.4331	0.913001	2.09138	2.09102	4.54313	-1.70745	-0.427171	0.227423	-2.52507	-0.0589384	1.5226	1.18823	0.497809	0.0673743	0.0888522	0.0463401	0.0558483	0.180829	0.0330038	0.531961	0.0573144	0.549142	0.115692	1.46545	-0.404519	1.69099	0.3878	-1.42015	0.919055	2.45502	2.24257	4.5107	-1.71987	-0.24657	0.282427	-2.75643	0.126009	1.23633	1.02605	-0.0940899	1.1941	2.75912	2.11513	4.53848	-1.28088	-0.518082	-1.72368	-2.63285	-1.37439	1.34812	-0.74954	-0.0224926	0.726593	1.89488	1.96053	4.4765	-1.56446	-0.621292	-0.541021	-2.15208	-0.515159	1.51072	-0.248558	-1.79471	0.548982	2.07649	2.13766	4.39784	-1.65628	-0.623293	0.544726	-2.47502	-5.672524e+01	-2.769202e+02	-3.336454e+02
1700	3.25682	2.98731	0.47125	1.16247	1.05816	1.02565	0.113295	2.70708	0.548031	3.23864	3.2012	0.473633	0.962162	0.735479	0.62685	0.486906	0.725575	0.0100544	0.364595	0.358838	0.858791	0.629272	-1.51078	1.29281	2.07247	1.71917	4.41069	-0.225335	0.188857	-0.659706	-2.30449	-1.07996	1.07024	0.847165	0.392879	0.110117	0.0295802	0.195253	0.380718	0.0539581	0.595379	0.663213	0.0925836	0.117028	0.102814	1.07991	-1.33057	0.818627	1.5955	-2.19115	1.10762	2.20737	1.86423	4.23293	-0.414999	-0.406242	0.445455	-2.44502	-1.58604	1.06045	0.127517	-0.81587	1.42662	2.22105	1.97766	4.39882	-0.260701	-0.5259	-1.90365	-2.55516	-1.18224	0.997802	1.84822	-0.622968	0.817635	2.11082	2.18782	4.53661	-0.498134	0.373525	-0.413908	-2.38436	-1.19599	1.05236	0.172981	-1.35325	1.20604	2.28109	2.02142	4.42897	-0.179222	-0.133335	0.508146	-2.46011	-6.091267e+01	-2.765256e+02	-3.374383e+02
1800	3.09843	2.93734	1.10083	0.429445	0.443794	1.04217	0.221754	3.12897	0.569119	2.28455	2.43082	0.401018	0.856968	0.941615	0.743894	0.588647	0.750464	0.0158066	0.262257	0.240756	0.97363	0.402073	-1.50878	0.984982	1.67239	2.03853	4.57711	-0.128768	-0.130338	-0.219167	-3.35208	-0.688057	1.96714	0.98063	0.0682993	0.0677386	0.0738882	0.290715	0.130991	0.312122	0.0768696	0.438046	0.115869	0.810593	0.185693	0.923394	-0.737711	1.86594	0.407235	-1.32827	0.701238	1.33891	1.32735	4.54191	-1.32385	0.114993	0.444603	-3.67835	-0.813744	1.96896	0.662004	-1.13122	0.810612	1.73606	2.42204	4.424	-0.0408149	-0.495404	-1.84268	-3.09395	-0.821322	1.32767	1.43035	-0.980661	1.02142	1.7826	2.33966	4.36459	-1.4657	-0.464072	-0.583053	-2.88451	0.878604	1.62014	0.959961	-1.59504	0.720552	1.32834	1.86126	4.56862	-1.39935	-0.555874	0.55986	-3.55521	-6.863883e+01	-2.830161e+02	-3.516549e+02
1900	2.09673	2.67384	0.308364	1.22226	0.825213	2.29014	0.296229	2.03963	1.72297	2.79449	2.56624	0.326862	1.01791	0.694696	0.810604	0.699452	0.882826	0.0126267	0.293936	0.391029	0.745355	0.371503	-2.98602	1.10204	1.15581	0.405684	4.00272	-0.335179	0.740596	-0.546682	-3.51292	-1.69254	2.77234	-3.22667	0.0803352	0.0994841	0.0957551	0.226539	0.053821	0.045557	0.112983	0.339562	0.171176	0.337944	0.0881587	1.27946	-2.21871	3.01972	-1.42673	-3.06859	1.2957	1.2619	0.959101	3.57071	-0.568122	0.388351	0.290616	-3.55148	-1.11557	2.60755	-0.907567	-2.95804	1.00493	1.19814	0.587407	4.03493	-0.670604	1.20213	-1.89439	-3.76997	-2.70383	3.15162	-2.93099	-2.78818	1.19346	1.52014	0.0345904	4.12262	-0.501255	0.120252	-0.617028	-4.11188	-1.0645	3.06506	-2.029	-3.12748	0.809336	0.949416	1.01108	3.81148	-0.25085	1.02105	0.636208	-3.88137	-6.023010e+01	-2.911604e+02	-3.513905e+02
