iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1.1)	lnkDCVCC(1.1.1)	lnkElimDCVCC(1.1.1)	lnkElimNDCVCC(1.1.1)	lnISkDCVG(1.1.1.1)	lnISkDCVC(1.1.1.1)	lnISkNDCVC(1.1.1.1)	lnISkDCVG(1.1.1.2)	lnISkDCVC(1.1.1.2)	lnISkNDCVC(1.1.1.2)	lnISkDCVG(1.1.1.3)	lnISkDCVC(1.1.1.3)	lnISkNDCVC(1.1.1.3)	lnISkDCVG(1.1.1.4)	lnISkDCVC(1.1.1.4)	lnISkNDCVC(1.1.1.4)	lnISkDCVG(1.1.1.5)	lnISkDCVC(1.1.1.5)	lnISkNDCVC(1.1.1.5)	lnISkDCVG(1.1.1.6)	lnISkDCVC(1.1.1.6)	lnISkNDCVC(1.1.1.6)	lnISkDCVG(1.1.1.7)	lnISkDCVC(1.1.1.7)	lnISkNDCVC(1.1.1.7)	lnISkDCVG(1.1.1.8)	lnISkDCVC(1.1.1.8)	lnISkNDCVC(1.1.1.8)	LnPrior	LnData	LnPosterior
500	1.48344	1.5395	1.51454	1.58304	0.454206	0.574783	0.652563	0.516216	0.475908	0.793323	1.13888	-7.22305	-4.52798	-2.78225	-0.849903	1.5989	4.3213	0.108072	0.112006	0.250204	0.0992758	0.0583761	0.579336	0.783462	1.91241	-6.67283	-4.74695	-2.61639	-0.841154	0.938766	3.68146	-0.907283	0.703605	4.03644	0.883637	1.90558	4.22924	2.80887	1.49102	4.27708	-0.760379	0.42986	3.32244	-0.498137	1.45787	4.18364	0.164406	2.04562	4.07512	-1.24858	1.08398	4.36812	0.916023	-5.484828e+001	-7.486449e+002	-8.034931e+002
550	1.49035	1.57271	1.58266	1.45726	0.331018	0.67221	0.70207	0.467784	0.575898	0.743327	0.943191	-7.23174	-4.5763	-2.34314	-2.8695	1.05436	4.48843	-0.439877	0.317979	0.0863406	0.223405	0.210291	1.72531	2.0296	16.7501	-6.75213	-4.48345	-2.5988	-3.26799	0.946098	3.18017	-4.4799	0.749826	4.33633	-0.0842057	1.39669	3.68303	-3.21163	1.82195	4.08922	-2.1398	0.586222	3.4111	0.0582802	0.604495	3.40861	1.94892	1.7766	3.9256	-1.41005	0.208548	3.61914	-0.658394	-6.762711e+001	-7.577371e+002	-8.253642e+002
600	1.47787	1.53672	1.40341	1.50151	0.222331	0.675079	0.66938	0.463926	0.582317	0.908075	1.14745	-5.70326	-4.8009	-2.4792	-2.46648	1.24563	4.23639	3.19285	0.217421	0.105544	0.0651045	0.05799	1.25224	1.27622	5.55002	-6.17479	-4.69579	-2.3286	-2.34052	1.04583	3.80907	2.6727	0.471736	3.8448	1.14418	1.17999	3.57227	3.00258	0.200072	3.00364	2.5878	1.09843	3.695	4.43125	1.11021	3.80903	3.54623	1.76093	4.14387	-3.05115	0.905861	4.29322	1.58914	-5.812858e+001	-7.518758e+002	-8.100044e+002
650	1.569	1.59691	1.43814	1.47574	0.499115	0.577189	0.041179	0.748372	0.603441	0.755583	1.00832	-5.52436	-5.40737	-1.35906	-2.29307	1.03476	4.56288	3.54225	0.0789707	0.437539	0.0838109	0.492053	0.928544	0.838432	0.872963	-5.56709	-5.08486	-1.60827	-2.60369	0.970602	3.50611	3.46335	1.16627	4.34731	2.93073	1.48675	4.26159	3.96213	0.867739	3.9711	1.98076	0.767267	3.65792	4.28743	1.7505	4.5614	4.36631	2.98526	4.5509	3.60917	0.882717	3.87037	1.81657	-5.265568e+001	-7.403859e+002	-7.930416e+002
700	1.52861	1.50582	1.49986	1.41138	0.678456	0.652157	0.0126828	0.443127	0.515757	0.743453	1.11501	-5.27036	-4.98131	-1.17142	-3.7002	1.51026	3.98556	3.86545	0.238587	0.0700394	0.354926	0.100288	1.09876	2.0003	3.15398	-5.57812	-5.39446	-1.66958	-3.75965	1.19947	3.67374	1.52759	1.59294	3.56594	4.14851	1.86801	4.47735	4.02438	1.14553	4.39594	3.99646	0.635578	3.66592	0.717378	1.35112	4.34398	3.71926	2.94211	4.51792	-1.34369	0.867052	3.88874	3.39824	-5.845249e+001	-7.363390e+002	-7.947914e+002
750	1.57396	1.5301	1.42192	1.60071	0.771622	0.628841	0.0126828	0.430549	0.468267	0.823799	1.05423	-5.53965	-4.65045	-1.04947	-3.73178	1.79165	4.38819	3.2499	0.0847688	0.354198	0.114069	0.316506	1.33577	0.939658	2.53682	-5.36891	-5.30437	-1.55722	-3.29546	1.00576	3.56943	2.55407	0.842548	4.39718	3.65444	1.63966	4.35525	1.91831	0.564047	3.88505	2.46352	0.641459	3.5885	3.59589	1.17819	4.36207	2.9045	2.80804	4.44289	-0.761473	0.836983	3.8405	1.9795	-5.590344e+001	-7.306438e+002	-7.865472e+002
800	1.47738	1.52193	1.42715	1.627	0.616165	0.735972	0.0126747	0.727986	0.492462	0.769995	1.32453	-5.50516	-5.85912	-1.30787	-5.38281	0.489475	4.55193	-3.8296	0.159569	0.182607	0.107891	0.0763015	2.14006	0.84911	4.56794	-5.38436	-5.28438	-1.54248	-5.09997	1.03964	3.54104	-3.79288	0.889467	4.19821	-2.34689	1.51261	4.24589	-2.55555	0.552267	3.96845	-3.24012	0.11741	3.41346	-4.36159	1.18853	4.33797	-1.44266	2.86372	4.44289	-0.54766	0.788763	3.98608	-2.52491	-5.388619e+001	-7.405029e+002	-7.943891e+002
850	1.60306	1.57222	1.41913	1.47403	0.764945	0.707789	0.0126747	0.439136	0.579837	0.855992	1.15635	-5.2654	-5.59517	-1.90578	-7.15896	1.22989	4.30379	0.83035	0.17184	0.0660619	0.113631	0.177998	2.2028	1.58792	4.28114	-5.30028	-5.51748	-1.57532	-7.00992	0.980747	3.57922	-0.426642	1.52232	4.26445	0.307392	1.85723	4.59828	-1.26202	0.244779	3.82466	2.1744	0.0963771	3.35845	3.7901	1.38629	4.52405	-0.852216	2.69376	4.40658	0.612359	1.06649	4.08065	2.10987	-5.650107e+001	-7.330171e+002	-7.895182e+002
900	1.54378	1.58528	1.49103	1.56019	0.824626	0.603942	0.0126747	0.719384	0.465319	0.842304	1.1256	-5.45625	-5.49355	-2.03953	-7.69072	1.2512	3.99571	1.71452	0.148053	0.164655	0.0825986	0.194156	0.912355	0.903572	2.35948	-5.4166	-5.1199	-1.64815	-7.2023	1.10178	3.68017	2.78381	0.652227	4.18659	0.696626	1.57243	4.40415	2.68553	0.12003	3.67472	0.866953	0.130615	3.4386	0.125884	0.853186	4.16634	0.612399	2.80677	4.50986	0.651242	0.892731	4.00579	1.15979	-5.350358e+001	-7.352284e+002	-7.887319e+002
950	1.47927	1.66253	1.52702	1.53444	0.705134	0.697375	0.0113254	0.328216	0.708023	0.831822	1.36561	-6.14352	-5.68638	-1.51042	-7.93775	1.02501	4.46209	1.4399	0.199582	0.143045	0.193251	0.193215	1.0781	1.74947	20.952	-5.26699	-5.58269	-1.59417	-7.34827	0.925627	3.54915	1.14916	1.05523	4.17392	-0.677465	1.52572	4.36305	2.61986	0.096353	3.70643	-3.05846	0.201164	3.46184	-0.22974	1.24341	4.58969	4.20645	2.67757	4.50986	4.0047	1.44085	4.19245	4.15023	-6.491212e+001	-7.404257e+002	-8.053379e+002
1000	1.5265	1.5668	1.54452	1.6086	0.556533	0.680649	0.0113254	0.633375	0.637526	0.815917	1.2131	-5.01357	-5.28692	-1.37818	-5.921	1.20268	3.83886	2.40106	0.0791182	0.120551	0.137764	0.0868199	1.19509	0.943964	1.20191	-5.25144	-5.26503	-1.46105	-6.02152	1.29956	3.70266	2.68265	1.11453	4.30163	4.14329	1.26097	4.11219	3.75037	0.353519	3.75226	1.39557	0.301938	3.43572	3.10737	1.75406	4.53664	2.6649	2.93266	4.43203	2.51806	1.83685	4.34577	1.86338	-4.893942e+001	-7.324194e+002	-7.813588e+002
1050	1.50078	1.56138	1.50859	1.47122	0.788703	0.598913	0.0113254	0.653012	0.502415	1.08042	1.08471	-5.08476	-6.89058	-2.73678	-7.29398	1.29593	4.26786	3.68808	0.0887518	0.195031	0.635308	0.0876329	1.50975	2.31655	1.01726	-5.23094	-5.84568	-1.48979	-7.08883	1.25772	3.71012	2.18061	1.26375	4.47757	1.82959	2.16869	4.55152	2.99153	-0.721937	3.26583	4.40936	0.550519	3.57722	4.1401	0.986556	4.29091	3.57256	2.98316	4.56734	3.98919	1.72751	4.34469	3.57439	-5.853758e+001	-7.372429e+002	-7.957805e+002
1100	1.60778	1.51478	1.53909	1.52106	0.733277	0.638645	0.0113254	0.496052	0.548487	0.85559	1.28171	-5.35221	-5.61925	-0.992515	-8.796	1.38332	4.48276	2.68973	0.142604	0.155653	0.234222	0.0941619	0.714749	3.88083	1.01726	-5.10718	-5.6808	-1.49971	-8.76261	0.78836	3.45483	1.77934	0.687145	4.31683	3.69564	1.78596	4.48196	3.37449	-0.760445	3.18526	2.00436	0.693876	3.87171	2.86024	1.76704	4.525	2.74252	2.72768	4.48182	3.78572	1.59261	4.3937	3.48346	-5.503511e+001	-7.378995e+002	-7.929346e+002
1150	1.43303	1.53295	1.50789	1.51686	0.764784	0.681114	0.0113254	0.5167	0.512539	0.846971	1.29679	-4.76012	-5.59765	-0.119925	-7.06083	1.07655	4.46439	3.08278	0.182763	0.295568	2.47787	0.296726	5.63691	1.87487	3.17804	-5.09711	-5.65835	-1.57631	-7.10871	0.502078	3.41636	2.02632	1.0609	4.12733	0.141904	1.32799	4.32779	-1.31888	-0.775424	3.23244	1.52385	0.441013	3.70112	0.780268	1.19827	4.50193	2.26212	2.48718	4.41852	4.05801	1.40966	4.38296	1.6976	-7.408061e+001	-7.346165e+002	-8.086971e+002
