iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnC(1)	M_lnPKidTCAC(1)	M_lnPBrnTCAC(1)	M_lnPKidTCOHC(1)	M_lnPBrnTCOHC(1)	M_lnPKidTCOGC(1)	M_lnPBrnTCOGC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnC(1)	V_lnPKidTCAC(1)	V_lnPBrnTCAC(1)	V_lnPKidTCOHC(1)	V_lnPBrnTCOHC(1)	V_lnPKidTCOGC(1)	V_lnPBrnTCOGC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnC(1.1)	lnPKidTCAC(1.1)	lnPBrnTCAC(1.1)	lnPKidTCOHC(1.1)	lnPBrnTCOHC(1.1)	lnPKidTCOGC(1.1)	lnPBrnTCOGC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnC(1.2)	lnPKidTCAC(1.2)	lnPBrnTCAC(1.2)	lnPKidTCOHC(1.2)	lnPBrnTCOHC(1.2)	lnPKidTCOGC(1.2)	lnPBrnTCOGC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnC(1.3)	lnPKidTCAC(1.3)	lnPBrnTCAC(1.3)	lnPKidTCOHC(1.3)	lnPBrnTCOHC(1.3)	lnPKidTCOGC(1.3)	lnPBrnTCOGC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnC(1.4)	lnPKidTCAC(1.4)	lnPBrnTCAC(1.4)	lnPKidTCOHC(1.4)	lnPBrnTCOHC(1.4)	lnPKidTCOGC(1.4)	lnPBrnTCOGC(1.4)	LnPrior	LnData	LnPosterior
1000	2.26957	1.20594	0.90852	0.686746	1.15041	0.862262	0.154337	2.71268	0.710595	2.76304	3.03902	1.09795	1.04602	0.565096	0.983321	0.501341	0.890301	0.682268	0.505661	0.480805	1.08211	0.73405	-0.0739425	0.916128	-0.870001	0.0890901	0.151644	2.31419	-0.228298	-1.9264	0.093602	2.76666	0.102848	0.160779	0.058404	0.058042	0.0918531	0.283005	0.197521	0.254427	0.144383	5.5296	-2.17258	-0.0549046	2.35562	-0.60318	0.894942	-0.72849	0.640438	0.445422	2.67458	-0.569431	-2.16027	0.516036	-0.0791249	-0.079122	0.860522	-0.614277	0.216113	0.181615	2.29926	-0.163313	-2.47067	0.0722348	2.62164	0.167679	0.609921	-0.816319	0.344976	0.139901	0.98738	-0.132382	-1.91197	0.046291	1.9471	-0.240398	0.953442	-0.616577	-0.170968	-0.344779	2.61598	-0.890435	-4.929336e+01	-3.224361e+02	-3.717295e+02
1100	2.88494	2.88844	0.450966	0.978531	0.74857	0.914599	0.123734	1.85423	0.509382	3.1037	3.21461	1.02129	0.97563	0.663333	0.57779	0.523202	0.92326	1.02554	0.443595	0.528172	0.769875	0.543855	-0.184974	0.272404	-0.448423	0.0518076	0.156974	1.65801	-1.66634	-1.93887	0.14908	0.170613	0.132807	0.247829	0.0361051	0.215769	0.0669074	0.473538	0.101	0.303894	0.388728	2.55868	-2.2778	0.671179	1.51384	-0.0648331	0.679921	-0.20286	-0.169461	0.342953	2.22756	-1.77527	-1.66721	-1.30361	2.63279	-1.02332	-0.00508344	-0.539955	0.514305	0.364043	0.60377	-2.0475	-2.9249	-0.172527	2.1981	-0.0264043	-0.389273	-0.394893	0.0628405	0.424768	3.02231	-1.73005	-1.37748	0.0609772	-1.17995	-0.268005	0.683406	-0.661657	0.205717	0.00965913	2.63993	-1.64773	-5.906482e+01	-3.208199e+02	-3.798847e+02
1200	2.61242	1.89288	0.369392	0.760431	1.08307	1.19689	0.19829	1.77669	0.967087	1.8396	2.84792	0.987668	1.09148	0.657386	0.686381	0.567866	1.1129	0.81873	0.433296	0.476948	0.71203	0.678283	-0.657661	0.718873	-0.592472	0.501691	0.374504	2.68928	-1.07604	-2.02612	-1.89835	3.45449	0.0552187	0.0280083	0.0853437	0.158902	0.0335929	0.603756	0.416578	0.0658065	1.86837	3.28009	-2.09741	1.08262	0.904683	-0.556377	0.711894	-0.825942	0.00647753	0.674477	3.38323	-1.14063	-2.14719	-2.09792	3.23674	-0.724249	0.763498	-0.6228	0.948678	0.219929	2.25443	-1.12373	-2.04353	-0.324018	2.89966	-0.869437	0.75376	-0.378787	0.555772	-0.0851523	1.88805	-0.452021	-1.57674	-0.543245	2.01874	-0.513666	0.676189	-0.51679	0.7024	0.0634863	2.843	-1.8509	-6.080764e+01	-3.163182e+02	-3.771258e+02
1300	3.10514	2.75594	0.398547	1.03005	0.284109	0.88555	0.144775	1.70649	1.18245	2.82501	2.75472	1.01653	1.18933	0.666382	0.739932	0.585066	0.706987	0.625472	0.393136	0.47744	0.790212	0.539103	0.0162251	0.309745	-0.943685	-0.442491	0.5871	1.48236	-1.58497	-1.72548	0.0749994	1.71935	0.136161	0.0655361	0.0380963	0.149289	0.0693796	0.17517	0.129519	0.823945	0.604338	2.94319	-2.80168	-0.864144	2.42262	0.313119	0.468401	-0.960322	-0.0929153	0.33872	1.73472	-1.38289	-1.9694	-0.256995	1.75127	0.336963	0.650508	-0.981347	-0.232678	0.957936	0.658873	-1.89751	-2.42877	0.937726	1.2283	-0.446441	0.230549	-0.86024	-0.0642882	0.613505	0.985866	-1.91934	-0.427896	1.06174	1.15857	-0.827333	0.525991	-0.918944	-0.52279	-0.149038	2.08515	-2.09949	-5.889763e+01	-3.109756e+02	-3.698732e+02
1400	2.59989	1.33732	0.630976	3.09901	2.35759	1.49862	0.0862658	2.27987	0.408665	2.52387	2.14397	1.04146	1.00581	0.689505	0.665979	0.55638	0.838956	0.66608	0.445225	0.567217	0.725335	0.987355	0.0794034	0.786506	-0.230304	-0.446557	0.430189	1.71733	-2.42472	-2.51573	0.00781646	0.930222	0.0669562	0.0477774	0.0494577	0.0694437	0.0653546	0.0389559	0.0586535	0.112883	0.308894	3.32058	-2.33005	0.694916	0.964571	0.0722776	0.79882	-0.737001	-0.486136	0.427242	2.33538	-2.34724	-2.25537	-0.448139	1.45113	0.132743	0.382414	-0.219876	-0.375971	0.9017	1.79017	-2.5988	-2.84461	0.0639159	-0.342505	-0.211736	0.824634	-0.251584	-0.568165	0.900215	2.00192	-2.56876	-1.68162	-0.38503	0.593496	-0.232635	0.767078	-0.283043	-0.362139	-0.0189486	2.11683	-2.46187	-4.114112e+01	-3.238738e+02	-3.650149e+02
1500	3.22198	1.35173	0.709806	2.0742	0.471948	0.899901	0.208443	0.834657	0.693242	1.54888	2.9586	1.13183	1.02357	0.667976	0.616894	0.708604	0.808337	0.639973	0.560181	0.49964	0.841472	0.763749	-0.22538	0.272301	-0.834008	0.0719049	0.164877	1.25773	-2.06398	-1.72961	1.73601	1.36509	0.0746558	0.0593431	0.131493	0.0707949	0.273338	0.353811	0.30197	0.465164	0.0843133	2.98017	-2.92385	1.47592	-1.57527	-0.512464	0.656644	-0.622883	-0.0225677	0.0341765	2.32242	-1.34209	-1.86718	2.04974	-0.119915	-0.512806	0.58832	-0.520193	0.473347	0.52398	1.65477	-0.902938	-0.809741	1.47163	1.92313	-0.0315322	0.259477	-0.909209	-0.100888	0.0249819	0.606779	-0.678775	-1.57759	1.84015	-0.869933	-0.26783	0.174212	-0.83878	0.340394	0.370959	1.83367	-2.60108	-5.873527e+01	-3.181917e+02	-3.769270e+02
1600	3.13987	3.00584	0.949246	2.2569	0.539873	0.894352	0.26056	2.79724	0.585397	2.17983	3.06578	0.960049	1.09785	0.695796	0.719411	0.63881	0.815092	0.938925	0.623091	0.563457	0.792091	0.605222	-0.593045	0.618436	-0.462558	-0.197627	0.230017	2.42389	-0.321867	-2.28728	4.38841	-3.66792	0.0905957	0.0498118	0.211316	0.185976	0.114109	0.55002	0.416237	0.504003	0.215464	2.42192	-3.07144	4.47191	-3.11151	-0.975191	0.95587	-0.77501	-0.489977	-0.0396991	2.91215	0.101393	-2.56917	4.22584	-3.95855	-0.00936017	0.882606	-0.9551	0.0552347	0.0518992	1.19325	-0.232598	-3.6219	4.55999	-3.08733	-0.657096	0.490444	0.289976	-0.873399	0.493679	1.88942	0.145176	-1.14346	4.23068	-1.68742	-0.208308	0.583757	-0.383027	-0.110151	0.189803	2.52034	-0.773339	-6.358582e+01	-3.183136e+02	-3.818994e+02
1700	3.1551	1.93976	0.26763	1.20927	0.907522	1.77609	0.177969	1.56127	0.418789	2.48924	3.19451	1.05944	0.991505	0.652433	0.841334	0.45871	0.79836	1.01971	0.401329	0.591962	1.05003	0.430512	-0.709249	0.291549	-0.66623	0.168383	0.0916425	2.74437	-1.02446	-1.79495	4.08566	-1.89611	0.110336	0.0480624	0.0489857	0.472664	0.0474062	0.272568	0.295604	0.094462	0.176115	1.69458	-2.21062	4.06494	-2.07601	-0.584162	0.157164	-0.726121	-0.0649107	0.138727	3.21209	-0.855853	-1.48132	4.28214	-2.12363	-0.689106	-0.0172408	-0.917573	-0.173446	0.310378	2.95762	-0.195128	-1.91191	4.33328	-1.40344	-0.861211	0.263348	-0.469932	-0.402442	0.171724	1.95714	-0.173979	-1.75856	3.13262	-4.07909	-0.585637	-0.0520648	-0.23926	0.142396	-0.119454	3.37121	-2.02647	-4.848341e+01	-3.164743e+02	-3.649577e+02
1800	3.04048	1.2491	1.05681	2.02535	0.607015	1.09702	0.463153	1.17792	0.768121	1.62725	2.515	1.01824	1.05408	0.679533	0.861116	0.693391	0.836492	0.866507	0.694314	0.343917	0.925366	0.727856	-0.285034	0.436065	-0.474687	-0.172102	-0.00520267	2.12173	-0.641399	-2.18306	3.94891	-2.29972	0.0737169	0.0438993	0.085505	0.108697	0.0526906	0.0760436	0.0482431	0.14648	0.316995	3.15234	-2.90471	3.81826	-3.56664	0.210259	0.402092	-0.419112	-0.404003	0.146944	2.91082	-0.508515	-1.5668	3.55568	-1.78242	-0.329449	0.531032	-0.717432	-0.372734	0.00984538	1.83398	-0.68926	-2.51459	4.34215	-1.2969	-0.597085	0.648008	0.3061	-0.766035	-0.193396	1.78925	-0.69137	-2.18987	3.87717	-2.44421	-0.705441	0.654399	-0.860072	0.0881132	-0.219095	2.13952	-0.329085	-4.185044e+01	-3.235225e+02	-3.653729e+02
1900	2.67573	1.8936	0.593771	0.880762	0.260045	0.870322	0.520439	1.52151	1.36597	1.43507	3.23354	1.14929	1.10967	0.680344	0.695698	0.528428	0.860057	0.705646	0.45572	0.369617	0.914094	0.484187	-0.485115	0.738165	-0.448695	-0.756093	-0.158713	0.781895	-0.831165	-2.05018	4.56136	-3.1966	0.0360862	0.0231163	0.0517217	0.0243067	0.0939442	0.311328	0.048084	0.114074	0.430699	3.43466	-2.14191	4.53573	-2.03466	-0.551092	0.574345	-0.620435	-0.752394	-0.440534	1.73353	-0.713721	-1.76184	4.40079	-2.77153	-0.641026	0.787385	-0.296224	-0.654919	-0.351022	0.587112	-0.351948	-2.28411	4.25652	-1.70046	-0.51658	0.898379	-0.692057	-0.781333	-0.66482	0.870955	-0.668153	-2.07975	4.07425	-2.27783	-0.77339	0.812016	-0.264147	-0.782113	-0.413223	1.61498	-0.951664	-3.322603e+01	-3.199698e+02	-3.531959e+02
