iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
0	1.15787	0.0119444	2.47586	0.0419655	1.08717	0.0967138	0.226037	2.5853	0.330913	0.374908	0.101524	-6.37824	-8.50833	1.28862	1.80032	0.0858373	1.26846	-6.31219	-8.67732	1.93616	-7.51199	-8.74682	2.05766	-6.80925	-8.24823	-2.75755	-5.44103	-8.35456	1.63743	-2.620711e+001	-2.266815e+004	-2.269435e+004
50	1.07973	1.05472	0.698789	0.818469	1.16902	0.787819	0.750683	0.971811	1.35944	1.09424	0.689709	-5.66106	-8.1943	-3.84152	0.116525	0.306888	7.90547	-5.05085	-7.59163	-4.60189	-5.55199	-8.93516	-4.23848	-5.73567	-8.29968	-2.31305	-5.19285	-7.31072	-2.80805	-3.265173e+001	-3.713126e+002	-4.039643e+002
100	1.03997	1.2427	0.591311	0.715112	1.02307	0.668809	0.825162	0.698609	0.925294	0.902077	0.721301	-4.00783	-8.39473	1.51214	0.195305	0.179101	1.17791	-3.36597	-8.20135	2.86824	-3.81807	-7.64933	1.62033	-3.72338	-8.20035	1.13776	-4.72415	-8.52756	-0.466377	-2.791320e+001	-3.598418e+002	-3.877550e+002
150	1.10446	1.15728	0.781725	0.989877	1.05328	0.71652	0.502893	0.780578	0.442356	0.587479	0.969976	-2.43496	-7.64864	-2.54725	0.213126	0.137033	4.53517	-2.6538	-7.27487	-1.66476	-2.57857	-7.58074	-3.00161	-3.37516	-7.57992	-2.124	-1.97829	-7.57629	-4.44049	-2.695096e+001	-3.542712e+002	-3.812221e+002
200	1.09424	1.03416	0.724606	0.753463	1.10889	0.75556	0.615962	0.770116	0.487719	1.00251	0.895653	-2.40422	-7.43869	-3.13174	0.16056	0.206606	17.5168	-3.31434	-7.49501	-1.78682	-2.35116	-7.54234	2.2134	-3.59782	-7.34213	-2.95448	-2.00877	-7.54806	-2.5338	-3.737406e+001	-3.499119e+002	-3.872859e+002
250	1.07915	1.07012	0.785771	0.830419	0.984405	0.832076	0.786776	0.613245	0.924137	0.784572	1.06299	-2.29602	-7.79368	1.72771	0.586221	0.232977	0.988566	-2.87414	-8.07093	-0.3246	-1.71981	-7.16364	1.11855	-1.93227	-7.40886	2.06563	-2.14386	-7.45252	3.75676	-3.391989e+001	-3.545850e+002	-3.885048e+002
300	0.971198	1.10948	0.712002	0.651074	0.969672	0.671309	0.354371	0.468022	0.715954	0.87162	0.998972	-3.43621	-7.16124	3.9245	0.261521	0.149775	2.77242	-2.7788	-7.03532	2.90126	-2.81535	-7.46211	4.07921	-3.44254	-7.51777	2.4829	-3.79876	-7.42458	4.0604	-2.400563e+001	-3.533458e+002	-3.773514e+002
350	1.10898	0.976423	0.708891	0.587128	1.10719	0.665907	0.398634	0.406025	0.567755	0.849464	0.940651	-2.46866	-6.66097	3.21452	0.0827878	0.209517	2.6946	-2.7504	-6.55995	4.06034	-2.45064	-6.2373	2.62588	-3.0644	-6.02156	1.6668	-2.78257	-6.76108	1.90344	-2.431743e+001	-3.504495e+002	-3.747669e+002
400	0.955756	0.98501	0.789577	0.614903	0.846928	0.849079	0.627807	0.496558	0.451332	0.731129	1.2763	-3.02476	-6.89381	3.7094	0.377849	0.221739	1.24164	-3.40409	-6.82922	3.23301	-2.04846	-7.89522	3.72647	-3.31296	-6.26857	3.94539	-1.88496	-6.51524	3.54042	-2.941655e+001	-3.539573e+002	-3.833738e+002
450	0.947277	1.12264	0.658584	0.780806	1.00094	0.775523	0.441581	0.753995	0.468203	0.719927	0.772233	-2.5935	-4.64165	3.66241	0.0728209	0.121683	2.65081	-2.59168	-4.57015	3.35038	-2.62962	-4.38292	3.53181	-2.90067	-4.11968	3.38706	-2.52707	-4.32948	1.58007	-2.002754e+001	-3.514972e+002	-3.715248e+002
500	1.09887	1.2198	0.674966	0.888594	1.00075	0.646964	0.46794	0.516784	0.538005	0.765284	0.945962	-2.69587	-4.5694	-0.335483	0.157658	0.0634236	3.15538	-2.66811	-4.52521	-1.48888	-2.24909	-4.52907	-0.823663	-2.9122	-4.87671	-2.96585	-1.95319	-4.62941	-2.43722	-2.491211e+001	-3.481547e+002	-3.730668e+002
550	1.19426	1.18617	0.682185	0.764953	1.02066	0.737386	0.511947	0.769963	0.506947	0.748237	0.989859	-2.29614	-4.78906	-3.80317	0.0642219	0.0686057	2.51423	-2.71832	-4.65086	-3.9785	-1.7905	-4.75093	-2.81363	-2.68005	-4.63001	-3.51743	-2.056	-4.76002	-3.75128	-2.158392e+001	-3.505621e+002	-3.721460e+002
