iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnTCOGC(1)	M_lnPLivDCVGC(1)	M_lnPKidDCVGC(1)	M_lnPBrnDCVGC(1)	M_lnPBodDCVGC(1)	M_lnPLivDCVCC(1)	M_lnPKidDCVCC(1)	M_lnPBrnDCVCC(1)	M_lnPBodDCVCC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnTCOGC(1)	V_lnPLivDCVGC(1)	V_lnPKidDCVGC(1)	V_lnPBrnDCVGC(1)	V_lnPBodDCVGC(1)	V_lnPLivDCVCC(1)	V_lnPKidDCVCC(1)	V_lnPBrnDCVCC(1)	V_lnPBodDCVCC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnTCOGC(1.1)	lnPLivDCVGC(1.1)	lnPKidDCVGC(1.1)	lnPBrnDCVGC(1.1)	lnPBodDCVGC(1.1)	lnPLivDCVCC(1.1)	lnPKidDCVCC(1.1)	lnPBrnDCVCC(1.1)	lnPBodDCVCC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnTCOGC(1.2)	lnPLivDCVGC(1.2)	lnPKidDCVGC(1.2)	lnPBrnDCVGC(1.2)	lnPBodDCVGC(1.2)	lnPLivDCVCC(1.2)	lnPKidDCVCC(1.2)	lnPBrnDCVCC(1.2)	lnPBodDCVCC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnTCOGC(1.3)	lnPLivDCVGC(1.3)	lnPKidDCVGC(1.3)	lnPBrnDCVGC(1.3)	lnPBodDCVGC(1.3)	lnPLivDCVCC(1.3)	lnPKidDCVCC(1.3)	lnPBrnDCVCC(1.3)	lnPBodDCVCC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnTCOGC(1.4)	lnPLivDCVGC(1.4)	lnPKidDCVGC(1.4)	lnPBrnDCVGC(1.4)	lnPBodDCVGC(1.4)	lnPLivDCVCC(1.4)	lnPKidDCVCC(1.4)	lnPBrnDCVCC(1.4)	lnPBodDCVCC(1.4)	LnPrior	LnData	LnPosterior
0	1.45204	0.602679	0.0302214	0.0635869	0.0278302	0.118003	0.0251475	0.437718	0.0616202	0.0204135	0.0320385	0.46324	0.0424438	0.423704	0.0102315	0.341601	0.160513	1.2701	0.603705	0.0200017	0.0218648	0.0429861	-0.584949	-4.16605	-4.45447	1.80157	-3.55941	-4.08115	4.20778	-3.50326	0.308632	2.26439	3.02443	-3.50454	0.035366	0.138024	1.70597	0.153268	0.184565	0.0578959	0.0408734	0.0590614	0.201425	0.150981	0.163914	1.68297	2.28728	2.86622	-3.91209	-0.525193	-4.18426	-4.16885	2.30893	-3.77397	-4.19693	4.19556	-3.22621	0.26335	2.31588	2.89663	-4.54316	-0.395775	-4.13835	-3.9755	1.79596	-3.24289	-3.8347	4.26773	-3.51913	0.148396	2.52163	3.51256	-1.9889	-0.464665	-4.17065	-3.14849	2.19109	-3.88686	-3.97945	4.37601	-3.65889	0.458286	2.07519	3.22925	-3.37388	-0.717284	-4.26345	-2.07915	2.2053	-3.45117	-4.33682	4.35127	-3.56177	0.981877	-4.189290e+00	-7.501350e+05	-7.501392e+05
100	3.20476	2.31404	1.16398	0.87647	1.09442	1.00812	0.219535	1.04007	0.577176	2.02577	2.84511	1.20783	0.95009	0.604482	1.21254	0.688239	1.12899	0.911089	0.407331	0.447003	0.761029	0.864668	-1.72654	-1.40981	-0.542971	1.1616	-1.57345	-3.53536	3.70867	-2.0823	0.142143	1.85741	3.29651	-0.525131	0.245115	1.89988	0.457995	0.0843454	0.0461269	0.117631	0.0976177	0.13066	0.0439968	0.0734294	0.146816	0.959901	1.3676	3.35042	-1.73535	-2.70075	0.0398386	-0.0533029	1.22581	-1.56617	-3.79695	3.74146	-2.83087	0.242136	1.69358	3.58146	-1.42221	-1.50125	-0.0911658	-0.250878	1.11038	-1.59176	-3.36083	3.80203	-2.14582	0.299759	1.65543	3.0135	0.280698	-0.996987	-0.34263	-0.421599	1.39312	-1.59216	-3.6159	3.63226	-1.81855	0.0147312	1.31294	2.92684	-0.748041	-1.37847	-3.72001	-1.91014	0.905822	-1.70132	-3.56342	3.91771	-2.20776	0.309107	-6.938651e+01	-3.407687e+02	-4.101552e+02
200	2.81381	1.3148	0.448115	1.44569	0.552022	1.29948	0.207177	2.62283	0.874031	3.14981	3.0844	1.22103	1.13635	0.865224	0.945704	0.504427	1.06956	0.761623	0.800902	0.307138	0.677527	0.639347	-1.28014	1.3014	-0.4504	0.177494	-2.13986	-3.32807	1.85792	-1.17372	-0.425582	1.4365	3.46902	-2.12916	0.0308201	7.36018	0.113183	0.0929508	0.161201	0.0523035	0.0476591	0.0840035	0.0883566	0.162593	0.0704878	3.34569	1.20587	3.25853	-1.28976	-1.34004	0.287928	-0.232207	0.444041	-1.68742	-3.45534	1.80656	-0.496677	0.122395	1.28455	4.05897	-2.0307	-1.30305	0.0709306	-0.394837	0.619315	-2.55206	-3.00332	1.59474	-1.56727	-0.51625	1.16316	3.24735	-0.318956	-1.10228	0.212422	-0.762	0.200786	-2.56049	-3.18545	1.851	-0.910347	-0.609978	1.33888	3.12376	0.301102	-1.47037	-3.56548	-0.38599	-0.394888	-1.87362	-3.30481	1.55777	-0.711302	0.0231603	-7.326679e+01	-3.348324e+02	-4.080992e+02
300	3.22671	0.993701	0.488352	1.04815	0.511862	0.922701	0.219707	1.25998	0.46967	1.66033	2.93798	1.00731	1.04354	0.335354	1.16354	0.536033	0.913516	1.08115	0.19935	0.454468	0.710628	0.482595	-1.03806	0.157194	0.399262	-1.47065	-1.88073	-3.67739	-0.469502	-2.99015	-0.0743319	1.22641	2.77506	0.108667	0.0406125	1.6214	1.14946	0.116243	0.0459454	0.113608	0.0877137	0.055352	0.0304537	0.125683	0.223141	1.80244	1.51874	3.41435	-1.75573	-1.19134	1.79287	1.20313	-2.38923	-2.14661	-4.0638	-0.613773	-3.12715	-0.117935	1.41396	2.51686	-0.381807	-0.842494	0.203372	0.845038	-1.32188	-1.65669	-2.95963	-0.245883	-3.0773	-0.170478	1.08061	3.41124	-1.39456	-0.960895	-0.0437091	-0.398471	-1.38216	-2.0809	-4.02402	-0.334682	-3.19799	-0.0486095	1.24129	2.99271	0.295342	-0.972651	-3.56848	-2.58931	-1.52927	-1.64171	-3.25643	-0.311856	-2.81471	0.0863523	-7.171576e+01	-3.223069e+02	-3.940227e+02
400	3.05183	2.80624	0.66708	0.473675	1.1642	1.1366	0.148127	0.941324	0.475684	2.80061	3.15389	1.02336	0.908827	0.662376	1.05925	0.536079	0.952016	1.47175	0.210946	0.509687	1.01061	0.730135	-1.09798	-0.64167	0.690137	-1.62947	-1.44448	-3.6389	-0.30247	-3.20435	1.57752	1.3001	3.80942	0.516598	0.0615313	3.12879	1.82711	0.0663527	0.136152	0.149365	0.112092	0.0354508	0.0341396	0.117481	1.2333	2.73939	0.894707	2.83548	-0.824117	-1.13996	0.466488	-0.174846	-1.52561	-1.96056	-3.48681	-0.947117	-3.2111	1.6515	1.7944	2.72494	-0.453803	-1.03616	0.94004	1.94166	-1.45573	-1.03159	-3.43172	-0.0970877	-3.38247	1.38575	0.977148	3.68008	-1.18365	-0.921731	0.257863	-0.520151	-1.5253	-2.19932	-3.80431	-0.978242	-3.42288	1.44227	1.27608	3.14127	0.340287	-1.46376	-3.44038	-1.67176	-1.59221	-1.61319	-3.30962	-0.297376	-3.24204	1.67543	-8.537114e+01	-3.269792e+02	-4.123503e+02
500	2.80268	1.82709	0.481661	1.18658	0.988346	1.02975	0.468082	1.50456	0.691745	2.28023	2.69299	1.02966	0.974758	0.920897	1.38112	0.593927	0.935099	0.939887	0.396559	0.501534	0.765229	0.531849	-1.08279	0.965512	0.295146	-0.467637	-1.78502	-3.4308	-0.379313	-3.18744	2.44514	1.34976	3.69945	-0.899684	0.0328055	2.20948	0.113846	0.104236	0.042789	0.154853	0.134601	0.0911538	0.0293427	0.299774	1.24502	4.65784	1.72243	3.4084	-1.68155	-1.35009	2.51895	-0.354178	0.0258236	-1.66361	-3.99448	-0.365533	-2.62031	2.22171	1.327	2.60847	-0.21561	-1.08173	1.40471	0.920902	-0.186952	-1.77945	-2.69834	-0.316938	-2.93305	2.70971	1.33322	2.851	-0.486704	-1.15239	1.38826	0.256524	0.00231674	-1.76512	-3.76607	0.189584	-3.09819	2.44904	1.2755	3.09616	0.375083	-1.13421	-3.34052	0.0783589	-0.665824	-1.75332	-3.2609	-0.432542	-2.96647	2.30096	-8.051050e+01	-3.355388e+02	-4.160493e+02
600	2.7932	1.42584	0.335821	 1.57	0.900362	1.46406	0.169688	1.50744	0.366332	2.42833	3.15938	1.16718	0.98572	0.727859	0.957487	0.511488	0.924879	1.14035	0.268826	0.394531	0.708963	0.484697	-1.20596	0.557728	0.704693	-0.41294	-1.51098	-3.05917	-0.583418	-2.12483	1.67559	0.922266	3.50874	-1.91402	0.137364	2.60961	2.46561	0.121916	0.137897	0.0921316	0.104716	0.0818328	0.236057	0.687751	0.165482	2.81411	0.321678	2.93033	-1.3669	-1.38238	0.799396	0.742449	-0.48342	-1.77492	-2.93728	-0.903501	-2.03576	2.06209	1.25241	3.66523	-1.64661	-1.38699	-0.100837	1.01595	-0.550377	-1.74958	-2.86732	-0.474158	-2.41889	1.67088	0.375346	3.29302	-1.24764	-0.734188	0.414115	0.680227	-0.115598	-1.93491	-2.84662	-0.551979	-2.03494	2.63642	1.22421	3.11225	0.42598	-1.24095	-3.16884	-1.80384	-0.457784	-2.10483	-3.23805	-0.188313	-2.2898	2.08559	-8.837573e+01	-3.222920e+02	-4.106677e+02
700	2.63832	1.11764	0.301532	1.26327	0.786495	1.16045	0.341522	1.84525	0.774868	1.95909	2.15294	1.00751	0.985053	0.810584	0.789756	0.537026	0.828913	0.847138	0.43043	0.347665	0.806799	0.482965	-1.55018	0.502815	0.271383	0.398947	-1.25415	-3.52589	-0.94698	-1.63136	2.44935	1.47019	2.82835	-0.0782115	0.0629639	2.12658	0.273678	0.168664	0.252645	0.105488	0.186999	0.201322	0.248318	0.0900341	0.151313	2.27227	1.30289	2.72977	-0.585922	-1.66376	2.21366	1.57808	0.84976	-1.64503	-3.47209	-0.611396	-1.82089	3.06355	1.7717	2.99749	-0.941924	-1.39363	0.286694	0.476062	0.523873	-0.83066	-3.25049	-1.51431	-1.74288	2.51751	1.17668	2.72643	-0.133772	-1.67083	1.39728	0.280178	0.365118	-1.59943	-3.27415	-1.38576	-1.61036	2.11547	1.08395	3.20543	0.361325	-1.41545	-3.12302	-0.36642	0.343476	-1.73483	-3.2212	-0.634624	-1.30324	2.11953	-7.670100e+01	-3.296097e+02	-4.063107e+02
800	3.17074	1.94546	0.409521	1.59033	1.13273	1.77193	0.258956	1.37317	0.529246	3.0327	2.71485	0.892003	1.13112	0.89738	0.860004	0.56044	0.947495	0.756926	0.377892	0.41033	1.02537	0.783445	-1.47307	-1.14495	0.877675	1.65376	-0.989233	-3.44493	-0.925775	-2.72909	4.41334	1.36862	3.08107	-1.42698	0.155421	1.74766	0.0960574	0.078379	0.128987	0.0647466	0.269295	0.0618748	0.0948114	0.439548	0.471863	1.76583	1.7324	4.24489	-2.33786	-1.47772	1.11064	1.20851	1.33498	-1.77996	-3.70003	-2.12113	-2.71642	4.29118	1.45369	2.11745	-0.335123	-0.725414	1.25132	1.22485	1.40258	-0.540475	-3.51954	-0.809874	-3.10016	4.37084	1.59842	3.02766	-0.482131	-0.966245	0.743372	0.234861	1.54409	-1.22275	-3.74574	-1.23099	-2.56915	4.32588	1.06226	3.24787	0.322898	-1.34895	-3.19552	0.773037	1.88727	-0.603552	-3.14356	-0.700856	-2.68446	4.43832	-8.210037e+01	-3.446972e+02	-4.267976e+02
900	3.26537	1.16509	0.607037	0.644544	0.198443	0.988046	0.166781	1.41894	0.743433	2.80581	3.25869	1.25116	0.979938	1.02022	1.05586	0.432273	0.797957	1.11082	0.423842	0.523865	0.713409	0.799534	-0.77878	-3.06795	0.241882	1.93639	-0.183958	-3.26934	-0.0627598	-3.65661	3.99095	0.837581	3.03434	-0.915346	0.0656331	11.1622	0.0919532	0.0842898	0.059677	0.0323391	0.148966	0.0619199	0.117709	0.360658	0.27194	1.1294	1.16724	3.6516	-1.39842	-0.6333	1.25599	0.172937	2.06595	-0.0544137	-3.25123	-0.154961	-3.59987	4.31738	1.11358	1.78687	-0.626527	-0.527592	1.00883	0.651238	1.87749	-0.399527	-3.19114	-0.286191	-3.55917	4.32994	0.56801	2.51888	-0.537476	-0.300933	0.278198	0.265918	1.73069	-0.414799	-3.18908	-1.33396	-3.57125	3.61474	0.708494	3.09068	0.330511	-1.34925	-3.02056	-0.110754	1.95123	-0.0217222	-3.28029	0.216862	-3.8942	4.56861	-7.462547e+01	-3.371937e+02	-4.118192e+02
