iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnTCOGC(1)	M_lnPLivDCVGC(1)	M_lnPKidDCVGC(1)	M_lnPBrnDCVGC(1)	M_lnPBodDCVGC(1)	M_lnPLivDCVCC(1)	M_lnPKidDCVCC(1)	M_lnPBrnDCVCC(1)	M_lnPBodDCVCC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnTCOGC(1)	V_lnPLivDCVGC(1)	V_lnPKidDCVGC(1)	V_lnPBrnDCVGC(1)	V_lnPBodDCVGC(1)	V_lnPLivDCVCC(1)	V_lnPKidDCVCC(1)	V_lnPBrnDCVCC(1)	V_lnPBodDCVCC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnTCOGC(1.1)	lnPLivDCVGC(1.1)	lnPKidDCVGC(1.1)	lnPBrnDCVGC(1.1)	lnPBodDCVGC(1.1)	lnPLivDCVCC(1.1)	lnPKidDCVCC(1.1)	lnPBrnDCVCC(1.1)	lnPBodDCVCC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnTCOGC(1.2)	lnPLivDCVGC(1.2)	lnPKidDCVGC(1.2)	lnPBrnDCVGC(1.2)	lnPBodDCVGC(1.2)	lnPLivDCVCC(1.2)	lnPKidDCVCC(1.2)	lnPBrnDCVCC(1.2)	lnPBodDCVCC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnTCOGC(1.3)	lnPLivDCVGC(1.3)	lnPKidDCVGC(1.3)	lnPBrnDCVGC(1.3)	lnPBodDCVGC(1.3)	lnPLivDCVCC(1.3)	lnPKidDCVCC(1.3)	lnPBrnDCVCC(1.3)	lnPBodDCVCC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnTCOGC(1.4)	lnPLivDCVGC(1.4)	lnPKidDCVGC(1.4)	lnPBrnDCVGC(1.4)	lnPBodDCVGC(1.4)	lnPLivDCVCC(1.4)	lnPKidDCVCC(1.4)	lnPBrnDCVCC(1.4)	lnPBodDCVCC(1.4)	LnPrior	LnData	LnPosterior
1000	3.23191	0.931272	0.203865	1.39899	0.478455	1.0091	0.25355	2.0994	0.915015	2.24801	3.24448	1.15717	0.847579	0.87188	0.851735	0.442882	0.879712	0.996265	0.423436	0.4722	0.596909	0.616065	-0.582541	0.876327	0.550441	-0.580425	-0.628488	-3.81001	-0.0872278	-2.13955	4.35526	1.00106	3.25468	-0.993422	0.350834	3.69511	0.10778	0.0992251	0.0676783	0.533345	0.0665072	0.092276	0.0982643	0.0756868	0.135148	2.04945	1.01192	3.42844	-2.5984	-0.159936	2.27086	0.493982	-0.443204	-0.556654	-3.75588	-0.111683	-1.90722	4.41602	1.00241	2.94642	-0.878282	-0.33466	-0.490719	0.589927	-0.216528	-0.881748	-2.07937	-0.231033	-2.11533	4.42354	0.733673	3.52387	-1.49454	-0.0109342	0.520792	0.639335	-0.545086	-1.19138	-4.00655	-0.246336	-1.65397	4.19749	0.895988	3.18212	0.266093	-1.21416	-2.92907	0.249351	-0.604549	-0.307647	-3.41227	-0.0774681	-1.73486	4.15168	-6.919911e+01	-3.308837e+02	-4.000828e+02
1100	3.12499	1.78833	0.836346	0.430515	0.53863	1.5511	0.162527	1.41021	1.4639	1.60246	3.08948	1.0766	0.993604	0.473029	0.992114	0.649607	1.01477	0.918119	0.340946	0.293976	0.977801	0.53099	-1.27134	-1.39032	-0.286901	-1.05014	-0.261131	-3.31112	-1.49957	-1.75276	2.84794	1.24393	3.01006	-0.817355	0.165768	2.92309	0.230173	0.0774993	0.0364809	0.0875402	0.182899	0.0418357	0.252235	0.132632	0.0303858	1.12201	1.27431	2.95752	-0.755499	-0.993246	1.11055	0.325858	-1.17265	-0.0929806	-3.5859	-1.30452	-1.40577	2.11606	1.76716	3.50925	-1.48677	-0.653712	-0.189768	0.451652	-0.933318	-0.55904	-3.47844	-2.07732	-1.83954	2.79505	1.09332	3.09389	-0.163513	-1.02568	-1.11074	-1.42724	-1.06597	-0.492359	-2.98102	-1.23389	-1.74853	2.74253	0.842179	3.15871	0.196373	-1.39372	-3.01672	-1.39727	-1.0716	0.0251258	-3.46597	-1.4014	-1.67661	2.97017	-7.607157e+01	-3.233226e+02	-3.993941e+02
1200	2.78922	2.33593	0.58995	2.78932	0.607188	1.43108	2.18404	1.83715	0.585868	1.55457	3.00055	1.03985	1.09446	0.538615	1.0044	0.432333	0.869271	0.881834	0.417427	0.527709	0.907634	0.512935	-0.381088	-0.696997	-0.319697	-1.96683	-1.15972	-3.40432	-1.65119	-2.15311	4.37077	0.652513	3.97294	-0.347428	0.30107	0.585627	0.288266	0.105111	0.049729	0.308923	0.0547435	0.0622036	0.175137	0.11135	0.194395	1.62977	0.837294	4.36508	-2.17087	-0.0505688	-0.426263	-0.366308	-1.54247	-1.25484	-3.35904	-1.74395	-2.2228	4.17037	0.61145	3.70265	-2.60553	-0.458841	0.0771218	0.808382	-2.60177	-1.06301	-3.08383	-1.56397	-2.16032	4.50432	0.562729	4.15156	-1.90505	-0.499229	-0.414445	-0.580033	-2.01046	-1.11126	-3.34719	-1.53714	-1.78921	3.99309	1.13836	3.16186	0.350556	-1.19706	-3.00306	-1.54868	-1.38619	-0.744537	-3.44341	-1.42204	-2.05287	4.30684	-7.669919e+01	-3.335077e+02	-4.102069e+02
1300	3.0706	2.83525	0.476766	0.682024	0.9791	0.931278	0.219566	2.60293	0.551073	1.51253	3.10888	1.16098	0.908177	0.797535	0.808332	0.47707	1.04315	1.05691	0.493548	0.458865	0.744298	0.665405	-1.17816	-0.854401	-0.223339	-2.00953	-2.07973	-3.35004	-1.63558	-3.86643	4.37409	1.14404	3.18867	-0.803865	0.0574617	0.811109	0.252166	0.113132	0.079308	0.11801	0.0638134	0.150625	0.0674189	0.105625	0.300626	5.39132	0.649802	2.93097	-1.60197	-1.20489	0.516837	0.236906	-1.71844	-1.65936	-3.50345	-1.91882	-3.88032	4.3045	1.60557	3.33842	-1.84183	-0.780695	-1.15218	0.0318287	-1.95358	-2.26002	-3.42103	-1.63953	-3.22266	4.47215	0.564036	2.60933	-0.872021	-1.03162	-0.127639	-0.2393	-1.79812	-1.72046	-3.30599	-1.5269	-3.37026	4.22688	1.04556	3.08695	0.43749	-0.954349	-2.90657	-1.05466	-1.68855	-1.48556	-3.4093	-1.11871	-4.1359	4.34849	-6.889397e+01	-3.310248e+02	-3.999188e+02
1400	2.76997	1.95701	1.09425	1.88781	0.857573	1.56452	0.707835	2.03274	0.747366	1.59242	2.70314	1.12164	1.06985	0.716607	1.03136	0.514792	0.849657	1.07247	0.302512	0.372126	0.85126	0.67906	-1.07848	-0.229626	-0.246778	-2.28752	-0.32794	-3.27305	-0.665486	-3.0496	4.18885	1.15189	2.81688	-0.882987	0.171464	0.633866	0.194878	0.120921	1.0765	0.115874	0.0634546	0.0444125	0.109892	0.0664904	0.0882889	2.27117	1.19525	2.78871	-0.954058	-0.684315	-0.185293	-0.904978	-2.53758	-0.292856	-3.60694	-1.14473	-2.95682	3.85346	1.03518	2.15103	-0.627587	-0.230176	-0.0750502	0.264099	-2.15261	-0.798567	-3.15017	-0.676321	-2.89838	4.31905	1.26959	3.14123	-0.647944	-0.729175	-0.31942	-0.126862	-1.73115	-0.93568	-3.68512	-0.365336	-3.33038	4.02574	0.892247	2.9917	0.462028	-1.33574	-2.82306	-1.04421	-1.92862	0.738631	-3.63428	-0.499526	-3.13889	4.40872	-7.719637e+01	-3.282360e+02	-4.054323e+02
1500	2.69432	2.01734	0.650459	1.20903	0.327168	1.38678	0.370702	2.02657	0.398362	2.82094	3.08038	0.890317	0.941616	0.882311	0.940271	0.596733	0.812783	1.24572	0.525445	0.60683	0.86002	0.993417	-0.808561	-0.349587	0.151713	-0.232874	1.37038	-4.18052	-0.460629	-2.5159	3.61502	1.61549	3.49018	-0.615771	0.0657952	0.698921	0.0546369	0.0874107	0.0866605	0.275675	0.0802374	0.148647	0.0743227	0.313585	0.145513	1.73927	2.16146	3.30491	-1.36664	-0.812107	1.18686	0.469548	-0.029715	1.47206	-4.40157	-1.01388	-2.23554	4.00615	2.33446	4.2066	-2.28661	-1.10391	-0.532034	0.371472	-0.280153	1.65154	-3.77193	-0.574934	-2.63413	3.26803	0.723579	3.43245	-2.20084	-0.705401	0.377141	-0.111759	-0.178424	1.05941	-3.70409	-0.752975	-2.17212	3.71986	0.955238	3.1269	0.363854	-1.19318	-2.80879	-0.371186	-0.177993	1.7741	-3.61911	-0.53657	-2.55838	4.05158	-7.210083e+01	-3.336244e+02	-4.057252e+02
1600	3.03345	1.14669	0.766991	0.93312	0.833803	1.27506	0.641193	1.06691	0.626379	1.92143	3.27002	1.1764	1.06979	0.686285	1.01836	0.665123	0.97687	0.737751	0.515524	0.445999	0.568975	0.885371	-1.13996	-0.639646	-0.0210411	-0.513514	-0.263425	-3.43926	-0.284488	-2.33403	3.66065	1.07421	2.60753	-1.54142	0.0568448	1.3399	0.0425163	0.0515314	0.215734	0.0335226	0.0605703	1.13302	0.0481024	0.181624	0.502238	2.32792	0.571999	3.46407	-1.59757	-0.926205	0.464064	-0.293973	-0.577196	-0.602868	-3.09083	-0.24779	-2.17343	3.45611	1.05681	2.5977	-2.87827	-1.36568	0.0878544	0.466971	-0.458592	0.00946155	-3.17341	-0.169875	-1.96393	3.66246	0.78033	2.00601	0.327197	-1.18659	0.114389	0.0286275	-0.55757	0.374243	-3.19046	-0.201074	-0.987097	3.72063	0.737238	2.9289	0.366616	-1.25766	-2.93359	-0.242629	-0.498229	-0.0329145	-3.51009	0.0413839	0.00252259	3.70963	-7.539865e+01	-3.331658e+02	-4.085644e+02
1700	2.90361	1.836	0.562924	0.705351	1.1276	1.33808	0.322991	1.98703	0.612412	2.20679	3.23299	1.22443	1.13524	0.634267	0.925834	0.552195	0.811921	1.01186	0.669975	0.474502	0.647465	0.575663	-1.22748	-1.54632	-0.479338	-0.132404	-1.03494	-3.53298	0.132338	-4.47991	2.34072	1.39656	3.48108	-1.30383	0.0446872	0.784058	0.747708	0.23334	0.549035	0.113597	0.0530891	2.77935	0.0850812	0.153895	0.224259	2.96274	1.09496	2.88682	-0.964767	-1.46767	0.860273	-0.0781512	-0.279431	-1.29242	-3.5581	0.280814	-1.34651	2.65785	1.68109	3.17121	-1.04196	-0.848199	-0.90897	0.125609	-0.455298	-1.28867	-3.25355	-0.113588	-1.99126	2.4967	1.23667	3.74438	-1.23087	-0.931019	-0.506424	-1.22784	-0.31972	-2.38265	-3.4255	0.00914159	-2.20067	2.71037	0.978399	3.00872	0.176701	-1.00105	-2.95202	-0.685122	-0.69356	0.0559023	-3.80059	0.194724	-3.79105	2.43571	-9.641895e+01	-3.266804e+02	-4.230993e+02
1800	2.34808	3.28507	1.06172	1.91784	0.498482	1.68596	0.314096	2.24573	0.864156	1.97191	3.26692	1.10942	1.0045	0.827349	0.957515	0.72294	1.06126	1.01562	0.309194	0.440934	0.76567	0.577949	-1.61026	-0.908053	0.214245	0.430555	-0.536582	-3.15216	0.349799	-4.26235	2.5609	0.63496	3.46713	-0.598279	0.0822203	3.29188	0.106861	0.0546383	0.253941	0.0830873	0.136609	0.506117	0.326814	0.247165	0.325536	1.36223	0.130509	3.07768	-2.02849	-1.53861	0.299129	0.206534	0.40505	-0.698681	-3.06258	-0.35025	-2.29918	2.92309	1.07391	2.59393	-1.33762	-1.29537	0.512458	0.893267	0.674889	-0.714687	-3.40898	0.712128	-3.85677	2.30609	1.16618	3.42566	-1.05911	-1.48207	0.491705	0.651587	0.389079	-0.892421	-3.60483	0.372414	-2.66085	3.35001	0.65416	3.33117	0.192799	-1.60615	-2.75013	-0.333062	0.297331	-0.0751741	-3.60743	0.571506	-2.93391	2.96346	-9.264739e+01	-3.293345e+02	-4.219819e+02
1900	2.92277	1.36941	1.71134	1.24703	0.698105	0.987598	0.169312	1.00936	1.33942	2.37126	2.93084	0.877951	0.875139	0.692509	1.0758	0.458761	0.982718	0.838395	0.496495	0.650495	0.860512	0.553859	-1.1489	-0.323557	0.733038	1.22706	1.49989	-3.01384	-0.370418	-1.68952	3.7411	0.433358	3.04135	-1.03041	0.0681801	2.16584	0.055795	0.0602627	1.07732	0.1498	0.0734293	0.0500009	0.0781566	0.186627	0.116988	0.650729	-0.155077	3.28353	-2.02604	-0.882624	2.16096	0.63162	1.12921	-0.712106	-2.73636	-0.113634	-1.46346	3.85936	1.52837	2.85719	-0.850781	-0.947791	0.843914	0.845651	1.4753	0.6408	-3.02622	-0.173749	-1.87033	4.03359	-0.135838	3.51222	-1.32428	-1.05448	1.11933	0.420031	1.3758	-1.20018	-2.71874	-0.310202	-1.43215	3.59141	0.817423	3.28971	0.252934	-1.46876	-2.89054	0.97539	1.65685	3.34661	-3.41779	0.000309494	-2.24012	3.4452	-8.382068e+01	-3.215436e+02	-4.053643e+02
