iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1)	lnkDCVCC(1.1)	lnkElimDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkDCVG(1.1)	lnISkDCVC(1.1)	lnISkNDCVC(1.1)	lnkDCVGC(1.2)	lnkDCVCC(1.2)	lnkElimDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkDCVG(1.2)	lnISkDCVC(1.2)	lnISkNDCVC(1.2)	lnkDCVGC(1.3)	lnkDCVCC(1.3)	lnkElimDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkDCVG(1.3)	lnISkDCVC(1.3)	lnISkNDCVC(1.3)	lnkDCVGC(1.4)	lnkDCVCC(1.4)	lnkElimDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkDCVG(1.4)	lnISkDCVC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
1000	0.845657	1.04587	0.493732	0.904067	0.488937	0.803471	0.888848	0.656586	0.483952	0.660052	0.982406	2.81322	-6.48531	-7.34117	-8.14848	1.90907	4.20364	2.84244	0.080578	0.0761898	0.0868839	0.124797	2.77418	1.54835	1.58584	3.30537	-6.84498	-7.05606	-7.90534	1.33336	3.49759	3.59907	2.47517	-6.2943	-7.71732	-8.53349	1.34054	3.07668	1.34688	3.09381	-6.38472	-7.19789	-7.66541	1.27989	2.72146	4.40773	2.38397	-6.47773	-7.55129	-7.89971	2.28223	3.28171	3.14651	-4.310886e+01	-3.425277e+02	-3.856366e+02
1100	0.917713	0.89229	0.761934	0.938456	0.636166	0.664038	0.800816	0.47942	0.612824	0.9004	1.05424	2.28739	-6.65058	-8.65682	-8.54071	4.57562	2.90937	1.92103	0.343376	0.134727	0.158784	0.170633	3.62663	3.88122	3.51748	0.899744	-6.29784	-8.31119	-8.36129	3.58351	2.10229	1.58856	2.77901	-7.1569	-8.23659	-8.67049	1.02527	3.73977	3.33813	1.83597	-6.70179	-8.81616	-7.89209	2.18985	2.07846	2.25694	1.73484	-6.7865	-8.08099	-8.30183	3.74093	3.68642	1.76932	-5.669084e+01	-3.385428e+02	-3.952337e+02
1200	0.993717	1.05143	0.542361	0.698227	0.661651	1.04347	0.856445	0.475341	0.670559	0.767141	1.04338	1.18439	-7.38263	-8.2048	-7.30331	3.43536	4.07877	2.82168	0.480137	0.0583515	0.0713824	0.162759	3.06842	1.53398	1.61693	1.45014	-7.8466	-8.74721	-7.26589	2.92766	3.63782	2.19632	1.62398	-7.13356	-8.33151	-7.22018	1.93778	4.01866	2.50875	0.833087	-7.2889	-8.44909	-7.08511	3.29655	3.11014	1.93421	1.11511	-7.32924	-7.71531	-7.4543	3.91995	4.25228	1.46998	-4.714466e+01	-3.385482e+02	-3.856929e+02
1300	0.888105	1.00265	0.741303	1.01157	0.624872	0.845458	0.821282	0.448635	0.508219	0.967462	0.983848	3.18355	-7.33555	-8.53055	-8.31469	2.43646	3.92461	-3.08608	0.0794774	0.170831	0.156894	0.0630024	1.15161	1.68628	2.02299	3.55072	-7.23017	-8.53607	-8.22978	1.96396	3.09133	-2.81883	3.08122	-7.15663	-8.24558	-8.21936	0.94792	4.32003	-0.428172	3.20222	-7.3549	-8.71422	-8.30066	2.52964	3.41474	-3.09449	3.31396	-7.05801	-8.14973	-8.40465	2.66291	4.04081	1.19127	-4.302286e+01	-3.406415e+02	-3.836643e+02
1400	0.547652	0.753224	0.951359	1.34642	0.590267	0.977473	0.628658	0.318215	0.478114	0.667745	0.426152	3.72747	-7.23843	-7.0146	-3.32508	2.97678	4.39794	3.84338	0.141638	1.20789	0.176895	0.319543	2.26484	0.629645	2.93095	4.02621	-8.01351	-7.31787	-2.63428	2.03215	4.23363	4.02382	3.23705	-6.78559	-7.67425	-2.51014	2.07146	4.51885	4.55947	3.70104	-7.26738	-6.91242	-3.74267	0.936813	2.84058	3.56014	3.15823	-6.48281	-6.53095	-3.12566	2.95075	4.32881	2.048	-5.725090e+01	-3.341906e+02	-3.914415e+02
1500	0.980888	0.957976	0.694735	1.20687	0.608203	0.737551	0.586463	0.291799	0.394639	0.61634	0.336171	3.10154	-5.45715	-6.65471	-2.27655	2.83979	4.35486	4.53917	0.0813225	0.171925	1.21773	0.0899871	4.182	1.71313	2.59615	2.86029	-5.99703	-7.31927	-2.66004	1.06203	2.85555	4.6029	3.39843	-5.63656	-6.00954	-2.39344	0.503909	3.45144	4.39709	2.86036	-5.81733	-7.39423	-2.25125	0.150988	1.78328	3.28887	3.31314	-5.73021	-6.31108	-1.50083	1.84851	4.07777	4.10165	-5.394790e+01	-3.347151e+02	-3.886630e+02
1600	0.680426	0.855938	0.852478	1.01629	0.487619	0.89905	0.68157	0.251842	0.439324	0.750411	0.447445	2.23543	-6.63222	-3.6159	-2.12622	1.14974	4.55722	3.82171	0.658275	0.124619	0.249714	0.211061	4.67413	1.19534	1.6896	1.41101	-6.86522	-4.16409	-2.52518	3.50477	3.26063	4.22214	2.00213	-6.44849	-3.79522	-2.17709	2.95149	4.17928	4.47989	2.72201	-7.0839	-3.92279	-2.52916	2.7524	3.52215	4.56805	0.952816	-6.61705	-4.61772	-2.49564	3.66174	3.5405	2.01467	-5.487026e+01	-3.325964e+02	-3.874667e+02
1700	0.818337	0.916253	0.578995	0.854956	0.530139	0.874584	0.892352	0.500167	0.332496	0.879913	1.12161	0.327239	-6.65742	-3.07168	-3.44671	3.84981	4.44269	3.90369	0.163577	0.0348366	0.0648878	0.0946779	1.38857	1.30462	1.87069	0.384218	-6.48046	-2.82279	-2.92762	3.47314	3.17463	4.57469	0.919446	-6.31914	-3.35986	-3.24342	2.86763	3.95055	4.22426	0.463108	-6.86453	-3.01402	-3.79613	3.99569	3.2548	4.45845	0.456815	-6.70928	-2.7936	-3.27308	4.23893	3.89799	3.41384	-3.833014e+01	-3.369087e+02	-3.752389e+02
1800	0.813163	0.75197	0.673587	1.00893	0.476404	0.822079	0.491454	0.367704	0.925409	0.774311	0.43212	0.90569	-7.56427	-1.40565	-2.82894	3.9001	3.0797	4.53627	0.212068	0.234345	0.0778121	0.101137	1.37314	1.68008	1.05138	0.806721	-7.67031	-1.11974	-2.6403	4.25007	4.0237	4.08163	0.914942	-7.25554	-1.51726	-3.1245	3.46649	4.28295	4.13845	0.391452	-8.14214	-1.59447	-3.00242	4.51385	3.79211	3.44434	1.59423	-7.35062	-0.838388	-2.46363	4.42142	3.30137	4.39145	-3.990064e+01	-3.393595e+02	-3.792601e+02
1900	0.945436	0.970091	0.528676	0.636188	0.606014	0.926468	0.663534	0.496397	0.377333	0.9846	0.49769	1.25886	-6.64007	0.0848997	-1.00038	3.19082	4.43409	3.88317	0.0567546	0.334049	0.125025	0.629156	3.92804	1.65858	4.75758	1.44868	-6.01311	0.820239	-2.40776	3.58675	3.04143	4.34142	0.907609	-6.35885	-0.295151	0.203405	1.98336	4.4283	1.95307	1.39103	-6.99535	0.447142	-1.41405	3.01215	3.75159	3.74683	1.74991	-6.24656	0.282452	-1.60481	3.10364	4.14145	-0.592394	-5.877089e+01	-3.313664e+02	-3.901373e+02
