iter	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnkDCVCC(1.5)	lnkElimNDCVCC(1.5)	lnISkNDCVC(1.5)	lnkDCVCC(1.6)	lnkElimNDCVCC(1.6)	lnISkNDCVC(1.6)	lnkDCVCC(1.7)	lnkElimNDCVCC(1.7)	lnISkNDCVC(1.7)	lnkDCVCC(1.8)	lnkElimNDCVCC(1.8)	lnISkNDCVC(1.8)	lnkDCVCC(1.9)	lnkElimNDCVCC(1.9)	lnISkNDCVC(1.9)	lnkDCVCC(1.10)	lnkElimNDCVCC(1.10)	lnISkNDCVC(1.10)	lnkDCVCC(1.11)	lnkElimNDCVCC(1.11)	lnISkNDCVC(1.11)	lnkDCVCC(1.12)	lnkElimNDCVCC(1.12)	lnISkNDCVC(1.12)	lnkDCVCC(1.13)	lnkElimNDCVCC(1.13)	lnISkNDCVC(1.13)	lnkDCVCC(1.14)	lnkElimNDCVCC(1.14)	lnISkNDCVC(1.14)	lnkDCVCC(1.15)	lnkElimNDCVCC(1.15)	lnISkNDCVC(1.15)	lnkDCVCC(1.16)	lnkElimNDCVCC(1.16)	lnISkNDCVC(1.16)	lnkDCVCC(1.17)	lnkElimNDCVCC(1.17)	lnISkNDCVC(1.17)	lnkDCVCC(1.18)	lnkElimNDCVCC(1.18)	lnISkNDCVC(1.18)	lnkDCVCC(1.19)	lnkElimNDCVCC(1.19)	lnISkNDCVC(1.19)	lnkDCVCC(1.20)	lnkElimNDCVCC(1.20)	lnISkNDCVC(1.20)	lnkDCVCC(1.21)	lnkElimNDCVCC(1.21)	lnISkNDCVC(1.21)	LnPrior	LnData	LnPosterior
1000	1.64543	0.956478	0.668663	2.23756	0.80098	2.96537	3.02598	1.17158	1.01482	0.762783	0.705901	1.03166	1.0073	0.944493	1.36516	1.39783	1.16091	1.48737	4.48367	-9.05412	0.179668	0.0370156	0.0696629	2.52654	4.23014	-8.90191	-2.40357	4.30561	-9.14946	1.70815	4.34456	-9.15975	-0.391994	3.98734	-9.02951	-1.54694	4.36178	-9.02442	1.63993	4.278	-9.11065	-1.7675	4.55028	-8.7556	-1.14832	4.58494	-8.779	-2.04839	4.52071	-9.1785	2.10655	4.14673	-9.1582	-0.984456	4.45543	-8.90061	-1.38212	4.34201	-8.79449	3.42978	4.36137	-9.09865	-0.880064	4.57886	-9.07416	 0.61	4.54788	-8.6418	2.19313	4.31426	-9.1844	1.91198	4.56455	-8.66654	-0.961755	4.4327	-9.1742	-1.27129	4.38454	-8.9403	0.536502	4.47988	-8.55784	0.324955	4.40332	-8.80736	0.616481	-5.027196e+01	-1.634152e+03	-1.684424e+03
1100	1.14253	2.95654	0.598519	3.07344	0.942807	2.78675	2.85389	1.17572	1.00914	0.519647	0.488872	1.04999	0.905373	1.07901	1.22992	1.28813	1.18205	1.47979	4.60132	-8.78662	3.72037	0.0674534	0.0756052	2.67689	4.51311	-8.88997	1.73137	4.39354	-9.01518	4.3838	4.38253	-8.74337	3.72945	4.29141	-8.66137	2.532	4.50496	-8.4137	0.32543	4.52767	-8.80095	3.72657	4.58704	-8.37678	2.99565	4.48657	-8.94219	4.12682	4.57793	-8.32372	3.30518	4.37312	-8.99071	3.86434	4.11942	-8.62434	4.28302	4.15011	-8.73223	-0.351469	4.41225	-8.81074	2.20583	4.46955	-8.89676	1.37752	4.24439	-8.77819	0.850448	4.26679	-8.98926	2.25869	4.54404	-8.78626	3.2561	4.46523	-8.87102	3.80542	4.43113	-8.22598	1.18364	4.53682	-8.88046	3.37397	4.55856	-8.8745	3.83513	-4.602451e+01	-1.642861e+03	-1.688885e+03
1200	0.790631	0.606972	0.620893	3.21219	0.846329	2.93978	3.19946	1.13396	1.11725	0.649074	0.80744	1.03697	0.851716	0.982618	1.33705	1.38716	1.18542	1.33398	4.53553	-8.74349	1.65797	0.198762	0.154015	2.94716	4.56673	-8.88952	2.20649	4.49906	-8.93985	-0.201939	3.97401	-8.05347	3.52778	4.56256	-8.40236	3.92471	4.35311	-9.02411	-0.224395	4.37501	-9.0354	1.04566	4.59815	-8.84725	-0.581072	4.59451	-8.93033	2.87941	4.52795	-8.75315	1.27885	4.41155	-8.73958	2.21847	4.49437	-8.53262	3.32919	4.52199	-8.29068	1.54435	4.14795	-8.73851	1.54836	4.43633	-8.85687	0.0935786	4.33724	-8.96352	3.79709	4.26092	-7.58048	-0.967218	4.42277	-9.16824	2.59159	4.19589	-8.97743	1.39525	4.58768	-8.9929	-0.0597485	4.58888	-9.11374	4.08548	4.37349	-9.07361	2.14445	-6.712733e+01	-1.635887e+03	-1.703014e+03
1300	0.63679	0.668673	0.816892	2.15759	1.76375	2.80635	3.08965	1.18243	1.03494	0.829831	0.776067	1.02558	0.945269	0.688294	1.33502	1.43146	1.43066	1.48611	4.57185	-8.03587	3.69676	0.0417242	0.188879	1.37218	4.16675	-7.57771	2.69221	4.42382	-8.43598	2.21522	4.13446	-8.74987	2.84536	4.3555	-8.02864	3.67145	4.5789	-8.4039	3.94906	4.37575	-8.53043	4.40337	4.47077	-8.12647	3.05391	4.49579	-7.925	2.33785	4.46748	-8.37268	2.83893	4.44521	-7.90512	4.14942	4.29525	-7.98554	1.32821	4.36207	-8.19065	3.71593	4.49537	-7.80648	2.96154	4.32918	-7.53131	0.427743	4.22759	-8.64244	3.98413	4.51234	-8.92956	1.53601	4.44366	-8.51404	2.7219	4.52374	-8.69638	3.29072	4.3093	-7.93013	2.91468	4.31217	-8.27089	2.64768	4.59217	-7.23643	3.31899	-5.860400e+01	-1.637381e+03	-1.695985e+03
1400	0.961462	1.10471	0.818232	1.62461	1.20939	3.13061	2.35704	1.20118	1.17204	0.708038	0.962395	1.00998	1.12772	0.954066	1.34938	1.21978	1.35003	1.38112	4.51918	-7.51383	2.86445	0.0801278	0.0999326	1.76221	4.19417	-7.63363	0.716368	4.07933	-7.24585	1.9221	4.43442	-7.90851	3.61914	4.44712	-7.66786	4.25053	4.22544	-7.47261	1.62525	4.31477	-7.03971	4.10007	4.58917	-7.24825	4.12193	4.5699	-7.40013	0.578776	4.55835	-7.11439	4.00864	4.5987	-7.39301	1.75165	4.59666	-7.70353	1.86279	4.56896	-7.52875	3.0772	4.16392	-7.52658	3.55428	4.48217	-7.34054	2.05107	4.41624	-8.18636	2.46669	4.56496	-7.12553	2.54196	4.58451	-7.26972	1.47825	4.35607	-7.66745	1.95546	4.27718	-7.7767	1.46068	4.5583	-7.76643	4.25751	3.95401	-7.64054	1.9708	-5.344827e+01	-1.637920e+03	-1.691368e+03
1500	0.722792	0.400007	0.545333	2.62159	0.707884	3.09055	2.4358	1.12559	1.11718	0.677632	0.734476	0.998568	1.26255	0.868034	1.21574	1.27583	1.27922	1.32436	4.51755	-7.47931	2.38655	0.0632525	0.0863594	3.44184	4.33961	-7.21026	2.91367	4.13722	-7.47648	1.17579	4.375	-7.61107	1.10836	4.42323	-7.27441	2.52526	4.38291	-7.34387	0.931378	4.14249	-7.59803	4.13693	4.3977	-6.99608	-0.374465	4.39882	-7.59709	2.02427	4.50763	-7.31055	1.63105	4.47241	-7.02398	2.80375	4.56063	-6.75465	0.62505	4.58362	-7.233	3.77643	4.40264	-7.83507	3.22668	4.46512	-7.34362	1.43582	4.33129	-7.30724	1.98036	4.3077	-6.82171	2.03161	4.32304	-7.80875	-0.369289	4.47996	-7.14151	0.335852	4.55874	-7.3034	1.68145	4.4313	-7.61777	1.22407	4.53014	-7.15455	1.95168	-5.474623e+01	-1.640355e+03	-1.695101e+03
1600	1.12193	0.547202	1.19039	1.81172	0.781146	1.91205	2.60815	1.16287	1.17708	0.687208	0.663453	0.950152	1.02945	1.09136	1.41702	1.31606	1.19392	1.4452	4.49923	-7.19142	1.14445	0.149254	0.230995	6.56653	4.22851	-7.01816	-1.8347	4.23816	-6.75141	0.951746	4.52494	-7.38586	-1.99693	4.24415	-7.08464	-0.949112	4.43521	-7.19324	1.01514	4.48036	-7.11936	-1.6051	4.4108	-7.53118	3.15899	4.14478	-6.21077	0.449984	4.24106	-6.84907	0.743583	4.42076	-7.75665	0.544649	4.26451	-7.3307	0.923586	4.44295	-6.41452	1.12349	4.60435	-6.81534	0.792564	4.32541	-6.53482	3.22509	4.55824	-7.14665	-0.896809	4.54162	-8.24354	-1.30431	4.29881	-7.20988	4.04541	4.0157	-6.94019	0.960739	4.59574	-7.86676	0.910526	4.48291	-7.0873	3.69104	4.30478	-7.10396	1.53938	-7.879877e+01	-1.641763e+03	-1.720561e+03
1700	1.27426	0.716712	0.872278	1.57862	1.17125	3.096	3.15793	1.15899	0.99235	0.772181	0.927897	1.05398	0.8336	0.722281	1.30798	1.26301	1.33904	1.40057	4.42838	-6.83935	0.568513	0.167404	0.270714	2.30619	4.36047	-7.08114	-0.0899959	3.59707	-6.63968	-2.1358	3.80431	-7.11651	4.3322	3.94817	-7.9285	1.83922	4.17548	-6.26746	-0.992229	4.21531	-7.10955	0.589475	4.50024	-7.87774	0.251664	4.53447	-6.37818	0.751186	4.21217	-8.49619	1.99695	4.38102	-6.87	-0.898377	4.47909	-6.97634	-0.75098	4.03266	-7.27357	1.01677	4.49136	-6.19054	-0.152515	4.55326	-7.06758	0.430889	4.48962	-6.15828	0.139359	4.36938	-6.47618	-1.01654	4.34632	-6.88144	1.42256	4.28097	-5.92525	1.01907	4.18191	-6.83834	-0.580225	4.47956	-7.34513	-0.972884	4.45038	-6.62088	-0.0400755	-8.536639e+01	-1.635686e+03	-1.721052e+03
1800	0.849457	0.893187	0.797941	2.03048	0.679735	3.29939	3.11594	1.16943	0.99297	0.563532	0.732592	1.01876	0.867411	0.911801	1.67384	1.63488	1.16288	1.36344	4.47096	-6.49943	0.162271	0.028066	0.133376	2.17166	4.24091	-6.53827	1.68922	4.52098	-6.42815	-0.362371	4.46334	-6.36032	-0.436203	4.19285	-6.74339	1.15244	4.52347	-7.29722	0.564779	4.56118	-5.93649	-2.51208	4.49017	-6.31651	0.454648	4.30622	-6.71041	0.410432	4.38863	-6.4546	0.276115	4.55091	-6.28547	-1.1912	4.41067	-7.33858	2.06117	4.43643	-6.38662	0.44539	4.52347	-6.18199	0.923956	4.4689	-6.97612	0.299385	4.58998	-6.84884	0.810496	4.42834	-6.91517	-3.46269	4.24598	-6.64437	-2.02134	4.29972	-7.00425	-0.0557431	4.35343	-6.23866	1.01082	4.43912	-6.11964	0.0252058	4.18266	-6.8698	0.322065	-6.173530e+01	-1.640955e+03	-1.702690e+03
1900	0.87619	0.359261	1.1516	1.81978	1.16283	1.61747	3.09915	1.14817	1.14736	0.677818	0.582813	0.995174	1.07136	0.972019	1.14034	1.32273	1.16964	1.66171	4.60183	-7.33988	-3.18464	0.0865119	0.134483	4.34653	4.094	-7.77324	1.4656	4.37705	-7.20723	-3.76256	4.35226	-6.93715	-1.93859	4.54332	-8.20248	-3.61348	4.51294	-7.66726	-3.5781	4.40293	-7.56019	-3.20737	4.38045	-7.34396	-1.94482	4.35737	-7.27615	-0.461883	4.55065	-7.29164	-0.585047	4.56625	-6.93809	-4.04008	4.45441	-6.91634	-1.60138	4.44116	-7.65477	-1.92855	4.34582	-7.16648	-1.71032	4.50761	-7.62978	-1.25481	4.53004	-7.23058	-3.72972	4.4889	-7.45916	-4.5114	4.44531	-7.409	-3.0968	4.5271	-7.07298	0.0168489	4.44966	-7.35443	-1.20362	4.54235	-8.00649	-2.12267	4.37569	-7.82328	-3.82345	-5.698568e+01	-1.637757e+03	-1.694742e+03
