iter	M_lnTg(1)	M_lnUGT_VmaxC(1)	M_lnUGT_Km(1)	M_lnSULT_VmaxC(1)	M_lnSULT_Km_apap(1)	M_lnVmax_AS(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AS(1)	M_lnCLC_AG(1)	Var_lnfa(1)	Var_lnkSG_Vm(1)	Var_lnkSG_Km(1)	Var_lnTg(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AS(1)	Var_lnCLC_AG(1)	Var_lnkGA(1)	Var_lnkPAPS(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnkPAPS_syn(1)	Var_lnVmax_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	Verr_lnCU_APAP_mcg_samp(1)	Verr_lnCU_AG_mcg_samp(1)	Verr_lnCU_AS_mcg_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnCLC_APAP(1.1)	lnCLC_AS(1.1)	lnSULT_VmaxC(1.1)	lnCLC_AG(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnkPAPS_syn(1.1)	lnVmax_AS(1.1)	lnTg(1.1.1)	lnSULT_Km_apap(1.1.1)	lnCLC_APAP(1.1.1)	lnCLC_AS(1.1.1)	lnSULT_VmaxC(1.1.1)	lnCLC_AG(1.1.1)	lnUGT_Km(1.1.1)	lnUGT_VmaxC(1.1.1)	lnkPAPS_syn(1.1.1)	lnVmax_AS(1.1.1)	lnTg(1.1.2)	lnSULT_Km_apap(1.1.2)	lnCLC_APAP(1.1.2)	lnCLC_AS(1.1.2)	lnSULT_VmaxC(1.1.2)	lnCLC_AG(1.1.2)	lnUGT_Km(1.1.2)	lnUGT_VmaxC(1.1.2)	lnkPAPS_syn(1.1.2)	lnVmax_AS(1.1.2)	lnTg(1.1.3)	lnSULT_Km_apap(1.1.3)	lnCLC_APAP(1.1.3)	lnCLC_AS(1.1.3)	lnSULT_VmaxC(1.1.3)	lnCLC_AG(1.1.3)	lnUGT_Km(1.1.3)	lnUGT_VmaxC(1.1.3)	lnkPAPS_syn(1.1.3)	lnVmax_AS(1.1.3)	lnTg(1.1.4)	lnSULT_Km_apap(1.1.4)	lnCLC_APAP(1.1.4)	lnCLC_AS(1.1.4)	lnSULT_VmaxC(1.1.4)	lnCLC_AG(1.1.4)	lnUGT_Km(1.1.4)	lnUGT_VmaxC(1.1.4)	lnkPAPS_syn(1.1.4)	lnVmax_AS(1.1.4)	lnTg(1.1.5)	lnSULT_Km_apap(1.1.5)	lnCLC_APAP(1.1.5)	lnCLC_AS(1.1.5)	lnSULT_VmaxC(1.1.5)	lnCLC_AG(1.1.5)	lnUGT_Km(1.1.5)	lnUGT_VmaxC(1.1.5)	lnkPAPS_syn(1.1.5)	lnVmax_AS(1.1.5)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnCLC_APAP(1.2)	lnCLC_AS(1.2)	lnSULT_VmaxC(1.2)	lnCLC_AG(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnkPAPS_syn(1.2)	lnVmax_AS(1.2)	lnTg(1.2.1)	lnSULT_Km_apap(1.2.1)	lnCLC_APAP(1.2.1)	lnCLC_AS(1.2.1)	lnSULT_VmaxC(1.2.1)	lnCLC_AG(1.2.1)	lnUGT_Km(1.2.1)	lnUGT_VmaxC(1.2.1)	lnkPAPS_syn(1.2.1)	lnVmax_AS(1.2.1)	lnTg(1.2.2)	lnSULT_Km_apap(1.2.2)	lnCLC_APAP(1.2.2)	lnCLC_AS(1.2.2)	lnSULT_VmaxC(1.2.2)	lnCLC_AG(1.2.2)	lnUGT_Km(1.2.2)	lnUGT_VmaxC(1.2.2)	lnkPAPS_syn(1.2.2)	lnVmax_AS(1.2.2)	lnTg(1.2.3)	lnSULT_Km_apap(1.2.3)	lnCLC_APAP(1.2.3)	lnCLC_AS(1.2.3)	lnSULT_VmaxC(1.2.3)	lnCLC_AG(1.2.3)	lnUGT_Km(1.2.3)	lnUGT_VmaxC(1.2.3)	lnkPAPS_syn(1.2.3)	lnVmax_AS(1.2.3)	lnTg(1.2.4)	lnSULT_Km_apap(1.2.4)	lnCLC_APAP(1.2.4)	lnCLC_AS(1.2.4)	lnSULT_VmaxC(1.2.4)	lnCLC_AG(1.2.4)	lnUGT_Km(1.2.4)	lnUGT_VmaxC(1.2.4)	lnkPAPS_syn(1.2.4)	lnVmax_AS(1.2.4)	lnTg(1.2.5)	lnSULT_Km_apap(1.2.5)	lnCLC_APAP(1.2.5)	lnCLC_AS(1.2.5)	lnSULT_VmaxC(1.2.5)	lnCLC_AG(1.2.5)	lnUGT_Km(1.2.5)	lnUGT_VmaxC(1.2.5)	lnkPAPS_syn(1.2.5)	lnVmax_AS(1.2.5)	LnPrior	LnData	LnPosterior
2770	-2.28891	9.68906	8.47638	11.6042	5.25949	18.6881	0.686906	-5.97094	-5.22737	-5.31959	0.325448	0.153007	0.286613	0.0749006	2.61745	1.61504	3.09453	0.47319	0.178626	0.179911	0.879882	0.0864339	21.8822	0.0761437	0.110016	0.49975	0.499942	0.499394	0.498047	0.497398	0.498866	-2.48086	5.38425	-5.18135	-4.79389	2.00609	-4.7911	8.27877	7.86328	3.0542	18.7545	-2.42861	5.14807	-5.75736	-5.7621	5.82965	-5.81559	8.05326	8.54273	3.35375	19.0426	-2.46429	5.57754	-1.49181	-1.80031	6.48575	-1.54144	8.13587	9.24467	3.36188	18.529	-2.43833	4.96082	-5.17203	-5.56211	5.24721	-5.92373	8.67428	9.17835	3.64509	18.8884	-2.46438	5.34576	-5.30376	-4.96173	2.95763	-5.69662	8.4612	5.4522	3.51116	19.4121	-2.48359	5.10474	-5.72655	-5.09945	5.48144	-5.82349	8.75648	9.3507	3.11932	18.5342	-2.46908	5.67539	-4.4846	-5.09461	9.92123	-4.13629	8.50616	9.3688	3.09281	18.645	-2.3831	5.61271	-3.89465	-4.78568	5.86895	-3.9609	9.33332	9.55811	3.02788	18.3844	-2.49838	5.33578	-5.56711	-5.91957	6.05402	-5.3085	8.83008	9.54704	3.15015	18.5723	-2.47693	5.44646	-5.51271	-4.77904	5.86651	-5.45233	8.75963	9.24498	3.51111	18.7562	-2.45688	6.08853	-2.10061	-3.03368	1.15386	-2.29018	8.59576	9.51798	3.66921	19.0088	-2.49962	5.49831	-4.67733	-5.22345	6.11649	-5.32201	8.98307	9.6609	3.03898	19.0175	inf	-7.237582e+03	inf
2780	-2.37095	8.5834	7.87226	8.5133	5.24013	18.4628	0.686906	-5.90334	-5.71764	-5.02857	0.264705	0.475907	0.152147	0.0317859	3.15233	1.44067	2.90531	0.206915	0.178626	0.16265	0.889358	0.0772821	11.0061	0.0761437	0.0630191	0.49963	0.499995	0.498745	0.495831	0.499759	0.499985	-2.35378	5.23778	-4.42244	-4.98215	7.0811	-5.58763	8.40012	7.93049	3.0542	18.6037	-2.42861	5.59786	-5.00843	-5.54897	6.86757	-5.98262	7.60927	7.97362	3.13191	18.557	-2.45875	5.41671	-1.57035	-1.91774	6.45722	-1.53941	8.13587	9.19761	3.26531	18.7416	-2.43833	4.89141	-4.70999	-4.61423	5.50467	-5.7708	8.53096	9.07526	3.40551	18.7154	-2.49886	5.10384	-5.93132	-5.71774	2.66476	-5.95535	8.73766	4.95242	3.02802	18.7673	-2.49529	4.98587	-5.64557	-4.8356	5.48144	-5.85924	8.41591	9.07692	3.11932	18.4771	-2.42985	5.641	-5.76952	-5.09568	4.58143	-5.38072	8.78628	9.77513	3.09281	18.8938	-2.4394	5.74001	-3.67302	-4.31949	6.0606	-3.83086	9.30316	9.9077	3.05646	19.1154	-2.41158	5.3412	-5.95987	-5.90454	5.87271	-5.88574	8.7357	9.61331	3.48128	18.3226	-2.49122	5.78804	-5.50816	-5.09202	6.18925	-5.99518	8.89878	9.3447	3.26232	19.5305	-2.41164	5.8055	-2.31019	-5.15089	1.64152	-2.26013	8.81329	9.46568	3.13866	18.9166	-2.48538	5.5632	-5.20655	-5.56224	6.2636	-5.3264	8.77378	9.5168	3.40171	18.9705	inf	-7.242859e+03	inf
2790	-2.45322	7.62046	8.94539	12.7629	5.84099	18.5815	0.686906	-5.35636	-5.31663	-5.2788	0.298756	0.0652319	0.101599	0.0246693	1.77286	1.06949	2.3775	0.423174	0.0476739	0.166528	2.31589	0.0966875	10.5216	0.0761437	0.0609179	0.499946	0.499915	0.499342	0.498533	0.496265	0.499985	-2.48933	5.44474	-4.96551	-4.57545	6.11394	-4.73918	8.33927	7.52432	3.0542	18.6416	-2.45409	5.55923	-5.40708	-5.31913	6.98265	-5.6447	7.99081	8.4757	3.12071	18.927	-2.4341	5.41579	-1.57824	-1.7145	6.47463	-1.31747	8.14153	9.28015	3.27351	18.6838	-2.48958	5.02197	-5.72498	-5.50843	5.54495	-5.95683	8.49518	9.28593	3.04886	18.7154	-2.49103	5.41114	-5.51954	-3.91491	1.30992	-3.89812	8.30215	4.04313	3.16987	18.7358	-2.45174	4.96836	-4.37757	-5.67605	5.29938	-5.72395	8.23482	8.62482	3.28923	18.6939	-2.45779	5.65692	-3.92899	-5.99229	8.67275	-5.49711	9.19305	8.81434	3.09281	18.7373	-2.45038	5.8412	-3.61902	-4.35921	6.09055	-4.61937	9.27891	9.77312	3.15883	18.5977	-2.49886	5.53235	-5.26571	-5.95341	6.09952	-5.00693	8.92105	9.61813	3.18958	18.3509	-2.4168	5.79093	-5.7715	-5.39483	6.20734	-5.86287	8.79363	9.25658	3.52928	18.8951	-2.49989	5.90743	-2.15072	-5.10081	2.50141	-2.39794	8.79349	9.57914	3.39428	18.9152	-2.40778	5.51845	-4.0833	-5.59503	6.1303	-4.84435	8.65523	9.2328	3.31975	18.9238	inf	-7.235872e+03	inf
2800	-2.42204	8.6351	8.71827	5.6511	5.52377	19.004	0.686906	-5.87165	-4.61934	-3.75038	0.508154	0.166211	0.147062	0.0763529	2.80759	0.91292	4.74657	0.449602	0.346744	0.166528	1.36845	0.0576855	2.39648	0.0761437	0.19148	0.499885	0.499823	0.499519	0.499645	0.498017	0.499985	-2.48346	5.57475	-5.49408	-5.68718	4.244	-3.23716	8.42043	8.16603	3.0542	18.9543	-2.36265	5.51537	-5.9734	-4.87692	5.95533	-5.81484	7.96517	8.25491	3.43357	19.1724	-2.49389	5.57621	-1.57824	-1.83857	6.62619	-1.57235	8.1843	9.28015	3.21147	18.2761	-2.48958	5.43772	-5.34861	-5.59238	5.455	-5.74678	8.16877	8.66648	3.04886	18.9406	-2.46051	5.80513	-5.90412	-4.16397	1.00345	-5.2964	9.12332	5.43498	3.16987	19.0025	-2.41933	5.65418	-5.68436	-5.02781	5.85839	-5.84187	7.8847	8.17508	3.31172	19.1511	-2.49862	5.65692	-4.92481	-5.20499	5.30609	-4.97818	8.6895	9.99551	3.09281	18.7864	-2.45038	5.76024	-3.87674	-5.03803	6.1477	-3.7797	9.30917	9.67597	3.15435	18.1598	-2.45291	5.60716	-5.91894	-5.8585	6.05622	-4.88354	8.69277	9.45332	3.15701	18.8707	-2.30592	5.62373	-5.6913	-5.59079	5.87598	-5.38898	8.83087	9.25276	3.27196	18.1304	-2.49622	5.774	-1.97386	-5.81588	1.7551	-2.04307	8.86406	9.75525	3.08432	19.1279	-2.45303	5.51845	-4.77298	-5.97745	6.49132	-5.56009	8.15874	9.18933	3.25592	18.3382	inf	-7.242384e+03	inf
2810	-2.22906	9.09828	7.7654	4.71851	5.7003	18.6659	0.686906	-5.74102	-5.61889	-2.81611	0.154886	0.123347	0.175363	0.0582342	2.28284	1.80663	1.50624	0.36464	0.458235	0.166528	0.180143	0.185036	1.49574	0.0761437	0.273173	0.499925	0.499844	0.499949	0.499389	0.497931	0.498502	-2.48025	5.65877	-5.93356	-3.16054	6.36356	-3.64778	8.21016	8.627	3.0542	18.592	-2.36063	5.43856	-5.21931	-5.92456	6.20963	-4.99228	7.66723	8.17352	3.38213	17.669	-2.49006	5.35505	-1.59681	-1.85283	6.51757	-1.5983	8.23925	9.4385	3.17025	17.7005	-2.42888	5.20283	-5.7518	-4.56945	5.86195	-4.60339	7.88365	8.4581	3.18108	18.9142	-2.48127	5.86994	-5.31217	-3.47946	3.1002	-2.92154	8.8738	7.17664	3.38458	18.3754	-2.45674	5.4413	-5.57596	-5.87723	5.81687	-3.80055	7.90733	8.33852	3.24075	18.8575	-2.343	5.6667	-5.75571	-5.3709	4.92173	-4.73631	8.8366	8.87435	3.09281	18.4609	-2.44089	5.69763	-4.05461	-4.91691	6.04629	-4.30164	9.13795	9.67597	3.45998	19.7176	-2.40131	5.69199	-5.98793	-5.82187	6.11802	-4.61182	8.58338	9.20245	3.34935	18.116	-2.46585	5.77461	-5.77451	-5.76608	6.11526	-4.27179	8.70357	9.08639	3.02635	17.9264	-2.49917	5.77107	-2.06704	-5.56289	2.64388	-2.16252	8.88433	9.69502	3.08432	18.4046	-2.40917	5.42936	-5.74058	-5.62996	6.09318	-5.7324	8.4759	9.10956	3.48194	17.5415	inf	-7.257377e+03	inf
2820	-2.43285	8.50526	8.60916	5.78261	5.94564	18.9356	0.686906	-5.95353	-5.09462	-5.16654	0.0591792	0.123347	0.377627	0.0783986	2.28284	2.49918	1.14292	0.296762	0.138586	0.363144	0.180143	0.0910838	2.71973	0.0761437	0.116549	0.499991	0.499382	0.499982	0.499594	0.49873	0.496946	-2.49412	5.5838	-5.69681	-5.07041	4.53633	-5.59408	8.11009	8.51617	3.0542	18.4929	-2.34203	5.01828	-5.66386	-5.92102	6.66398	-5.80065	7.87934	8.54568	3.13552	17.9758	-2.49353	5.35505	-1.59681	-1.52773	6.46386	-1.4451	8.19871	9.27736	3.0201	18.4632	-2.34656	5.8288	-5.68202	-5.41196	6.08148	-5.49062	8.1055	8.59736	3.12838	18.6127	-2.48831	6.24455	-5.82234	-2.7007	2.12869	-5.75176	8.72123	6.86409	3.16972	18.2863	-2.46653	5.60141	-5.90717	-5.82044	5.90654	-5.23158	7.60614	8.06989	3.5796	18.41	-2.49768	5.7416	-5.11161	-5.93851	5.85354	-4.20005	9.14656	9.25829	3.09281	18.6924	-2.40617	5.70778	-4.18827	-4.41537	5.99187	-4.63614	9.30419	9.67772	3.42683	18.6367	-2.49163	5.13198	-5.86441	-5.8513	5.76163	-4.71794	8.59261	9.25132	3.34935	18.5933	-2.46822	5.60654	-4.70654	-5.21335	5.95122	-5.66591	8.56441	8.98013	3.18188	17.8716	-2.48876	6.23675	-2.09694	-1.94266	2.05416	-2.45061	8.81223	9.6803	3.05095	18.7558	-2.49027	5.37801	-5.84052	-4.42127	5.75608	-5.53085	8.85285	9.38181	3.0359	18.9495	inf	-7.240000e+03	inf
2830	-2.1661	8.83686	8.92854	7.40909	5.31077	17.669	0.686906	-5.10774	-3.50998	-5.9123	0.072294	0.0797777	0.0679447	0.0970196	2.28284	1.39378	2.18638	0.200569	0.127804	0.257369	0.23441	0.0723676	2.3825	0.0761437	0.146139	0.499887	0.499978	0.499798	0.497594	0.495244	0.499026	-2.49844	5.36608	-5.25165	-4.1811	5.61874	-4.82876	8.26254	8.53809	3.0542	18.1321	-2.42003	5.40934	-5.00752	-5.80379	6.83982	-5.45166	8.50612	8.89507	3.0309	18.0732	-2.47707	5.3721	-1.72099	-1.60858	6.40885	-1.5656	8.12699	9.15878	3.00002	18.6514	-2.26519	5.90087	-5.74363	-5.64126	6.32587	-5.43421	7.98053	8.54519	3.35164	18.0012	-2.4957	5.28942	-4.61239	-4.0289	2.48035	-5.85457	9.14661	7.03292	3.12733	18.5348	-2.47204	5.59415	-5.8272	-5.31308	5.7859	-5.9911	7.74479	8.15065	3.01976	17.9263	-2.45873	5.32038	-5.87624	-4.85708	5.08948	-5.79931	9.37815	9.29395	3.09281	18.4368	-2.46435	5.74545	-4.14236	-4.49369	6.15572	-4.08414	8.9679	9.4008	3.11912	18.186	-2.49163	5.15606	-5.81029	-5.5438	5.53364	-5.53038	9.16417	9.55337	3.25247	18.561	-2.43187	5.25483	-5.37617	-5.78884	5.76373	-5.96976	8.4536	9.12509	3.17877	18.132	-2.49667	5.36274	-1.97637	-2.24829	1.71943	-2.27202	8.7887	9.62093	3.13386	18.2487	-2.48597	5.49343	-4.93178	-5.43315	6.20216	-5.58643	8.44708	9.28566	3.29423	18.041	inf	-7.239275e+03	inf
2840	-2.4486	8.6163	7.60848	8.714	5.38187	18.7016	0.686906	-5.54055	-5.26327	-3.36445	0.429756	0.114764	0.175816	0.0413419	3.08379	1.51224	1.92621	0.0703929	0.0590213	0.524146	0.26129	0.0896476	5.47091	0.0761437	0.120366	0.499953	0.499232	0.49933	0.497277	0.499647	0.499616	-2.4608	5.75136	-4.866	-3.59074	6.29047	-4.30731	7.89995	7.99255	3.0542	18.3983	-2.3874	5.43333	-5.3072	-5.12089	6.48413	-5.81957	8.12485	8.61637	3.12401	18.7168	-2.48912	5.26066	-1.66276	-1.58441	6.40885	-1.34128	7.73288	8.80093	3.00002	18.0034	-2.39075	5.90087	-5.20887	-5.05287	6.49961	-5.68507	8.15939	8.85756	3.01177	18.0012	-2.45703	6.16748	-5.12378	-4.35095	2.84303	-5.42295	9.09445	5.94835	3.3725	18.7028	-2.45031	5.69956	-5.74203	-4.86074	5.92311	-5.84009	7.73646	8.10824	3.32862	18.145	-2.43846	5.31406	-3.8506	-5.06733	5.74625	-4.6337	9.01986	9.48429	3.09281	18.2442	-2.45807	5.52458	-3.73481	-4.52411	6.01839	-4.1533	9.34776	9.43737	3.15431	17.7647	-2.43068	5.26656	-4.46903	-5.34266	5.96867	-5.33464	8.71308	9.56036	3.14874	18.3096	-2.45951	5.38833	-5.67306	-4.58781	5.60373	-5.17859	9.18436	9.57523	3.10385	18.0083	-2.48869	5.39778	-2.33844	-4.01563	0.0546986	-2.05038	8.7803	9.62093	3.00762	17.9311	-2.4865	5.21461	-5.7447	-5.22271	6.0194	-5.89056	8.65288	9.47582	3.09679	19.0613	inf	-7.245697e+03	inf
2850	-2.4786	8.32414	7.7277	10.5127	5.53297	18.3123	0.686906	-3.40219	-5.59412	-5.91284	0.206067	0.120103	0.208705	0.0364616	2.24406	1.04567	3.28601	0.23194	0.0952914	1.59787	0.497024	0.212933	6.59213	0.0761437	0.111601	0.499877	0.499948	0.499922	0.499134	0.491833	0.499533	-2.4608	5.65913	-5.49665	-4.78871	5.70127	-5.20164	8.14047	8.42882	3.0542	18.7918	-2.39291	5.32913	-5.36538	-5.60201	6.46862	-5.99135	7.69851	8.31562	3.10223	18.8005	-2.47227	5.41709	-1.66276	-1.78322	6.31956	-1.33756	7.73256	8.76709	3.19484	19.0358	-2.48672	5.90087	-5.0405	-5.24838	6.26638	-5.54411	8.32975	8.93687	3.48991	18.6556	-2.488	5.83875	-5.32473	-5.4597	0.297622	-5.27026	9.04182	6.09338	3.17449	19.0933	-2.41367	5.35601	-5.84451	-5.75987	5.64945	-5.313	7.69067	8.15162	3.24801	19.5479	-2.45809	5.75122	-3.44541	-5.5668	8.24811	-5.13043	7.88756	9.02347	3.09281	18.4182	-2.41556	5.61312	-4.93506	-4.4454	5.93705	-4.22333	8.37178	8.73548	3.1999	17.978	-2.41977	5.63329	-4.60412	-5.26389	6.32654	-5.31479	8.60966	9.41453	3.60535	18.0214	-2.45951	5.20322	-5.67377	-5.43481	5.82345	-5.68551	9.06578	9.70115	3.10385	18.5176	-2.47641	5.47589	-2.12625	-5.79443	1.16057	-2.40111	9.19275	9.95672	3.30044	18.9018	-2.49362	5.23217	-5.67888	-5.59384	5.88258	-5.5466	8.88992	9.60956	3.27638	18.2368	inf	-7.239117e+03	inf
2860	-2.46113	7.984	7.69003	11.4846	5.72648	18.6378	0.686906	-4.48377	-5.33469	-4.78331	0.410129	0.235283	0.13306	0.0335974	2.34119	1.52913	1.85588	0.164904	0.0552821	0.542303	0.65722	0.184549	7.99009	0.0761437	0.0857099	0.499978	0.499831	0.499577	0.494896	0.498322	0.499766	-2.41896	5.57005	-5.58294	-5.41404	9.39867	-4.18497	8.9013	7.56424	3.0542	18.8187	-2.46305	4.91407	-5.9321	-5.64241	7.39683	-5.58315	8.00798	8.44408	3.01682	19.0345	-2.49729	5.22851	-1.30979	-1.64319	6.31956	-1.51805	7.76932	8.84416	3.01257	18.7975	-2.49375	5.86843	-5.04487	-5.93867	6.19297	-5.07955	8.15783	8.68826	3.14092	18.7457	-2.4152	5.94162	-4.64167	-5.91481	2.20996	-4.66112	9.20474	5.59022	3.09596	19.2041	-2.44277	5.38446	-5.15902	-5.64924	5.64945	-5.61258	7.64249	7.9655	3.03159	18.4396	-2.45004	5.28639	-4.74564	-5.79926	6.84183	-5.28834	8.02356	9.23871	3.09281	18.3733	-2.46493	5.8615	-4.70435	-4.02523	6.00727	-3.56226	8.07601	8.35849	3.48426	18.4137	-2.35549	5.7254	-4.70413	-5.93173	6.33215	-5.01251	8.36481	9.20296	3.32268	17.5696	-2.49526	5.40091	-5.36254	-5.42264	5.62292	-5.23778	9.35862	9.73532	3.5543	18.0771	-2.42369	5.48692	-2.04766	-4.83251	1.65687	-1.85379	9.21446	10.0528	3.58487	18.547	-2.49985	5.36156	-4.59418	-4.65379	5.94228	-5.34687	8.84975	9.62595	3.1824	17.9381	inf	-7.245089e+03	inf
2870	-2.45058	8.81044	8.21453	8.31424	6.1586	18.0658	0.686906	-5.8728	-5.62408	-5.95055	0.483948	0.0935786	0.0542131	0.0308773	2.05641	5.74675	2.97059	0.164904	0.15876	0.903316	1.28662	0.226246	5.21989	0.0761437	0.351681	0.499936	0.49999	0.499929	0.485459	0.498578	0.497543	-2.44928	5.7613	-5.15213	-5.7135	8.37441	-4.56775	7.62433	8.0353	3.0542	18.1341	-2.49307	6.37758	-5.42865	-5.76877	7.846	-5.61918	7.78796	8.3938	3.13834	17.9289	-2.46238	5.48479	-1.50722	-1.74265	6.58031	-1.42695	7.67086	8.7004	3.06656	17.1335	-2.45826	5.86843	-5.94546	-5.22636	6.23481	-5.66113	8.38944	8.83053	3.14092	17.9287	-2.46105	5.83199	-5.41373	-1.31717	2.44483	-4.10375	9.19633	5.30179	3.15043	18.7745	-2.4427	5.05429	-5.61508	-5.8274	5.53126	-4.9878	7.77476	8.33462	3.00014	17.5842	-2.4292	5.82582	-4.81915	-4.54513	5.33209	-5.20733	8.79893	8.93929	3.09281	18.1183	-2.40311	5.27787	-4.14147	-5.13358	5.50342	-4.1231	8.12726	8.52508	3.33376	18.993	-2.47804	5.53774	-5.91626	-5.97627	6.01138	-5.92446	8.93477	9.28969	3.29358	17.6019	-2.46122	5.40842	-5.46229	-5.20041	5.74476	-5.126	8.82808	9.32131	3.33641	17.7607	-2.49285	5.88949	-2.10147	-3.13136	2.08398	-2.17598	9.14396	10.0885	3.11735	18.4986	-2.47979	5.46229	-4.25465	-4.67574	6.0448	-5.62195	9.11552	9.68887	3.10096	18.3805	inf	-7.234511e+03	inf
2880	-2.35997	8.73283	8.23922	3.57008	5.85074	17.9023	0.686906	-5.81837	-4.3301	-3.49042	0.301358	0.25946	0.426439	0.0429117	2.05641	1.02081	3.42099	0.247128	0.116191	0.113642	1.15039	0.0975823	3.54079	0.0761437	0.203236	0.499954	0.499401	0.499773	0.490084	0.492419	0.49749	-2.49048	5.49113	-4.69233	-4.45209	5.86769	-3.66057	8.408	8.03021	3.0542	18.1569	-2.49926	5.38567	-5.81906	-5.18925	6.43787	-5.7057	7.89223	8.64164	3.22245	19.061	-2.49781	5.39052	-1.42582	-1.65977	6.61228	-1.5359	7.8542	8.97881	3.1048	17.7736	-2.45826	5.86843	-4.98266	-5.56305	6.32672	-5.79678	8.27736	8.80337	3.00399	17.8983	-2.47787	5.79723	-5.34095	-3.2012	2.75874	-2.14911	8.81513	4.64535	3.1206	17.9062	-2.47753	5.35732	-5.33902	-5.7988	5.63615	-5.99703	8.45103	8.8542	3.00014	18.0986	-2.49922	5.43184	-5.257	-5.22925	5.71725	-4.34597	9.23327	9.12593	3.09281	17.4081	-2.34161	5.30864	-3.86537	-4.91438	5.58811	-4.25819	8.36225	8.68692	3.09012	17.144	-2.47804	5.3009	-5.85629	-5.75236	5.90502	-5.8385	8.93477	9.53878	3.31578	17.217	-2.35517	5.34565	-5.82786	-5.94142	5.71603	-4.39442	8.93262	9.43155	3.06946	17.425	-2.41845	5.68863	-2.20539	-3.52496	1.3409	-2.17598	9.08497	9.7618	3.7108	17.7127	-2.48038	5.51472	-5.26335	-5.8917	5.98342	-3.83486	8.99021	9.68887	3.1455	17.6583	inf	-7.244264e+03	inf
2890	-2.45048	8.17031	8.83232	6.07875	5.4905	18.2944	0.686906	-5.84496	-5.03623	-5.79791	0.0464269	0.646746	0.0582232	0.0314114	2.05641	1.08498	2.1118	0.0960005	0.116191	0.377375	1.0037	0.0282278	3.38326	0.0761437	0.146925	0.499941	0.499919	0.499522	0.498005	0.498738	0.498455	-2.48182	5.49113	-5.43231	-5.82928	6.53974	-5.81866	8.43626	7.77975	3.0542	17.8779	-2.48565	5.50005	-5.6032	-5.55861	6.43787	-5.28518	8.10192	8.92434	3.40853	18.6452	-2.4997	5.45619	-1.7162	-1.68903	6.54668	-1.41748	7.96341	8.93453	3.03638	17.6902	-2.47109	5.46272	-5.41776	-5.38599	5.98467	-5.746	8.12342	8.6647	3.35547	17.8623	-2.44902	5.55019	-5.0502	-5.50428	2.1014	-5.80588	8.74031	5.11396	3.17587	18.1999	-2.44176	5.35732	-5.18806	-5.68726	5.84408	-5.1445	8.34552	8.69901	3.20708	18.1425	-2.49922	5.45529	-5.25967	-4.87541	4.45544	-5.31163	8.87374	9.62585	3.09281	17.7864	-2.38038	5.35698	-4.11263	-4.28674	5.60105	-4.25819	8.52072	8.88193	3.29137	17.8866	-2.44393	5.4089	-5.74956	-4.86126	5.83852	-5.87907	8.97288	9.68986	3.38026	18.2717	-2.47661	5.46105	-5.64834	-5.96739	5.54551	-5.67847	9.04821	9.4377	3.11322	17.6395	-2.43475	5.68536	-2.10379	-5.94324	0.59893	-2.30171	8.80175	9.66007	3.1327	18.1873	-2.36947	5.44096	-5.30794	-4.7563	6.3116	-5.65774	8.62565	9.55686	3.07266	18.1656	inf	-7.237150e+03	inf
