iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
0	0.358176	0.911433	3.04433	0.0529481	0.54722	0.0448421	2.43774	0.0474442	0.116877	0.0787062	0.107583	-6.05716	0.0767415	-4.34172	0.214471	0.329405	1.29417	-5.76898	0.394502	-4.33268	-6.0945	-0.137804	-3.0806	-5.69564	0.0404602	-3.15602	-6.35344	0.726019	-3.80081	-1.096717e+01	-5.918038e+03	-5.929006e+03
100	1.07806	0.963043	0.984289	0.761397	0.559544	0.720024	0.838015	0.58003	0.368789	0.792658	0.366504	-2.21383	-2.49486	3.31768	0.0874993	0.203223	2.39785	-2.0355	-1.8387	4.15956	-2.05306	-2.26878	3.72932	-2.52071	-2.02704	4.42923	-2.09206	-3.41324	1.13636	-2.403503e+01	-3.424863e+02	-3.665213e+02
200	0.996952	1.26163	0.802954	0.771356	0.608596	0.744177	1.15317	0.394458	0.504679	0.883821	0.669825	-2.18674	-2.62791	4.05415	0.445049	0.286203	2.54622	-2.83228	-2.57649	3.38729	-1.81335	-2.20845	4.19997	-2.78632	-2.52527	4.37513	-2.0091	-2.63969	3.61414	-2.677953e+01	-3.415267e+02	-3.683062e+02
300	1.14396	1.12913	0.499995	0.670319	0.552855	0.891765	0.750679	0.349079	0.609089	0.672867	0.559684	-2.469	-2.7194	4.57812	0.324305	0.164995	1.13204	-2.43574	-2.81729	4.46869	-1.54913	-2.3878	4.5372	-3.26282	-3.16671	1.76093	-1.17417	-2.70201	3.98231	-2.724837e+01	-3.383630e+02	-3.656114e+02
400	1.11004	1.01517	0.565486	0.723846	0.58196	0.685511	0.846932	0.391658	0.526196	0.878682	0.825498	-1.44923	-2.05308	4.52282	0.264721	0.165135	1.619	-2.33138	-1.84286	3.76373	-2.28558	-2.11812	2.9049	-2.93023	-2.53224	3.51793	-1.06125	-2.29746	3.33874	-2.814134e+01	-3.393157e+02	-3.674570e+02
500	0.939899	1.09682	0.614146	0.795734	0.618654	0.880577	0.871369	0.435066	0.50451	0.907665	0.791777	-2.58789	-2.58684	2.67313	0.242043	0.0880395	1.37812	-2.7495	-2.40179	3.52985	-2.56249	-3.5857	2.75836	-2.85279	-2.75223	1.91356	-2.51516	-2.91753	0.229015	-2.820182e+01	-3.430107e+02	-3.712125e+02
600	1.07733	1.17045	0.605336	0.798371	0.688472	0.956334	0.657919	0.747819	0.462131	0.755875	0.607577	-2.52485	-1.90275	4.52376	0.442504	0.198903	1.4331	-2.02718	-2.67019	4.49124	-1.63361	-1.60013	3.11709	-2.44875	-2.06144	4.1913	-1.9374	-2.01432	3.38029	-2.596971e+01	-3.387406e+02	-3.647103e+02
700	1.03632	1.07949	0.643817	0.785559	0.581816	0.747048	0.564026	0.342718	0.508867	0.674596	0.691287	-2.66551	-2.44485	3.1688	0.274995	0.0860089	8.40912	-2.62453	-2.22175	3.76926	-1.55169	-2.47991	4.54664	-3.87703	-2.06188	1.47538	-1.99676	-2.03315	0.60539	-3.170744e+01	-3.361215e+02	-3.678289e+02
800	0.960526	1.13828	0.706394	0.803332	0.513793	0.782638	1.01391	0.200757	0.358036	0.952123	0.357953	-1.95937	-1.39406	3.93018	0.199356	0.0646558	0.958258	-2.06979	-1.58371	3.7474	-1.73098	-1.76195	3.76577	-2.52434	-1.55996	3.43748	-1.59236	-1.73419	1.63594	-2.122014e+01	-3.386146e+02	-3.598347e+02
900	1.07268	1.0655	0.647465	0.742965	0.544523	0.970811	0.638258	0.358541	0.468911	0.82173	0.557073	-2.16157	-1.99974	3.96138	0.191925	0.175508	0.601934	-2.40677	-2.23091	3.50079	-1.78507	-1.44464	2.77713	-2.52462	-1.8889	4.42878	-1.81638	-1.61004	3.89857	-2.253653e+01	-3.371314e+02	-3.596680e+02
