Level	Simulation	Output_Var	Time	Data	Prediction
1_1_1	1	lnCPL_APAP_mcgL	0.5	11.1496	11.2836
1_1_1	1	lnCPL_APAP_mcgL	0.75	11.357	11.3262
1_1_1	1	lnCPL_APAP_mcgL	1	11.1583	11.317
1_1_1	1	lnCPL_APAP_mcgL	1.5	10.9794	11.2375
1_1_1	1	lnCPL_APAP_mcgL	2	10.9794	11.1268
1_1_1	1	lnCPL_APAP_mcgL	3	10.8735	10.8796
1_1_1	1	lnCPL_APAP_mcgL	4	10.6532	10.6227
1_1_1	1	lnCPL_APAP_mcgL	6	10.1775	10.0986
1_1_1	1	lnCPL_APAP_mcgL	8	9.6145	9.56635
1_1_1	1	lnCPL_APAP_mcgL	10	-1	9.02941

1_1_1	1	lnCPL_AG_mcgL	0.5	9.3288	9.66134
1_1_1	1	lnCPL_AG_mcgL	0.75	10.1109	10.246
1_1_1	1	lnCPL_AG_mcgL	1	10.5093	10.615
1_1_1	1	lnCPL_AG_mcgL	1.5	11.0057	11.0635
1_1_1	1	lnCPL_AG_mcgL	2	11.2879	11.321
1_1_1	1	lnCPL_AG_mcgL	3	11.5434	11.5705
1_1_1	1	lnCPL_AG_mcgL	4	11.5929	11.6374
1_1_1	1	lnCPL_AG_mcgL	6	11.4362	11.5095
1_1_1	1	lnCPL_AG_mcgL	8	11.0941	11.2126
1_1_1	1	lnCPL_AG_mcgL	10	10.7324	10.8346
1_1_1	1	lnCPL_AG_mcgL	12	10.3191	10.4106

1_1_1	1	lnCPL_AS_mcgL	0.5	8.6702	8.55065
1_1_1	1	lnCPL_AS_mcgL	0.75	9.1882	8.9615
1_1_1	1	lnCPL_AS_mcgL	1	9.3634	9.21962
1_1_1	1	lnCPL_AS_mcgL	1.5	9.577	9.53363
1_1_1	1	lnCPL_AS_mcgL	2	9.7297	9.71678
1_1_1	1	lnCPL_AS_mcgL	3	9.8477	9.90317
1_1_1	1	lnCPL_AS_mcgL	4	9.9619	9.96422
1_1_1	1	lnCPL_AS_mcgL	6	9.8872	9.89554
1_1_1	1	lnCPL_AS_mcgL	8	9.689	9.68555
1_1_1	1	lnCPL_AS_mcgL	10	9.4287	9.39388
1_1_1	1	lnCPL_AS_mcgL	12	9.0757	9.04932

1_1_1	1	lnCU_APAP_mcg	0	-1	-20

1_1_1	1	lnCU_AG_mcg	0	-1	-20

1_1_1	1	lnCU_AS_mcg	0	-1	-20


1_1_2	2	lnCPL_APAP_mcgL	0.25	9.6486	9.95269
1_1_2	2	lnCPL_APAP_mcgL	0.5	9.8363	9.99729
1_1_2	2	lnCPL_APAP_mcgL	0.75	9.8416	9.93804
1_1_2	2	lnCPL_APAP_mcgL	1	9.7981	9.86372
1_1_2	2	lnCPL_APAP_mcgL	1.5	9.655	9.70821
1_1_2	2	lnCPL_APAP_mcgL	2	9.5178	9.55189
1_1_2	2	lnCPL_APAP_mcgL	3	9.2203	9.23829
1_1_2	2	lnCPL_APAP_mcgL	4	8.9187	8.92295
1_1_2	2	lnCPL_APAP_mcgL	6	8.294	8.28839
1_1_2	2	lnCPL_APAP_mcgL	8	7.836	7.65067

1_1_2	2	lnCPL_AG_mcgL	0.25	8.0722	8.09692
1_1_2	2	lnCPL_AG_mcgL	0.5	8.9804	9.10856
1_1_2	2	lnCPL_AG_mcgL	0.75	9.5047	9.52662
1_1_2	2	lnCPL_AG_mcgL	1	9.806	9.74652
1_1_2	2	lnCPL_AG_mcgL	1.5	10.1138	9.95272
1_1_2	2	lnCPL_AG_mcgL	2	10.2139	10.0296
1_1_2	2	lnCPL_AG_mcgL	3	10.1567	10.0313
1_1_2	2	lnCPL_AG_mcgL	4	10.0871	9.93319
1_1_2	2	lnCPL_AG_mcgL	6	9.6304	9.58904
1_1_2	2	lnCPL_AG_mcgL	8	9.2425	9.13958

1_1_2	2	lnCPL_AS_mcgL	0.25	8.1743	8.10944
1_1_2	2	lnCPL_AS_mcgL	0.5	8.8166	8.72195
1_1_2	2	lnCPL_AS_mcgL	0.75	9.0136	8.94375
1_1_2	2	lnCPL_AS_mcgL	1	9.1653	9.04507
1_1_2	2	lnCPL_AS_mcgL	1.5	9.1427	9.11227
1_1_2	2	lnCPL_AS_mcgL	2	9.0802	9.10135
1_1_2	2	lnCPL_AS_mcgL	3	8.9097	8.97434
1_1_2	2	lnCPL_AS_mcgL	4	8.8052	8.77278
1_1_2	2	lnCPL_AS_mcgL	6	8.394	8.26219
1_1_2	2	lnCPL_AS_mcgL	8	7.9587	7.68305

1_1_2	2	lnCU_APAP_mcg	0.6	8.6878	8.91593
1_1_2	2	lnCU_APAP_mcg	1.6	9.7585	9.92599
1_1_2	2	lnCU_APAP_mcg	2.6	10.1999	10.3086
1_1_2	2	lnCU_APAP_mcg	3.6	10.44	10.5175
1_1_2	2	lnCU_APAP_mcg	4.6	10.5739	10.6463
1_1_2	2	lnCU_APAP_mcg	5.6	10.669	10.7307
1_1_2	2	lnCU_APAP_mcg	6.5	10.7277	10.7831
1_1_2	2	lnCU_APAP_mcg	7.5	10.7893	10.8242
1_1_2	2	lnCU_APAP_mcg	8.5	10.8198	10.8531
1_1_2	2	lnCU_APAP_mcg	9.6	10.8532	10.8752
1_1_2	2	lnCU_APAP_mcg	10.5	10.8799	10.8881
1_1_2	2	lnCU_APAP_mcg	11.5	10.9041	10.8986

1_1_2	2	lnCU_AG_mcg	0.6	10.7199	10.2167
1_1_2	2	lnCU_AG_mcg	1.6	12.3436	12.2025
1_1_2	2	lnCU_AG_mcg	2.6	12.9835	12.9532
1_1_2	2	lnCU_AG_mcg	3.6	13.3256	13.3749
1_1_2	2	lnCU_AG_mcg	4.6	13.5523	13.6453
1_1_2	2	lnCU_AG_mcg	5.6	13.7181	13.8298
1_1_2	2	lnCU_AG_mcg	6.5	13.8157	13.9488
1_1_2	2	lnCU_AG_mcg	7.5	13.8928	14.0456
1_1_2	2	lnCU_AG_mcg	8.5	13.9512	14.1161
1_1_2	2	lnCU_AG_mcg	9.6	14.0045	14.1722
1_1_2	2	lnCU_AG_mcg	10.5	14.038	14.206
1_1_2	2	lnCU_AG_mcg	11.5	14.0671	14.2343

1_1_2	2	lnCU_AS_mcg	0.6	10.5596	10.1616
1_1_2	2	lnCU_AS_mcg	1.6	11.7824	11.7458
1_1_2	2	lnCU_AS_mcg	2.6	12.2527	12.3519
1_1_2	2	lnCU_AS_mcg	3.6	12.5145	12.687
1_1_2	2	lnCU_AS_mcg	4.6	12.6987	12.8957
1_1_2	2	lnCU_AS_mcg	5.6	12.8421	13.0334
1_1_2	2	lnCU_AS_mcg	6.5	12.9312	13.1192
1_1_2	2	lnCU_AS_mcg	7.5	13.0026	13.1867
1_1_2	2	lnCU_AS_mcg	8.5	13.0563	13.2341
1_1_2	2	lnCU_AS_mcg	9.6	13.1042	13.2706
1_1_2	2	lnCU_AS_mcg	10.5	13.1349	13.2919
1_1_2	2	lnCU_AS_mcg	11.5	13.1646	13.3092


1_1_3	3	lnCPL_APAP_mcgL	0.5	9.2797	9.58641
1_1_3	3	lnCPL_APAP_mcgL	1	9.4681	9.50388
1_1_3	3	lnCPL_APAP_mcgL	1.5	9.2923	9.35929
1_1_3	3	lnCPL_APAP_mcgL	2	9.0719	9.20288
1_1_3	3	lnCPL_APAP_mcgL	3	8.7246	8.88336
1_1_3	3	lnCPL_APAP_mcgL	4	8.3994	8.5618
1_1_3	3	lnCPL_APAP_mcgL	5	8.1881	8.23935
1_1_3	3	lnCPL_APAP_mcgL	6	7.892	7.91627
1_1_3	3	lnCPL_APAP_mcgL	8	7.3309	7.26891
1_1_3	3	lnCPL_APAP_mcgL	10	-1	6.62058
1_1_3	3	lnCPL_APAP_mcgL	12	-1	5.97175

1_1_3	3	lnCPL_AG_mcgL	0.5	8.3935	8.58395
1_1_3	3	lnCPL_AG_mcgL	1	9.3632	9.36843
1_1_3	3	lnCPL_AG_mcgL	1.5	9.8072	9.66807
1_1_3	3	lnCPL_AG_mcgL	2	9.982	9.80411
1_1_3	3	lnCPL_AG_mcgL	3	10.0493	9.87876
1_1_3	3	lnCPL_AG_mcgL	4	9.926	9.83164
1_1_3	3	lnCPL_AG_mcgL	5	9.7817	9.72071
1_1_3	3	lnCPL_AG_mcgL	6	9.552	9.56954
1_1_3	3	lnCPL_AG_mcgL	8	9.1014	9.19104
1_1_3	3	lnCPL_AG_mcgL	10	8.6473	8.74842
1_1_3	3	lnCPL_AG_mcgL	12	-1	8.26513

1_1_3	3	lnCPL_AS_mcgL	0.5	8.317	8.29946
1_1_3	3	lnCPL_AS_mcgL	1	8.7968	8.71973
1_1_3	3	lnCPL_AS_mcgL	1.5	8.9727	8.84599
1_1_3	3	lnCPL_AS_mcgL	2	8.887	8.87824
1_1_3	3	lnCPL_AS_mcgL	3	8.7968	8.81768
1_1_3	3	lnCPL_AS_mcgL	4	8.539	8.66882
1_1_3	3	lnCPL_AS_mcgL	5	8.4138	8.46956
1_1_3	3	lnCPL_AS_mcgL	6	8.1712	8.23781
1_1_3	3	lnCPL_AS_mcgL	8	7.6798	7.71351
1_1_3	3	lnCPL_AS_mcgL	10	7.2098	7.14024
1_1_3	3	lnCPL_AS_mcgL	12	-1	6.53863

1_1_3	3	lnCU_APAP_mcg	0	-1	-20

1_1_3	3	lnCU_AG_mcg	0	-1	-20

1_1_3	3	lnCU_AS_mcg	0	-1	-20


1_1_4	4	lnCPL_APAP_mcgL	0.0732	7.0984	7.7973
1_1_4	4	lnCPL_APAP_mcgL	0.115	8.1017	8.28359
1_1_4	4	lnCPL_APAP_mcgL	0.151	8.6587	8.5202
1_1_4	4	lnCPL_APAP_mcgL	0.181	9.0009	8.6533
1_1_4	4	lnCPL_APAP_mcgL	0.227	9.278	8.79203
1_1_4	4	lnCPL_APAP_mcgL	0.321	9.2686	8.94635
1_1_4	4	lnCPL_APAP_mcgL	0.423	9.2399	9.02276
1_1_4	4	lnCPL_APAP_mcgL	0.486	9.1952	9.04686
1_1_4	4	lnCPL_APAP_mcgL	0.636	9.0312	9.06695
1_1_4	4	lnCPL_APAP_mcgL	0.817	8.9746	9.05235
1_1_4	4	lnCPL_APAP_mcgL	1	8.9052	9.01406
1_1_4	4	lnCPL_APAP_mcgL	1.25	8.7842	8.94022
1_1_4	4	lnCPL_APAP_mcgL	1.5	8.6759	8.85202
1_1_4	4	lnCPL_APAP_mcgL	2	8.5331	8.65438
1_1_4	4	lnCPL_APAP_mcgL	3	8.1691	8.22943
1_1_4	4	lnCPL_APAP_mcgL	4	7.779	7.79527
1_1_4	4	lnCPL_APAP_mcgL	5	7.4616	7.35934
1_1_4	4	lnCPL_APAP_mcgL	6	7.1778	6.92285

1_1_4	4	lnCPL_AG_mcgL	0	-1	-20

1_1_4	4	lnCPL_AS_mcgL	0	-1	-20

1_1_4	4	lnCU_APAP_mcg	0	-1	-20

1_1_4	4	lnCU_AG_mcg	0	-1	-20

1_1_4	4	lnCU_AS_mcg	0	-1	-20


1_1_5	5	lnCPL_APAP_mcgL	0.5	7.5756	7.71428
1_1_5	5	lnCPL_APAP_mcgL	1	7.8973	7.82061
1_1_5	5	lnCPL_APAP_mcgL	1.5	8.0359	7.76458
1_1_5	5	lnCPL_APAP_mcgL	2	7.9409	7.65346
1_1_5	5	lnCPL_APAP_mcgL	2.5	7.7536	7.51927
1_1_5	5	lnCPL_APAP_mcgL	3	7.5909	7.37474
1_1_5	5	lnCPL_APAP_mcgL	4	7.3395	7.07389
1_1_5	5	lnCPL_APAP_mcgL	6	6.6758	6.46122
1_1_5	5	lnCPL_APAP_mcgL	8	6.1654	5.84662
1_1_5	5	lnCPL_APAP_mcgL	10	-1	5.23173

1_1_5	5	lnCPL_AG_mcgL	0.5	5.7038	6.52573
1_1_5	5	lnCPL_AG_mcgL	1	7.6639	7.42336
1_1_5	5	lnCPL_AG_mcgL	1.5	8.149	7.78882
1_1_5	5	lnCPL_AG_mcgL	2	8.3687	7.97502
1_1_5	5	lnCPL_AG_mcgL	2.5	8.468	8.07571
1_1_5	5	lnCPL_AG_mcgL	3	8.5192	8.12712
1_1_5	5	lnCPL_AG_mcgL	4	8.4338	8.14304
1_1_5	5	lnCPL_AG_mcgL	6	8.052	7.99231
1_1_5	5	lnCPL_AG_mcgL	8	7.5549	7.71878
1_1_5	5	lnCPL_AG_mcgL	10	7.1624	7.37917

1_1_5	5	lnCPL_AS_mcgL	0.5	6.5539	6.68296
1_1_5	5	lnCPL_AS_mcgL	1	7.3524	7.28625
1_1_5	5	lnCPL_AS_mcgL	1.5	7.7098	7.50449
1_1_5	5	lnCPL_AS_mcgL	2	7.7579	7.59106
1_1_5	5	lnCPL_AS_mcgL	2.5	7.7007	7.61166
1_1_5	5	lnCPL_AS_mcgL	3	7.5909	7.59259
1_1_5	5	lnCPL_AS_mcgL	4	7.4384	7.48229
1_1_5	5	lnCPL_AS_mcgL	6	6.9177	7.10727
1_1_5	5	lnCPL_AS_mcgL	8	6.4489	6.62945
1_1_5	5	lnCPL_AS_mcgL	10	6.1841	6.09903

1_1_5	5	lnCU_APAP_mcg	0	-1	-20

1_1_5	5	lnCU_AG_mcg	0	-1	-20

1_1_5	5	lnCU_AS_mcg	0	-1	-20


1_2_1	6	lnCPL_APAP_mcgL	0.5	9.9942	10.0516
1_2_1	6	lnCPL_APAP_mcgL	1	9.8147	9.8969
1_2_1	6	lnCPL_APAP_mcgL	1.5	9.6291	9.75057
1_2_1	6	lnCPL_APAP_mcgL	2	9.488	9.60818
1_2_1	6	lnCPL_APAP_mcgL	3	9.2496	9.32434
1_2_1	6	lnCPL_APAP_mcgL	4	8.9708	9.03958
1_2_1	6	lnCPL_APAP_mcgL	5	8.6604	8.75394
1_2_1	6	lnCPL_APAP_mcgL	6	8.3825	8.46763
1_2_1	6	lnCPL_APAP_mcgL	7	8.197	8.1808
1_2_1	6	lnCPL_APAP_mcgL	8	7.9374	7.89358
1_2_1	6	lnCPL_APAP_mcgL	9	-1	7.60606
1_2_1	6	lnCPL_APAP_mcgL	10	-1	7.31834
1_2_1	6	lnCPL_APAP_mcgL	11	-1	7.03047
1_2_1	6	lnCPL_APAP_mcgL	12	-1	6.74244

1_2_1	6	lnCPL_AG_mcgL	0.5	8.3168	8.65276
1_2_1	6	lnCPL_AG_mcgL	1	9.4047	9.41296
1_2_1	6	lnCPL_AG_mcgL	1.5	9.6884	9.71691
1_2_1	6	lnCPL_AG_mcgL	2	9.8343	9.85712
1_2_1	6	lnCPL_AG_mcgL	3	9.8896	9.92335
1_2_1	6	lnCPL_AG_mcgL	4	9.8319	9.85248
1_2_1	6	lnCPL_AG_mcgL	5	9.6924	9.71178
1_2_1	6	lnCPL_AG_mcgL	6	9.5144	9.52948
1_2_1	6	lnCPL_AG_mcgL	7	9.2735	9.32001
1_2_1	6	lnCPL_AG_mcgL	8	9.0257	9.09173
1_2_1	6	lnCPL_AG_mcgL	9	8.8558	8.84991
1_2_1	6	lnCPL_AG_mcgL	10	8.7345	8.59802
1_2_1	6	lnCPL_AG_mcgL	11	-1	8.33852

1_2_1	6	lnCPL_AS_mcgL	0.5	8.4314	8.5981
1_2_1	6	lnCPL_AS_mcgL	1	8.9362	8.94475
1_2_1	6	lnCPL_AS_mcgL	1.5	9.0191	9.03331
1_2_1	6	lnCPL_AS_mcgL	2	8.9872	9.04664
1_2_1	6	lnCPL_AS_mcgL	3	8.9158	8.96728
1_2_1	6	lnCPL_AS_mcgL	4	8.7388	8.81049
1_2_1	6	lnCPL_AS_mcgL	5	8.5682	8.61018
1_2_1	6	lnCPL_AS_mcgL	6	8.3765	8.38287
1_2_1	6	lnCPL_AS_mcgL	7	8.204	8.13779
1_2_1	6	lnCPL_AS_mcgL	8	7.964	7.88059
1_2_1	6	lnCPL_AS_mcgL	9	7.7515	7.61489
1_2_1	6	lnCPL_AS_mcgL	10	7.5234	7.34313
1_2_1	6	lnCPL_AS_mcgL	11	-1	7.067

1_2_1	6	lnCU_APAP_mcg	24	11.0144	11.0244

1_2_1	6	lnCU_AG_mcg	24	14.0271	14.3592

1_2_1	6	lnCU_AS_mcg	24	13.2422	13.2408


1_2_2	7	lnCPL_APAP_mcgL	0.25	8.3405	8.56327
1_2_2	7	lnCPL_APAP_mcgL	0.5	8.0456	8.92256
1_2_2	7	lnCPL_APAP_mcgL	1	8.5271	9.15857
1_2_2	7	lnCPL_APAP_mcgL	1.5	9.0607	9.19715
1_2_2	7	lnCPL_APAP_mcgL	2	9.0927	9.15108
1_2_2	7	lnCPL_APAP_mcgL	3	9.0466	8.93949
1_2_2	7	lnCPL_APAP_mcgL	4	8.8393	8.65291
1_2_2	7	lnCPL_APAP_mcgL	6	8.2188	7.99644
1_2_2	7	lnCPL_APAP_mcgL	8	7.5704	7.30303
1_2_2	7	lnCPL_APAP_mcgL	10	-1	6.59975
1_2_2	7	lnCPL_APAP_mcgL	12	-1	5.89367

1_2_2	7	lnCPL_AG_mcgL	0.25	6.2383	6.00761
1_2_2	7	lnCPL_AG_mcgL	0.5	6.9276	7.37142
1_2_2	7	lnCPL_AG_mcgL	1	8.1831	8.51653
1_2_2	7	lnCPL_AG_mcgL	1.5	8.7749	9.06375
1_2_2	7	lnCPL_AG_mcgL	2	9.1485	9.37429
1_2_2	7	lnCPL_AG_mcgL	3	9.5819	9.65773
1_2_2	7	lnCPL_AG_mcgL	4	9.705	9.70801
1_2_2	7	lnCPL_AG_mcgL	6	9.5956	9.47646
1_2_2	7	lnCPL_AG_mcgL	8	9.1788	9.02673
1_2_2	7	lnCPL_AG_mcgL	10	8.6945	8.47135
1_2_2	7	lnCPL_AG_mcgL	12	-1	7.85892

1_2_2	7	lnCPL_AS_mcgL	0.25	6.2383	5.9457
1_2_2	7	lnCPL_AS_mcgL	0.5	6.5482	7.04091
1_2_2	7	lnCPL_AS_mcgL	1	7.6917	7.83367
1_2_2	7	lnCPL_AS_mcgL	1.5	8.1577	8.16865
1_2_2	7	lnCPL_AS_mcgL	2	8.3939	8.3386
1_2_2	7	lnCPL_AS_mcgL	3	8.5773	8.45051
1_2_2	7	lnCPL_AS_mcgL	4	8.5679	8.4068
1_2_2	7	lnCPL_AS_mcgL	6	8.2242	8.09763
