Level	Simulation	Output_Var	Time	Data	Prediction
1_1_2	2	lnCU_AS_mcg	2.6	12.2527	12.2913
1_1_2	2	lnCU_AS_mcg	3.6	12.5145	12.6294
1_1_2	2	lnCU_AS_mcg	4.6	12.6987	12.8425
1_1_2	2	lnCU_AS_mcg	5.6	12.8421	12.9843
1_1_2	2	lnCU_AS_mcg	6.5	12.9312	13.0735
1_1_2	2	lnCU_AS_mcg	7.5	13.0026	13.1441
1_1_2	2	lnCU_AS_mcg	8.5	13.0563	13.1941
1_1_2	2	lnCU_AS_mcg	9.6	13.1042	13.2328
1_1_2	2	lnCU_AS_mcg	10.5	13.1349	13.2555
1_1_2	2	lnCU_AS_mcg	11.5	13.1646	13.274


1_1_3	3	lnCPL_APAP_mcgL	0.5	9.2797	9.38884
1_1_3	3	lnCPL_APAP_mcgL	1	9.4681	9.42001
1_1_3	3	lnCPL_APAP_mcgL	1.5	9.2923	9.32518
1_1_3	3	lnCPL_APAP_mcgL	2	9.0719	9.18677
1_1_3	3	lnCPL_APAP_mcgL	3	8.7246	8.86673
1_1_3	3	lnCPL_APAP_mcgL	4	8.3994	8.53035
1_1_3	3	lnCPL_APAP_mcgL	5	8.1881	8.19022
1_1_3	3	lnCPL_APAP_mcgL	6	7.892	7.84892
1_1_3	3	lnCPL_APAP_mcgL	8	7.3309	7.16494
1_1_3	3	lnCPL_APAP_mcgL	10	-1	6.48002
1_1_3	3	lnCPL_APAP_mcgL	12	-1	5.79464

1_1_3	3	lnCPL_AG_mcgL	0.5	8.3935	8.53088
1_1_3	3	lnCPL_AG_mcgL	1	9.3632	9.33528
1_1_3	3	lnCPL_AG_mcgL	1.5	9.8072	9.66095
1_1_3	3	lnCPL_AG_mcgL	2	9.982	9.81358
1_1_3	3	lnCPL_AG_mcgL	3	10.0493	9.9003
1_1_3	3	lnCPL_AG_mcgL	4	9.926	9.85146
1_1_3	3	lnCPL_AG_mcgL	5	9.7817	9.73313
1_1_3	3	lnCPL_AG_mcgL	6	9.552	9.57178
1_1_3	3	lnCPL_AG_mcgL	8	9.1014	9.16865
1_1_3	3	lnCPL_AG_mcgL	10	8.6473	8.69834
1_1_3	3	lnCPL_AG_mcgL	12	-1	8.18572

1_1_3	3	lnCPL_AS_mcgL	0.5	8.317	8.25738
1_1_3	3	lnCPL_AS_mcgL	1	8.7968	8.69808
1_1_3	3	lnCPL_AS_mcgL	1.5	8.9727	8.85598
1_1_3	3	lnCPL_AS_mcgL	2	8.887	8.90647
1_1_3	3	lnCPL_AS_mcgL	3	8.7968	8.85986
1_1_3	3	lnCPL_AS_mcgL	4	8.539	8.71283
1_1_3	3	lnCPL_AS_mcgL	5	8.4138	8.51069
1_1_3	3	lnCPL_AS_mcgL	6	8.1712	8.27354
1_1_3	3	lnCPL_AS_mcgL	8	7.6798	7.7338
1_1_3	3	lnCPL_AS_mcgL	10	7.2098	7.14085
1_1_3	3	lnCPL_AS_mcgL	12	-1	6.51635

1_1_3	3	lnCU_APAP_mcg	0	-1	-20

1_1_3	3	lnCU_AG_mcg	0	-1	-20

1_1_3	3	lnCU_AS_mcg	0	-1	-20


1_1_4	4	lnCPL_APAP_mcgL	0.0732	7.0984	7.71535
1_1_4	4	lnCPL_APAP_mcgL	0.115	8.1017	8.19849
1_1_4	4	lnCPL_APAP_mcgL	0.151	8.6587	8.43414
1_1_4	4	lnCPL_APAP_mcgL	0.181	9.0009	8.56728
1_1_4	4	lnCPL_APAP_mcgL	0.227	9.278	8.70717
1_1_4	4	lnCPL_APAP_mcgL	0.321	9.2686	8.86685
1_1_4	4	lnCPL_APAP_mcgL	0.423	9.2399	8.95139
1_1_4	4	lnCPL_APAP_mcgL	0.486	9.1952	8.98086
1_1_4	4	lnCPL_APAP_mcgL	0.636	9.0312	9.01321
1_1_4	4	lnCPL_APAP_mcgL	0.817	8.9746	9.01114
1_1_4	4	lnCPL_APAP_mcgL	1	8.9052	8.98279
1_1_4	4	lnCPL_APAP_mcgL	1.25	8.7842	8.91869
1_1_4	4	lnCPL_APAP_mcgL	1.5	8.6759	8.83671
1_1_4	4	lnCPL_APAP_mcgL	2	8.5331	8.64395
1_1_4	4	lnCPL_APAP_mcgL	3	8.1691	8.21254
1_1_4	4	lnCPL_APAP_mcgL	4	7.779	7.76339
1_1_4	4	lnCPL_APAP_mcgL	5	7.4616	7.30983
1_1_4	4	lnCPL_APAP_mcgL	6	7.1778	6.85471

1_1_4	4	lnCPL_AG_mcgL	0	-1	-20

1_1_4	4	lnCPL_AS_mcgL	0	-1	-20

1_1_4	4	lnCU_APAP_mcg	0	-1	-20

1_1_4	4	lnCU_AG_mcg	0	-1	-20

1_1_4	4	lnCU_AS_mcg	0	-1	-20


1_1_5	5	lnCPL_APAP_mcgL	0.5	7.5756	7.61345
1_1_5	5	lnCPL_APAP_mcgL	1	7.8973	7.72055
1_1_5	5	lnCPL_APAP_mcgL	1.5	8.0359	7.66705
1_1_5	5	lnCPL_APAP_mcgL	2	7.9409	7.55199
