Level	Simulation	Output_Var	Time	Data	Prediction
1_1_1	1	lnCPL_APAP_mcgL	0.5	11.1496	11.2713
1_1_1	1	lnCPL_APAP_mcgL	0.75	11.357	11.3366
1_1_1	1	lnCPL_APAP_mcgL	1	11.1583	11.346
1_1_1	1	lnCPL_APAP_mcgL	1.5	10.9794	11.2956
1_1_1	1	lnCPL_APAP_mcgL	2	10.9794	11.2079
1_1_1	1	lnCPL_APAP_mcgL	3	10.8735	11
1_1_1	1	lnCPL_APAP_mcgL	4	10.6532	10.7803
1_1_1	1	lnCPL_APAP_mcgL	6	10.1775	10.3303
1_1_1	1	lnCPL_APAP_mcgL	8	9.6145	9.8727
1_1_1	1	lnCPL_APAP_mcgL	10	-1	9.41014

1_1_1	1	lnCPL_AG_mcgL	0.5	9.3288	9.68084
1_1_1	1	lnCPL_AG_mcgL	0.75	10.1109	10.275
1_1_1	1	lnCPL_AG_mcgL	1	10.5093	10.6408
1_1_1	1	lnCPL_AG_mcgL	1.5	11.0057	11.0666
1_1_1	1	lnCPL_AG_mcgL	2	11.2879	11.2954
1_1_1	1	lnCPL_AG_mcgL	3	11.5434	11.4959
1_1_1	1	lnCPL_AG_mcgL	4	11.5929	11.536
1_1_1	1	lnCPL_AG_mcgL	6	11.4362	11.409
1_1_1	1	lnCPL_AG_mcgL	8	11.0941	11.1483
1_1_1	1	lnCPL_AG_mcgL	10	10.7324	10.8185
1_1_1	1	lnCPL_AG_mcgL	12	10.3191	10.447

1_1_1	1	lnCPL_AS_mcgL	0.5	8.6702	8.72374
1_1_1	1	lnCPL_AS_mcgL	0.75	9.1882	9.07683
1_1_1	1	lnCPL_AS_mcgL	1	9.3634	9.30668
1_1_1	1	lnCPL_AS_mcgL	1.5	9.577	9.59256
1_1_1	1	lnCPL_AS_mcgL	2	9.7297	9.76094
1_1_1	1	lnCPL_AS_mcgL	3	9.8477	9.93101
1_1_1	1	lnCPL_AS_mcgL	4	9.9619	9.98387
1_1_1	1	lnCPL_AS_mcgL	6	9.8872	9.91131
1_1_1	1	lnCPL_AS_mcgL	8	9.689	9.70655
1_1_1	1	lnCPL_AS_mcgL	10	9.4287	9.42494
1_1_1	1	lnCPL_AS_mcgL	12	9.0757	9.09343

1_1_1	1	lnCU_APAP_mcg	0	-1	-20

1_1_1	1	lnCU_AG_mcg	0	-1	-20

1_1_1	1	lnCU_AS_mcg	0	-1	-20


1_1_2	2	lnCPL_APAP_mcgL	0.25	9.6486	10.1002
1_1_2	2	lnCPL_APAP_mcgL	0.5	9.8363	10.0435
1_1_2	2	lnCPL_APAP_mcgL	0.75	9.8416	9.9356
1_1_2	2	lnCPL_APAP_mcgL	1	9.7981	9.84286
1_1_2	2	lnCPL_APAP_mcgL	1.5	9.655	9.67819
1_1_2	2	lnCPL_APAP_mcgL	2	9.5178	9.52009
1_1_2	2	lnCPL_APAP_mcgL	3	9.2203	9.20482
1_1_2	2	lnCPL_APAP_mcgL	4	8.9187	8.88844
1_1_2	2	lnCPL_APAP_mcgL	6	8.294	8.25304
1_1_2	2	lnCPL_APAP_mcgL	8	7.836	7.61553

1_1_2	2	lnCPL_AG_mcgL	0.25	8.0722	7.93866
1_1_2	2	lnCPL_AG_mcgL	0.5	8.9804	9.0045
1_1_2	2	lnCPL_AG_mcgL	0.75	9.5047	9.46581
1_1_2	2	lnCPL_AG_mcgL	1	9.806	9.72506
1_1_2	2	lnCPL_AG_mcgL	1.5	10.1138	9.99549
1_1_2	2	lnCPL_AG_mcgL	2	10.2139	10.1176
1_1_2	2	lnCPL_AG_mcgL	3	10.1567	10.1764
1_1_2	2	lnCPL_AG_mcgL	4	10.0871	10.1163
1_1_2	2	lnCPL_AG_mcgL	6	9.6304	9.82969
1_1_2	2	lnCPL_AG_mcgL	8	9.2425	9.4279

1_1_2	2	lnCPL_AS_mcgL	0.25	8.1743	8.30868
1_1_2	2	lnCPL_AS_mcgL	0.5	8.8166	8.77842
1_1_2	2	lnCPL_AS_mcgL	0.75	9.0136	8.94663
1_1_2	2	lnCPL_AS_mcgL	1	9.1653	9.02768
1_1_2	2	lnCPL_AS_mcgL	1.5	9.1427	9.09206
1_1_2	2	lnCPL_AS_mcgL	2	9.0802	9.09251
1_1_2	2	lnCPL_AS_mcgL	3	8.9097	8.99261
1_1_2	2	lnCPL_AS_mcgL	4	8.8052	8.81579
1_1_2	2	lnCPL_AS_mcgL	6	8.394	8.34467
1_1_2	2	lnCPL_AS_mcgL	8	7.9587	7.79349

1_1_2	2	lnCU_APAP_mcg	0.6	8.6878	8.97158
1_1_2	2	lnCU_APAP_mcg	1.6	9.7585	9.90211
1_1_2	2	lnCU_APAP_mcg	2.6	10.1999	10.2649
1_1_2	2	lnCU_APAP_mcg	3.6	10.44	10.4654
1_1_2	2	lnCU_APAP_mcg	4.6	10.5739	10.5897
1_1_2	2	lnCU_APAP_mcg	5.6	10.669	10.6713
1_1_2	2	lnCU_APAP_mcg	6.5	10.7277	10.7222
1_1_2	2	lnCU_APAP_mcg	7.5	10.7893	10.7621
1_1_2	2	lnCU_APAP_mcg	8.5	10.8198	10.7901
1_1_2	2	lnCU_APAP_mcg	9.6	10.8532	10.8117
1_1_2	2	lnCU_APAP_mcg	10.5	10.8799	10.8242
1_1_2	2	lnCU_APAP_mcg	11.5	10.9041	10.8344

1_1_2	2	lnCU_AG_mcg	0.6	10.7199	9.965
1_1_2	2	lnCU_AG_mcg	1.6	12.3436	12.0519
1_1_2	2	lnCU_AG_mcg	2.6	12.9835	12.8635
1_1_2	2	lnCU_AG_mcg	3.6	13.3256	13.3229
1_1_2	2	lnCU_AG_mcg	4.6	13.5523	13.6194
1_1_2	2	lnCU_AG_mcg	5.6	13.7181	13.8232
1_1_2	2	lnCU_AG_mcg	6.5	13.8157	13.9559
1_1_2	2	lnCU_AG_mcg	7.5	13.8928	14.0649
1_1_2	2	lnCU_AG_mcg	8.5	13.9512	14.1453
1_1_2	2	lnCU_AG_mcg	9.6	14.0045	14.2101
1_1_2	2	lnCU_AG_mcg	10.5	14.038	14.2498
1_1_2	2	lnCU_AG_mcg	11.5	14.0671	14.2834

1_1_2	2	lnCU_AS_mcg	0.6	10.5596	10.1101
1_1_2	2	lnCU_AS_mcg	1.6	11.7824	11.5806
1_1_2	2	lnCU_AS_mcg	2.6	12.2527	12.1756
1_1_2	2	lnCU_AS_mcg	3.6	12.5145	12.5145
1_1_2	2	lnCU_AS_mcg	4.6	12.6987	12.7296
1_1_2	2	lnCU_AS_mcg	5.6	12.8421	12.8736
1_1_2	2	lnCU_AS_mcg	6.5	12.9312	12.9644
1_1_2	2	lnCU_AS_mcg	7.5	13.0026	13.0365
1_1_2	2	lnCU_AS_mcg	8.5	13.0563	13.0876
1_1_2	2	lnCU_AS_mcg	9.6	13.1042	13.1273
1_1_2	2	lnCU_AS_mcg	10.5	13.1349	13.1505
1_1_2	2	lnCU_AS_mcg	11.5	13.1646	13.1695


1_1_3	3	lnCPL_APAP_mcgL	0.5	9.2797	9.48158
1_1_3	3	lnCPL_APAP_mcgL	1	9.4681	9.44802
1_1_3	3	lnCPL_APAP_mcgL	1.5	9.2923	9.31198
1_1_3	3	lnCPL_APAP_mcgL	2	9.0719	9.15077
1_1_3	3	lnCPL_APAP_mcgL	3	8.7246	8.81061
1_1_3	3	lnCPL_APAP_mcgL	4	8.3994	8.46566
1_1_3	3	lnCPL_APAP_mcgL	5	8.1881	8.11967
1_1_3	3	lnCPL_APAP_mcgL	6	7.892	7.77318
1_1_3	3	lnCPL_APAP_mcgL	8	7.3309	7.07928
1_1_3	3	lnCPL_APAP_mcgL	10	-1	6.38469
1_1_3	3	lnCPL_APAP_mcgL	12	-1	5.68975

1_1_3	3	lnCPL_AG_mcgL	0.5	8.3935	8.43405
1_1_3	3	lnCPL_AG_mcgL	1	9.3632	9.33529
1_1_3	3	lnCPL_AG_mcgL	1.5	9.8072	9.6901
1_1_3	3	lnCPL_AG_mcgL	2	9.982	9.85336
1_1_3	3	lnCPL_AG_mcgL	3	10.0493	9.94288
1_1_3	3	lnCPL_AG_mcgL	4	9.926	9.88892
1_1_3	3	lnCPL_AG_mcgL	5	9.7817	9.76318
1_1_3	3	lnCPL_AG_mcgL	6	9.552	9.59363
1_1_3	3	lnCPL_AG_mcgL	8	9.1014	9.1734
1_1_3	3	lnCPL_AG_mcgL	10	8.6473	8.68591
1_1_3	3	lnCPL_AG_mcgL	12	-1	8.15626

1_1_3	3	lnCPL_AS_mcgL	0.5	8.317	8.32574
1_1_3	3	lnCPL_AS_mcgL	1	8.7968	8.74058
1_1_3	3	lnCPL_AS_mcgL	1.5	8.9727	8.87034
1_1_3	3	lnCPL_AS_mcgL	2	8.887	8.90266
1_1_3	3	lnCPL_AS_mcgL	3	8.7968	8.83707
1_1_3	3	lnCPL_AS_mcgL	4	8.539	8.6808
1_1_3	3	lnCPL_AS_mcgL	5	8.4138	8.47297
1_1_3	3	lnCPL_AS_mcgL	6	8.1712	8.23168
1_1_3	3	lnCPL_AS_mcgL	8	7.6798	7.68552
1_1_3	3	lnCPL_AS_mcgL	10	7.2098	7.08687
1_1_3	3	lnCPL_AS_mcgL	12	-1	6.45659

1_1_3	3	lnCU_APAP_mcg	0	-1	-20

1_1_3	3	lnCU_AG_mcg	0	-1	-20

1_1_3	3	lnCU_AS_mcg	0	-1	-20


1_1_4	4	lnCPL_APAP_mcgL	0.0732	7.0984	7.77307
1_1_4	4	lnCPL_APAP_mcgL	0.115	8.1017	8.25963
1_1_4	4	lnCPL_APAP_mcgL	0.151	8.6587	8.49671
1_1_4	4	lnCPL_APAP_mcgL	0.181	9.0009	8.63036
1_1_4	4	lnCPL_APAP_mcgL	0.227	9.278	8.77012
1_1_4	4	lnCPL_APAP_mcgL	0.321	9.2686	8.9269
1_1_4	4	lnCPL_APAP_mcgL	0.423	9.2399	9.00599
1_1_4	4	lnCPL_APAP_mcgL	0.486	9.1952	9.03164
1_1_4	4	lnCPL_APAP_mcgL	0.636	9.0312	9.05501
