Level	Simulation	Output_Var	Time	Data	Prediction
1_1_1	1	lnCPL_APAP_mcgL	0.5	11.1496	11.079
1_1_1	1	lnCPL_APAP_mcgL	0.75	11.357	11.1906
1_1_1	1	lnCPL_APAP_mcgL	1	11.1583	11.2373
1_1_1	1	lnCPL_APAP_mcgL	1.5	10.9794	11.2369
1_1_1	1	lnCPL_APAP_mcgL	2	10.9794	11.1758
1_1_1	1	lnCPL_APAP_mcgL	3	10.8735	10.9825
1_1_1	1	lnCPL_APAP_mcgL	4	10.6532	10.7543
1_1_1	1	lnCPL_APAP_mcgL	6	10.1775	10.2673
1_1_1	1	lnCPL_APAP_mcgL	8	9.6145	9.76425
1_1_1	1	lnCPL_APAP_mcgL	10	-1	9.25251

1_1_1	1	lnCPL_AG_mcgL	0.5	9.3288	9.51796
1_1_1	1	lnCPL_AG_mcgL	0.75	10.1109	10.1204
1_1_1	1	lnCPL_AG_mcgL	1	10.5093	10.5012
1_1_1	1	lnCPL_AG_mcgL	1.5	11.0057	10.9572
1_1_1	1	lnCPL_AG_mcgL	2	11.2879	11.2101
1_1_1	1	lnCPL_AG_mcgL	3	11.5434	11.4394
1_1_1	1	lnCPL_AG_mcgL	4	11.5929	11.49
1_1_1	1	lnCPL_AG_mcgL	6	11.4362	11.3561
1_1_1	1	lnCPL_AG_mcgL	8	11.0941	11.0716
1_1_1	1	lnCPL_AG_mcgL	10	10.7324	10.7097
1_1_1	1	lnCPL_AG_mcgL	12	10.3191	10.3008

1_1_1	1	lnCPL_AS_mcgL	0.5	8.6702	8.7713
1_1_1	1	lnCPL_AS_mcgL	0.75	9.1882	9.12153
1_1_1	1	lnCPL_AS_mcgL	1	9.3634	9.35174
1_1_1	1	lnCPL_AS_mcgL	1.5	9.577	9.63983
1_1_1	1	lnCPL_AS_mcgL	2	9.7297	9.80865
1_1_1	1	lnCPL_AS_mcgL	3	9.8477	9.97325
1_1_1	1	lnCPL_AS_mcgL	4	9.9619	10.0152
1_1_1	1	lnCPL_AS_mcgL	6	9.8872	9.91091
1_1_1	1	lnCPL_AS_mcgL	8	9.689	9.66446
1_1_1	1	lnCPL_AS_mcgL	10	9.4287	9.33332
1_1_1	1	lnCPL_AS_mcgL	12	9.0757	8.94665

1_1_1	1	lnCU_APAP_mcg	0	-1	-20

1_1_1	1	lnCU_AG_mcg	0	-1	-20

1_1_1	1	lnCU_AS_mcg	0	-1	-20


1_1_2	2	lnCPL_APAP_mcgL	0.25	9.6486	10.2012
1_1_2	2	lnCPL_APAP_mcgL	0.5	9.8363	10.0598
1_1_2	2	lnCPL_APAP_mcgL	0.75	9.8416	9.94834
1_1_2	2	lnCPL_APAP_mcgL	1	9.7981	9.86048
1_1_2	2	lnCPL_APAP_mcgL	1.5	9.655	9.70545
1_1_2	2	lnCPL_APAP_mcgL	2	9.5178	9.55533
1_1_2	2	lnCPL_APAP_mcgL	3	9.2203	9.2547
1_1_2	2	lnCPL_APAP_mcgL	4	8.9187	8.95227
1_1_2	2	lnCPL_APAP_mcgL	6	8.294	8.34347
1_1_2	2	lnCPL_APAP_mcgL	8	7.836	7.73143

1_1_2	2	lnCPL_AG_mcgL	0.25	8.0722	8.14468
1_1_2	2	lnCPL_AG_mcgL	0.5	8.9804	9.04905
1_1_2	2	lnCPL_AG_mcgL	0.75	9.5047	9.45173
1_1_2	2	lnCPL_AG_mcgL	1	9.806	9.68162
1_1_2	2	lnCPL_AG_mcgL	1.5	10.1138	9.92355
1_1_2	2	lnCPL_AG_mcgL	2	10.2139	10.0316
1_1_2	2	lnCPL_AG_mcgL	3	10.1567	10.0746
1_1_2	2	lnCPL_AG_mcgL	4	10.0871	10.004
1_1_2	2	lnCPL_AG_mcgL	6	9.6304	9.70165
1_1_2	2	lnCPL_AG_mcgL	8	9.2425	9.28747

1_1_2	2	lnCPL_AS_mcgL	0.25	8.1743	8.36843
1_1_2	2	lnCPL_AS_mcgL	0.5	8.8166	8.7499
1_1_2	2	lnCPL_AS_mcgL	0.75	9.0136	8.8955
1_1_2	2	lnCPL_AS_mcgL	1	9.1653	8.96976
1_1_2	2	lnCPL_AS_mcgL	1.5	9.1427	9.03057
1_1_2	2	lnCPL_AS_mcgL	2	9.0802	9.0292
1_1_2	2	lnCPL_AS_mcgL	3	8.9097	8.92617
1_1_2	2	lnCPL_AS_mcgL	4	8.8052	8.74769
1_1_2	2	lnCPL_AS_mcgL	6	8.394	8.27866
1_1_2	2	lnCPL_AS_mcgL	8	7.9587	7.73602

1_1_2	2	lnCU_APAP_mcg	0.6	8.6878	8.99927
1_1_2	2	lnCU_APAP_mcg	1.6	9.7585	9.86422
1_1_2	2	lnCU_APAP_mcg	2.6	10.1999	10.2186
1_1_2	2	lnCU_APAP_mcg	3.6	10.44	10.4181
1_1_2	2	lnCU_APAP_mcg	4.6	10.5739	10.5436
1_1_2	2	lnCU_APAP_mcg	5.6	10.669	10.627
1_1_2	2	lnCU_APAP_mcg	6.5	10.7277	10.6795
1_1_2	2	lnCU_APAP_mcg	7.5	10.7893	10.7211
1_1_2	2	lnCU_APAP_mcg	8.5	10.8198	10.7507
1_1_2	2	lnCU_APAP_mcg	9.6	10.8532	10.7737
1_1_2	2	lnCU_APAP_mcg	10.5	10.8799	10.7873
1_1_2	2	lnCU_APAP_mcg	11.5	10.9041	10.7984

1_1_2	2	lnCU_AG_mcg	0.6	10.7199	10.1492
1_1_2	2	lnCU_AG_mcg	1.6	12.3436	12.1104
1_1_2	2	lnCU_AG_mcg	2.6	12.9835	12.8904
1_1_2	2	lnCU_AG_mcg	3.6	13.3256	13.335
1_1_2	2	lnCU_AG_mcg	4.6	13.5523	13.6222
1_1_2	2	lnCU_AG_mcg	5.6	13.7181	13.8196
1_1_2	2	lnCU_AG_mcg	6.5	13.8157	13.9478
1_1_2	2	lnCU_AG_mcg	7.5	13.8928	14.053
1_1_2	2	lnCU_AG_mcg	8.5	13.9512	14.1304
1_1_2	2	lnCU_AG_mcg	9.6	14.0045	14.1927
1_1_2	2	lnCU_AG_mcg	10.5	14.038	14.2306
1_1_2	2	lnCU_AG_mcg	11.5	14.0671	14.2627

1_1_2	2	lnCU_AS_mcg	0.6	10.5596	10.2479
1_1_2	2	lnCU_AS_mcg	1.6	11.7824	11.6531
1_1_2	2	lnCU_AS_mcg	2.6	12.2527	12.2362
1_1_2	2	lnCU_AS_mcg	3.6	12.5145	12.57
1_1_2	2	lnCU_AS_mcg	4.6	12.6987	12.7824
1_1_2	2	lnCU_AS_mcg	5.6	12.8421	12.9249
1_1_2	2	lnCU_AS_mcg	6.5	12.9312	13.015
1_1_2	2	lnCU_AS_mcg	7.5	13.0026	13.0868
1_1_2	2	lnCU_AS_mcg	8.5	13.0563	13.1381
1_1_2	2	lnCU_AS_mcg	9.6	13.1042	13.178
1_1_2	2	lnCU_AS_mcg	10.5	13.1349	13.2016
1_1_2	2	lnCU_AS_mcg	11.5	13.1646	13.221


1_1_3	3	lnCPL_APAP_mcgL	0.5	9.2797	9.49903
1_1_3	3	lnCPL_APAP_mcgL	1	9.4681	9.4684
1_1_3	3	lnCPL_APAP_mcgL	1.5	9.2923	9.33984
1_1_3	3	lnCPL_APAP_mcgL	2	9.0719	9.18531
1_1_3	3	lnCPL_APAP_mcgL	3	8.7246	8.85677
1_1_3	3	lnCPL_APAP_mcgL	4	8.3994	8.52244
1_1_3	3	lnCPL_APAP_mcgL	5	8.1881	8.18662
1_1_3	3	lnCPL_APAP_mcgL	6	7.892	7.85003
1_1_3	3	lnCPL_APAP_mcgL	8	7.3309	7.17543
1_1_3	3	lnCPL_APAP_mcgL	10	-1	6.49974
1_1_3	3	lnCPL_APAP_mcgL	12	-1	5.82351

1_1_3	3	lnCPL_AG_mcgL	0.5	8.3935	8.38315
1_1_3	3	lnCPL_AG_mcgL	1	9.3632	9.26082
1_1_3	3	lnCPL_AG_mcgL	1.5	9.8072	9.61655
1_1_3	3	lnCPL_AG_mcgL	2	9.982	9.78589
